CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,0.22949308,-12.3659315
D28.7_64,acinar,celseq2,11.793709,8.995884
D31.2_86,acinar,celseq2,9.853443,9.515459
human3_lib2.final_cell_0055,acinar,inDrop,1.1177856,-12.181968
human3_lib4.final_cell_0748,acinar,inDrop,1.5551165,-10.055378
human3_lib1.final_cell_0004,acinar,inDrop,-0.6727753,-12.435742
human3_lib2.final_cell_0497,acinar,inDrop,0.035504337,-10.440601
human1_lib1.final_cell_0028,acinar,inDrop,-0.2975358,-9.637495
D31.7_21,acinar,celseq2,6.3597236,9.693508
human3_lib4.final_cell_0518,acinar,inDrop,1.83149,2.5787573
human3_lib1.final_cell_0005,acinar,inDrop,-0.95947933,-12.28584
D28.5_31,acinar,celseq2,10.294847,9.460015
human3_lib1.final_cell_0109,acinar,inDrop,1.1405888,-11.894514
human3_lib3.final_cell_0385,acinar,inDrop,0.5187155,-11.769799
human3_lib3.final_cell_0028,acinar,inDrop,0.3458264,-12.470328
HP1502401_F13,acinar,smartseq2,8.892214,8.792484
human3_lib1.final_cell_0371,acinar,inDrop,1.0019113,-11.573318
HP1506401_D24,acinar,smartseq2,11.499981,8.997131
human3_lib4.final_cell_0148,acinar,inDrop,0.17918263,-11.720305
HP1502401_M22,acinar,smartseq2,11.2726345,8.2201185
human3_lib4.final_cell_0072,acinar,inDrop,0.31881815,-11.82148
human3_lib1.final_cell_0146,acinar,inDrop,0.7205315,-10.727671
human3_lib1.final_cell_0642,acinar,inDrop,1.673589,-10.318328
human3_lib4.final_cell_0537,acinar,inDrop,1.8737992,-11.098704
human3_lib1.final_cell_0026,acinar,inDrop,0.28355274,-12.595105
human1_lib1.final_cell_0047,acinar,inDrop,0.053322677,-11.204867
human3_lib2.final_cell_0012,acinar,inDrop,-0.4721996,-11.1262865
human3_lib4.final_cell_0034,acinar,inDrop,0.7990377,-12.518489
D28.6_19,acinar,celseq2,8.680226,8.877965
human3_lib1.final_cell_0027,acinar,inDrop,0.052890457,-12.096897
human3_lib3.final_cell_0235,acinar,inDrop,0.6936037,-12.229633
human3_lib4.final_cell_0358,acinar,inDrop,1.4009563,-10.12695
human3_lib4.final_cell_0292,acinar,inDrop,1.0507057,-11.17235
human3_lib1.final_cell_0044,acinar,inDrop,-0.6531504,-11.350462
D30.5_79,acinar,celseq2,8.599089,8.808492
D28.8_39,acinar,celseq2,11.49608,8.742947
human1_lib3.final_cell_0031,acinar,inDrop,-0.45044336,-10.221171
human3_lib1.final_cell_0117,acinar,inDrop,0.3067009,-10.708172
human3_lib2.final_cell_0083,acinar,inDrop,-0.2208135,-11.633163
D30.6_37,acinar,celseq2,8.671359,8.739213
HP1506401_B16,acinar,smartseq2,10.107057,9.506008
human3_lib1.final_cell_0112,acinar,inDrop,0.78220946,-12.095121
human3_lib3.final_cell_0022,acinar,inDrop,1.5614706,-11.841165
human3_lib1.final_cell_0391,acinar,inDrop,-0.05938641,-10.538963
human3_lib1.final_cell_0215,acinar,inDrop,1.618404,-11.472878
human1_lib1.final_cell_0461,acinar,inDrop,0.6852856,-8.2758045
human3_lib2.final_cell_0685,acinar,inDrop,0.9726244,-10.184888
human3_lib4.final_cell_0272,acinar,inDrop,-0.44716617,-11.07759
HP1506401_D3,acinar,smartseq2,10.681514,9.546435
human3_lib3.final_cell_0163,acinar,inDrop,-0.020637779,-11.69719
human1_lib1.final_cell_0182,acinar,inDrop,0.5495329,-10.010939
HP1504101T2D_J16,acinar,smartseq2,10.900935,8.319659
human3_lib2.final_cell_0105,acinar,inDrop,-0.72651273,-10.636277
human3_lib4.final_cell_0466,acinar,inDrop,1.5514302,-11.412032
D30.4_18,acinar,celseq2,10.75208,8.401123
human3_lib3.final_cell_0044,acinar,inDrop,-0.77766734,-11.772593
D28.5_63,acinar,celseq2,11.361946,8.092388
HP1504901_F23,acinar,smartseq2,8.813833,9.258602
human3_lib1.final_cell_0069,acinar,inDrop,-0.12120884,-11.837342
D31.3_89,acinar,celseq2,11.438451,8.592591
human3_lib4.final_cell_0103,acinar,inDrop,1.1067288,-11.968341
human3_lib2.final_cell_0036,acinar,inDrop,-0.3507545,-10.753062
HP1506401_J15,acinar,smartseq2,11.528465,8.873253
human3_lib1.final_cell_0505,acinar,inDrop,1.4276099,-10.28011
HP1506401_O16,acinar,smartseq2,10.435176,9.514996
human3_lib2.final_cell_0267,acinar,inDrop,0.111996084,-12.288737
human3_lib3.final_cell_0703,acinar,inDrop,2.2191584,-11.071082
human3_lib2.final_cell_0109,acinar,inDrop,0.08503954,-11.918759
D30.2_53,acinar,celseq2,11.169491,8.161266
human3_lib4.final_cell_0171,acinar,inDrop,1.195088,-11.373012
HP1506401_N23,acinar,smartseq2,10.950586,9.224779
D28.3_51,acinar,celseq2,11.747357,8.975486
human3_lib2.final_cell_0134,acinar,inDrop,1.2514261,-11.9405985
human1_lib2.final_cell_0582,acinar,inDrop,1.821061,-9.954766
D28.5_37,acinar,celseq2,9.096827,8.968498
human3_lib1.final_cell_0212,acinar,inDrop,1.9425106,-11.024592
D28.3_90,acinar,celseq2,9.437216,9.209559
human3_lib2.final_cell_0675,acinar,inDrop,0.8535217,-10.422596
D31.1_21,acinar,celseq2,8.046318,8.871918
human3_lib3.final_cell_0205,acinar,inDrop,0.06847211,-10.868764
human3_lib4.final_cell_0184,acinar,inDrop,0.35350978,-10.683646
human3_lib3.final_cell_0079,acinar,inDrop,-0.75474626,-10.952628
human3_lib2.final_cell_0060,acinar,inDrop,0.4494107,-11.095931
human3_lib1.final_cell_0204,acinar,inDrop,-0.050351437,-11.333034
HP1506401_N9,acinar,smartseq2,10.451399,9.61986
HP1526901T2D_H2,acinar,smartseq2,11.53187,8.417016
human3_lib4.final_cell_0070,acinar,inDrop,-0.20255521,-10.645022
human3_lib3.final_cell_0415,acinar,inDrop,0.6453794,-9.97925
HP1525301T2D_F10,acinar,smartseq2,11.414643,8.212433
D31.5_69,acinar,celseq2,7.073244,8.419905
human3_lib3.final_cell_0208,acinar,inDrop,0.56822544,-11.034251
human3_lib1.final_cell_0038,acinar,inDrop,-0.30923313,-12.363348
human3_lib4.final_cell_0533,acinar,inDrop,1.7308328,-10.638248
human1_lib3.final_cell_0231,acinar,inDrop,0.539171,-10.471938
HP1504101T2D_C11,acinar,smartseq2,11.7568245,8.683801
human3_lib3.final_cell_0066,acinar,inDrop,0.30763707,-11.67018
human3_lib4.final_cell_0108,acinar,inDrop,0.10727118,-10.612153
D30.7_1,acinar,celseq2,11.035451,8.589592
human3_lib3.final_cell_0301,acinar,inDrop,-0.05432159,-10.911538
human3_lib4.final_cell_0149,acinar,inDrop,1.9274917,-11.519542
HP1508501T2D_B14,acinar,smartseq2,11.476895,9.191892
human3_lib4.final_cell_0003,acinar,inDrop,0.5934449,-12.1470585
human3_lib3.final_cell_0266,acinar,inDrop,-0.013985945,-10.624857
human3_lib1.final_cell_0373,acinar,inDrop,2.0691113,-10.83613
D30.7_24,acinar,celseq2,8.508759,8.898033
human3_lib1.final_cell_0172,acinar,inDrop,-0.7320813,-10.68839
human3_lib2.final_cell_0003,acinar,inDrop,-0.16763285,-11.779078
AZ_F6,acinar,smartseq2,10.851612,9.239055
HP1508501T2D_I10,acinar,smartseq2,11.735007,8.967685
human3_lib3.final_cell_0166,acinar,inDrop,1.396818,-11.314018
human3_lib2.final_cell_0101,acinar,inDrop,-0.28031653,-10.7524185
HP1508501T2D_G17,acinar,smartseq2,11.361659,9.031621
HP1525301T2D_L5,acinar,smartseq2,11.063589,8.479758
human3_lib2.final_cell_0277,acinar,inDrop,-0.59632957,-11.094494
D28.6_63,acinar,celseq2,11.098437,8.613996
human3_lib3.final_cell_0045,acinar,inDrop,0.85484344,-12.284788
HP1502401_G18,acinar,smartseq2,10.655822,8.555969
human3_lib1.final_cell_0483,acinar,inDrop,0.84109664,-11.007723
human3_lib4.final_cell_0575,acinar,inDrop,2.2392046,-11.065894
human3_lib4.final_cell_0519,acinar,inDrop,1.3400025,-10.114455
human3_lib4.final_cell_0512,acinar,inDrop,1.1109796,-10.478639
human3_lib4.final_cell_0615,acinar,inDrop,0.39805475,2.265883
human3_lib4.final_cell_0555,acinar,inDrop,1.2053026,-10.146834
human3_lib3.final_cell_0803,acinar,inDrop,1.4979341,-10.313218
human3_lib1.final_cell_0013,acinar,inDrop,-0.44709936,-12.269874
D31.2_75,acinar,celseq2,10.72477,9.079887
HP1506401_B14,acinar,smartseq2,10.29032,9.633575
human3_lib2.final_cell_0006,acinar,inDrop,0.09736521,-12.519194
human3_lib1.final_cell_0300,acinar,inDrop,1.8810548,-10.8675165
D30.3_91,acinar,celseq2,9.757016,8.682131
human3_lib4.final_cell_0155,acinar,inDrop,0.5776867,-12.103698
human3_lib1.final_cell_0307,acinar,inDrop,-0.05797009,-10.6145315
human3_lib3.final_cell_0551,acinar,inDrop,1.6499715,-11.1470375
