CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,0.7784441,-12.347486
D28.7_64,acinar,celseq2,10.656265,5.4980173
D31.2_86,acinar,celseq2,8.704374,7.1200933
human3_lib2.final_cell_0055,acinar,inDrop,0.030837387,-12.294458
human3_lib4.final_cell_0748,acinar,inDrop,-0.9383294,-10.106757
human3_lib1.final_cell_0004,acinar,inDrop,1.8591745,-12.145011
human3_lib2.final_cell_0497,acinar,inDrop,0.58778477,-10.0893345
human1_lib1.final_cell_0028,acinar,inDrop,0.83492124,-9.361811
D31.7_21,acinar,celseq2,5.8634124,9.590583
human3_lib4.final_cell_0518,acinar,inDrop,-1.1530111,5.170235
human3_lib1.final_cell_0005,acinar,inDrop,1.9164757,-11.910102
D28.5_31,acinar,celseq2,9.114921,6.8915086
human3_lib1.final_cell_0109,acinar,inDrop,-0.13939159,-12.093708
human3_lib3.final_cell_0385,acinar,inDrop,0.43149462,-11.502882
human3_lib3.final_cell_0028,acinar,inDrop,0.85491866,-12.318214
HP1502401_F13,acinar,smartseq2,7.69148,7.041136
human3_lib1.final_cell_0371,acinar,inDrop,0.2276412,-11.712447
HP1506401_D24,acinar,smartseq2,10.138402,5.932362
human3_lib4.final_cell_0148,acinar,inDrop,0.3521653,-11.661042
HP1502401_M22,acinar,smartseq2,9.7970915,5.350067
human3_lib4.final_cell_0072,acinar,inDrop,0.5828235,-11.529417
human3_lib1.final_cell_0146,acinar,inDrop,-0.09917294,-10.804926
human3_lib1.final_cell_0642,acinar,inDrop,-1.082166,-10.666935
human3_lib4.final_cell_0537,acinar,inDrop,-0.8931789,-11.546517
human3_lib1.final_cell_0026,acinar,inDrop,0.7061455,-12.318126
human1_lib1.final_cell_0047,acinar,inDrop,0.7141966,-11.249021
human3_lib2.final_cell_0012,acinar,inDrop,1.3575829,-10.509066
human3_lib4.final_cell_0034,acinar,inDrop,0.5825307,-12.538143
D28.6_19,acinar,celseq2,7.438645,7.271412
human3_lib1.final_cell_0027,acinar,inDrop,0.87193066,-11.785387
human3_lib3.final_cell_0235,acinar,inDrop,0.42595324,-12.150044
human3_lib4.final_cell_0358,acinar,inDrop,-0.8394575,-10.305796
human3_lib4.final_cell_0292,acinar,inDrop,-0.31226218,-11.17505
human3_lib1.final_cell_0044,acinar,inDrop,1.6582069,-10.715535
D30.5_79,acinar,celseq2,7.264484,7.208297
D28.8_39,acinar,celseq2,10.025886,5.7911057
human1_lib3.final_cell_0031,acinar,inDrop,1.0192779,-9.798516
human3_lib1.final_cell_0117,acinar,inDrop,0.4681288,-10.456927
human3_lib2.final_cell_0083,acinar,inDrop,1.1703418,-10.881711
D30.6_37,acinar,celseq2,7.3114896,7.2898498
HP1506401_B16,acinar,smartseq2,9.064313,6.985593
human3_lib1.final_cell_0112,acinar,inDrop,0.31581354,-11.894854
human3_lib3.final_cell_0022,acinar,inDrop,-0.22676201,-12.531665
human3_lib1.final_cell_0391,acinar,inDrop,0.78171676,-10.058203
human3_lib1.final_cell_0215,acinar,inDrop,-0.33330795,-11.969396
human1_lib1.final_cell_0461,acinar,inDrop,-0.5954835,-8.637202
human3_lib2.final_cell_0685,acinar,inDrop,-0.1274825,-9.907056
human3_lib4.final_cell_0272,acinar,inDrop,1.2677333,-10.575828
HP1506401_D3,acinar,smartseq2,9.689855,6.756697
human3_lib3.final_cell_0163,acinar,inDrop,1.1296734,-11.474378
human1_lib1.final_cell_0182,acinar,inDrop,-0.11352482,-9.831926
HP1504101T2D_J16,acinar,smartseq2,9.461538,5.6254516
human3_lib2.final_cell_0105,acinar,inDrop,1.1034732,-9.777946
human3_lib4.final_cell_0466,acinar,inDrop,-0.39841595,-11.7034855
D30.4_18,acinar,celseq2,9.233911,5.8040957
human3_lib3.final_cell_0044,acinar,inDrop,1.8568879,-11.301735
D28.5_63,acinar,celseq2,9.482923,5.5470552
HP1504901_F23,acinar,smartseq2,7.646989,7.371358
human3_lib1.final_cell_0069,acinar,inDrop,1.0491521,-11.312945
D31.3_89,acinar,celseq2,9.909524,5.501919
human3_lib4.final_cell_0103,acinar,inDrop,-0.1386149,-12.208348
human3_lib2.final_cell_0036,acinar,inDrop,0.8223944,-10.036711
HP1506401_J15,acinar,smartseq2,10.250107,5.8750477
human3_lib1.final_cell_0505,acinar,inDrop,-0.76569253,-10.337456
HP1506401_O16,acinar,smartseq2,9.388734,6.913211
human3_lib2.final_cell_0267,acinar,inDrop,0.9724568,-12.149392
