CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013-0,acinar,inDrop,-3.1478212,-12.728538
human3_lib2.final_cell_0055-0,acinar,inDrop,11.615118,-10.132013
human3_lib4.final_cell_0748-0,acinar,inDrop,11.5896015,-10.157722
human3_lib1.final_cell_0004-0,acinar,inDrop,-3.8441377,-12.215269
human3_lib2.final_cell_0497-0,acinar,inDrop,12.674874,-9.531696
human1_lib1.final_cell_0028-0,acinar,inDrop,10.918204,-8.72375
human3_lib4.final_cell_0518-0,acinar,inDrop,11.763869,-9.732966
human3_lib1.final_cell_0005-0,acinar,inDrop,12.404291,-8.856087
human3_lib1.final_cell_0109-0,acinar,inDrop,12.21863,-10.304363
human3_lib3.final_cell_0385-0,acinar,inDrop,12.224242,-10.51701
human3_lib3.final_cell_0028-0,acinar,inDrop,12.5316925,-9.216103
human3_lib1.final_cell_0371-0,acinar,inDrop,11.423561,-9.910929
human3_lib4.final_cell_0148-0,acinar,inDrop,11.659071,-9.783554
human3_lib4.final_cell_0072-0,acinar,inDrop,-3.5503032,-12.215213
human3_lib1.final_cell_0146-0,acinar,inDrop,12.319545,-10.023679
human3_lib1.final_cell_0642-0,acinar,inDrop,11.173101,-10.649549
human3_lib4.final_cell_0537-0,acinar,inDrop,11.687502,-10.302497
human3_lib1.final_cell_0026-0,acinar,inDrop,12.159574,-9.981413
human1_lib1.final_cell_0047-0,acinar,inDrop,11.249964,-9.698042
human3_lib2.final_cell_0012-0,acinar,inDrop,11.701712,-9.010504
human3_lib4.final_cell_0034-0,acinar,inDrop,11.901207,-10.179709
human3_lib1.final_cell_0027-0,acinar,inDrop,12.7924385,-9.185705
human3_lib3.final_cell_0235-0,acinar,inDrop,12.508366,-9.967124
human3_lib4.final_cell_0358-0,acinar,inDrop,10.638647,-10.249457
human3_lib4.final_cell_0292-0,acinar,inDrop,11.586636,-10.445765
human3_lib1.final_cell_0044-0,acinar,inDrop,12.012344,-8.910067
human1_lib3.final_cell_0031-0,acinar,inDrop,11.562176,-9.204064
human3_lib1.final_cell_0117-0,acinar,inDrop,11.539593,-9.222991
human3_lib2.final_cell_0083-0,acinar,inDrop,11.839766,-9.541183
human3_lib1.final_cell_0112-0,acinar,inDrop,11.924448,-9.849556
human3_lib3.final_cell_0022-0,acinar,inDrop,11.90657,-10.812022
human3_lib1.final_cell_0391-0,acinar,inDrop,11.808722,-9.372191
human3_lib1.final_cell_0215-0,acinar,inDrop,11.246343,-10.709586
human1_lib1.final_cell_0461-0,acinar,inDrop,10.427105,-9.827291
human3_lib2.final_cell_0685-0,acinar,inDrop,11.449482,-9.73861
human3_lib4.final_cell_0272-0,acinar,inDrop,12.147452,-9.394964
human3_lib3.final_cell_0163-0,acinar,inDrop,11.538735,-9.609923
human1_lib1.final_cell_0182-0,acinar,inDrop,11.180471,-9.504314
human3_lib2.final_cell_0105-0,acinar,inDrop,11.676504,-9.002951
human3_lib4.final_cell_0466-0,acinar,inDrop,11.206318,-10.714999
human3_lib3.final_cell_0044-0,acinar,inDrop,12.628013,-9.10667
human3_lib1.final_cell_0069-0,acinar,inDrop,12.6351185,-9.281081
human3_lib4.final_cell_0103-0,acinar,inDrop,12.176691,-9.9873
human3_lib2.final_cell_0036-0,acinar,inDrop,11.667512,-8.95625
human3_lib1.final_cell_0505-0,acinar,inDrop,10.939292,-10.606097
human3_lib2.final_cell_0267-0,acinar,inDrop,12.144122,-10.164058
human3_lib3.final_cell_0703-0,acinar,inDrop,11.040415,-10.993942
human3_lib2.final_cell_0109-0,acinar,inDrop,11.714265,-9.613141
human3_lib4.final_cell_0171-0,acinar,inDrop,10.971959,-10.19048
human3_lib2.final_cell_0134-0,acinar,inDrop,12.125308,-10.366239
human1_lib2.final_cell_0582-0,acinar,inDrop,10.732036,-10.62024
human3_lib1.final_cell_0212-0,acinar,inDrop,10.881636,-10.711753
human3_lib2.final_cell_0675-0,acinar,inDrop,11.749688,-9.222987
human3_lib3.final_cell_0205-0,acinar,inDrop,12.349,-9.674862
human3_lib4.final_cell_0184-0,acinar,inDrop,7.9995627,-2.7115765
human3_lib3.final_cell_0079-0,acinar,inDrop,12.674544,-9.0863085
human3_lib2.final_cell_0060-0,acinar,inDrop,11.7421665,-9.771731
human3_lib1.final_cell_0204-0,acinar,inDrop,12.303784,-9.593207
human3_lib4.final_cell_0070-0,acinar,inDrop,11.3327675,-9.561273
human3_lib3.final_cell_0415-0,acinar,inDrop,10.544972,-9.6403265
human3_lib3.final_cell_0208-0,acinar,inDrop,11.821956,-9.868257
human3_lib1.final_cell_0038-0,acinar,inDrop,12.426389,-9.238244
human3_lib4.final_cell_0533-0,acinar,inDrop,11.163038,-10.809386
human1_lib3.final_cell_0231-0,acinar,inDrop,10.950398,-9.43649
human3_lib3.final_cell_0066-0,acinar,inDrop,-4.136206,-12.019569
human3_lib4.final_cell_0108-0,acinar,inDrop,12.085656,-9.295553
human3_lib3.final_cell_0301-0,acinar,inDrop,11.470898,-9.029351
human3_lib4.final_cell_0149-0,acinar,inDrop,10.953905,-10.858049
human3_lib4.final_cell_0003-0,acinar,inDrop,12.068199,-8.477914
human3_lib3.final_cell_0266-0,acinar,inDrop,11.63635,-9.514985
human3_lib1.final_cell_0373-0,acinar,inDrop,11.223308,-10.994401
human3_lib1.final_cell_0172-0,acinar,inDrop,11.940826,-9.051273
human3_lib2.final_cell_0003-0,acinar,inDrop,11.372235,-9.907811
human3_lib3.final_cell_0166-0,acinar,inDrop,10.639353,-10.477574
human3_lib2.final_cell_0101-0,acinar,inDrop,12.02145,-9.033316
human3_lib2.final_cell_0277-0,acinar,inDrop,12.290473,-9.016994
human3_lib3.final_cell_0045-0,acinar,inDrop,11.835923,-10.183655
human3_lib1.final_cell_0483-0,acinar,inDrop,11.293134,-9.9105015
human3_lib4.final_cell_0575-0,acinar,inDrop,11.015435,-10.928023
human3_lib4.final_cell_0519-0,acinar,inDrop,10.726931,-10.485497
human3_lib4.final_cell_0512-0,acinar,inDrop,11.379392,-10.025137
human3_lib4.final_cell_0615-0,acinar,inDrop,-5.7567854,-0.16453208
human3_lib4.final_cell_0555-0,acinar,inDrop,-0.27331495,-2.4816656
human3_lib3.final_cell_0803-0,acinar,inDrop,10.765272,-10.2441
human3_lib1.final_cell_0013-0,acinar,inDrop,12.842458,-9.256475
human3_lib2.final_cell_0006-0,acinar,inDrop,12.162669,-8.543604
human3_lib1.final_cell_0300-0,acinar,inDrop,11.293089,-10.57835
human3_lib4.final_cell_0155-0,acinar,inDrop,11.531949,-9.696539
human3_lib1.final_cell_0307-0,acinar,inDrop,12.093543,-9.706008
human3_lib3.final_cell_0551-0,acinar,inDrop,10.782986,-10.632791
human3_lib2.final_cell_0069-0,acinar,inDrop,12.283166,-8.992136
human3_lib3.final_cell_0111-0,acinar,inDrop,12.127903,-8.910985
human3_lib4.final_cell_0087-0,acinar,inDrop,12.128735,-9.770115
human3_lib2.final_cell_0299-0,acinar,inDrop,11.853903,-9.858485
human3_lib2.final_cell_0108-0,acinar,inDrop,12.393244,-9.223798
human3_lib1.final_cell_0214-0,acinar,inDrop,11.341317,-10.646324
human3_lib2.final_cell_0107-0,acinar,inDrop,10.8186,-10.264372
human3_lib4.final_cell_0742-0,acinar,inDrop,10.972702,-10.479741
human1_lib3.final_cell_0043-0,acinar,inDrop,11.503091,-9.226546
human3_lib1.final_cell_0035-0,acinar,inDrop,11.291559,-9.828494
human3_lib3.final_cell_0685-0,acinar,inDrop,11.38567,-10.812879
human1_lib3.final_cell_0469-0,acinar,inDrop,8.402159,-9.326815
human1_lib1.final_cell_0436-0,acinar,inDrop,10.553666,-10.365504
human3_lib2.final_cell_0020-0,acinar,inDrop,12.375907,-8.967337
human3_lib2.final_cell_0180-0,acinar,inDrop,10.941603,-10.823534
human3_lib3.final_cell_0139-0,acinar,inDrop,12.482503,-9.289432
human3_lib1.final_cell_0268-0,acinar,inDrop,11.939698,-10.12049
human3_lib4.final_cell_0746-0,acinar,inDrop,11.087959,-10.96868
human3_lib1.final_cell_0006-0,acinar,inDrop,12.832623,-8.9041195
human3_lib3.final_cell_0227-0,acinar,inDrop,12.399745,-9.81718
human3_lib3.final_cell_0059-0,acinar,inDrop,12.720433,-9.129623
human3_lib2.final_cell_0135-0,acinar,inDrop,12.556096,-8.929421
human3_lib2.final_cell_0027-0,acinar,inDrop,12.423756,-9.74296
human3_lib2.final_cell_0019-0,acinar,inDrop,12.455077,-10.1024685
human3_lib4.final_cell_0783-0,acinar,inDrop,11.949965,-10.254429
human3_lib2.final_cell_0586-0,acinar,inDrop,11.087366,-10.26066
human1_lib2.final_cell_0616-0,acinar,inDrop,10.819781,-10.412931
human3_lib2.final_cell_0082-0,acinar,inDrop,11.711605,-9.126008
human3_lib1.final_cell_0022-0,acinar,inDrop,-3.916077,-12.327605
human1_lib3.final_cell_0020-0,acinar,inDrop,11.327316,-9.2315445
human3_lib3.final_cell_0243-0,acinar,inDrop,11.102365,-10.164
human3_lib4.final_cell_0195-0,acinar,inDrop,12.604943,-10.045981
human3_lib3.final_cell_0019-0,acinar,inDrop,11.43871,-10.5612
human3_lib4.final_cell_0131-0,acinar,inDrop,12.521808,-8.943475
human3_lib3.final_cell_0157-0,acinar,inDrop,11.149223,-10.226043
human3_lib3.final_cell_0241-0,acinar,inDrop,11.778842,-10.335247
human1_lib1.final_cell_0029-0,acinar,inDrop,10.870414,-9.965716
human3_lib3.final_cell_0031-0,acinar,inDrop,11.519704,-9.714023
human3_lib3.final_cell_0651-0,acinar,inDrop,8.412386,-8.56415
human1_lib3.final_cell_0600-0,acinar,inDrop,11.4131775,-8.929633
human3_lib1.final_cell_0439-0,acinar,inDrop,10.713272,-10.600642
human3_lib3.final_cell_0068-0,acinar,inDrop,11.858152,-9.812056
human1_lib2.final_cell_0404-0,acinar,inDrop,10.941556,-10.09679
human3_lib4.final_cell_0039-0,acinar,inDrop,12.855491,-8.892185
human3_lib2.final_cell_0800-0,acinar,inDrop,-0.3443079,-2.5750256
human3_lib2.final_cell_0174-0,acinar,inDrop,12.33448,-9.744086
human3_lib4.final_cell_0076-0,acinar,inDrop,10.921634,-10.718686
human1_lib2.final_cell_0111-0,acinar,inDrop,11.624881,-9.062332
human3_lib4.final_cell_0080-0,acinar,inDrop,12.167293,-9.705171
human3_lib1.final_cell_0050-0,acinar,inDrop,12.198757,-10.489269
human3_lib1.final_cell_0389-0,acinar,inDrop,10.914133,-10.909074
human3_lib4.final_cell_0636-0,acinar,inDrop,9.518855,-9.20681
human3_lib1.final_cell_0131-0,acinar,inDrop,11.720271,-9.377709
human3_lib3.final_cell_0094-0,acinar,inDrop,-3.8439467,-12.236414
human3_lib3.final_cell_0126-0,acinar,inDrop,11.924573,-10.32284
human3_lib2.final_cell_0466-0,acinar,inDrop,12.15444,-9.2771225
human3_lib1.final_cell_0360-0,acinar,inDrop,10.958058,-10.335029
human3_lib4.final_cell_0005-0,acinar,inDrop,11.751985,-10.536109
human3_lib3.final_cell_0060-0,acinar,inDrop,12.658098,-9.059592
human3_lib3.final_cell_0162-0,acinar,inDrop,12.365761,-10.348753
human3_lib4.final_cell_0355-0,acinar,inDrop,-5.7958746,0.008293917
human3_lib2.final_cell_0226-0,acinar,inDrop,12.254693,-9.119543
human3_lib3.final_cell_0268-0,acinar,inDrop,11.72708,-9.997981
human3_lib2.final_cell_0421-0,acinar,inDrop,11.809096,-10.408272
human3_lib4.final_cell_0111-0,acinar,inDrop,11.810344,-9.964942
human3_lib3.final_cell_0072-0,acinar,inDrop,12.57496,-8.997881
human3_lib2.final_cell_0093-0,acinar,inDrop,12.463741,-9.553649
human3_lib4.final_cell_0371-0,acinar,inDrop,12.193497,-8.9780035
human3_lib3.final_cell_0047-0,acinar,inDrop,12.651361,-9.720853
human3_lib3.final_cell_0272-0,acinar,inDrop,11.923675,-9.181352
human3_lib4.final_cell_0008-0,acinar,inDrop,-3.4311972,-12.13395
human3_lib4.final_cell_0549-0,acinar,inDrop,11.86353,-9.13342
human3_lib4.final_cell_0020-0,acinar,inDrop,12.61824,-9.515642
human3_lib2.final_cell_0078-0,acinar,inDrop,11.631685,-9.269171
human3_lib4.final_cell_0207-0,acinar,inDrop,11.05896,-10.975316
human3_lib1.final_cell_0063-0,acinar,inDrop,12.379208,-10.142499
human3_lib2.final_cell_0090-0,acinar,inDrop,12.749796,-8.914676
human3_lib1.final_cell_0014-0,acinar,inDrop,12.7824745,-8.817953
human3_lib4.final_cell_0065-0,acinar,inDrop,11.724258,-9.735718
human3_lib3.final_cell_0004-0,acinar,inDrop,12.416189,-10.156186
human3_lib3.final_cell_0089-0,acinar,inDrop,12.199798,-10.357353
human2_lib2.final_cell_0154-0,acinar,inDrop,9.055035,-8.851834
human3_lib2.final_cell_0076-0,acinar,inDrop,12.533787,-9.6002865
human3_lib1.final_cell_0195-0,acinar,inDrop,12.219977,-9.891766
human3_lib3.final_cell_0646-0,acinar,inDrop,11.307064,-10.281375
