CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-0.3945235,-10.512143
D28.7_64,acinar,celseq2,7.044693,4.186503
D31.2_86,acinar,celseq2,5.333998,3.1055353
human3_lib2.final_cell_0055,acinar,inDrop,-0.1429469,-10.337212
human3_lib4.final_cell_0748,acinar,inDrop,0.43933472,-8.604836
human3_lib1.final_cell_0004,acinar,inDrop,-1.068085,-10.217816
human3_lib2.final_cell_0497,acinar,inDrop,-1.3933847,-9.649239
human1_lib1.final_cell_0028,acinar,inDrop,-1.078663,-9.297665
D31.7_21,acinar,celseq2,4.118305,3.649683
human3_lib4.final_cell_0518,acinar,inDrop,-0.6791951,-8.217059
human3_lib1.final_cell_0005,acinar,inDrop,-1.3524076,-9.9806795
D28.5_31,acinar,celseq2,5.6407604,3.082295
human3_lib1.final_cell_0109,acinar,inDrop,0.11919985,-9.986374
human3_lib3.final_cell_0385,acinar,inDrop,0.2630012,-10.143404
human3_lib3.final_cell_0028,acinar,inDrop,-0.026474323,-10.285585
HP1502401_F13,acinar,smartseq2,5.8128996,4.605953
human3_lib1.final_cell_0371,acinar,inDrop,0.3945794,-9.49953
HP1506401_D24,acinar,smartseq2,6.7671003,3.532031
human3_lib4.final_cell_0148,acinar,inDrop,-0.6720795,-9.948984
HP1502401_M22,acinar,smartseq2,7.1597295,4.538157
human3_lib4.final_cell_0072,acinar,inDrop,-0.09047883,-8.652298
human3_lib1.final_cell_0146,acinar,inDrop,0.28880697,-9.286437
human3_lib1.final_cell_0642,acinar,inDrop,0.38948762,-8.334814
human3_lib4.final_cell_0537,acinar,inDrop,-0.31785753,-9.403581
human3_lib1.final_cell_0026,acinar,inDrop,-0.5891933,-10.3246765
human1_lib1.final_cell_0047,acinar,inDrop,0.26794082,-9.776057
human3_lib2.final_cell_0012,acinar,inDrop,-1.0137558,-10.30188
human3_lib4.final_cell_0034,acinar,inDrop,-0.010377333,-9.804113
D28.6_19,acinar,celseq2,5.626862,4.528792
human3_lib1.final_cell_0027,acinar,inDrop,-0.53735846,-10.126984
human3_lib3.final_cell_0235,acinar,inDrop,-0.35331622,-10.417844
human3_lib4.final_cell_0358,acinar,inDrop,-0.33583054,-8.133964
human3_lib4.final_cell_0292,acinar,inDrop,0.7117392,-10.066155
human3_lib1.final_cell_0044,acinar,inDrop,-1.0171883,-10.481161
D30.5_79,acinar,celseq2,5.8454633,4.785012
D28.8_39,acinar,celseq2,6.816563,3.7107344
human1_lib3.final_cell_0031,acinar,inDrop,-0.55314684,-8.018638
human3_lib1.final_cell_0117,acinar,inDrop,-0.585514,-9.151678
human3_lib2.final_cell_0083,acinar,inDrop,-0.7851328,-9.216159
D30.6_37,acinar,celseq2,5.6972995,4.7356796
HP1506401_B16,acinar,smartseq2,5.4765162,3.1316721
human3_lib1.final_cell_0112,acinar,inDrop,0.29668286,-9.9039755
human3_lib3.final_cell_0022,acinar,inDrop,0.50586116,-10.155453
human3_lib1.final_cell_0391,acinar,inDrop,-1.0420717,-9.192198
human3_lib1.final_cell_0215,acinar,inDrop,0.26084104,-10.168193
human1_lib1.final_cell_0461,acinar,inDrop,0.041245073,-8.631612
human3_lib2.final_cell_0685,acinar,inDrop,-0.59098876,-8.753754
human3_lib4.final_cell_0272,acinar,inDrop,-1.5402536,-9.768482
HP1506401_D3,acinar,smartseq2,5.8735905,3.0043678
human3_lib3.final_cell_0163,acinar,inDrop,0.08590772,-8.529586
human1_lib1.final_cell_0182,acinar,inDrop,-0.5135207,-8.058457
HP1504101T2D_J16,acinar,smartseq2,6.877725,4.6060085
human3_lib2.final_cell_0105,acinar,inDrop,-5.6250343,-3.9415739
human3_lib4.final_cell_0466,acinar,inDrop,0.25275147,-9.749795
D30.4_18,acinar,celseq2,6.609385,4.564491
human3_lib3.final_cell_0044,acinar,inDrop,-1.4376256,-10.319872
D28.5_63,acinar,celseq2,7.1543193,3.9753404
HP1504901_F23,acinar,smartseq2,5.004991,3.458052
human3_lib1.final_cell_0069,acinar,inDrop,-0.34257844,-10.019507
D31.3_89,acinar,celseq2,6.997088,4.271423
human3_lib4.final_cell_0103,acinar,inDrop,-0.15366746,-10.412098
human3_lib2.final_cell_0036,acinar,inDrop,5.1813307,-8.474379
HP1506401_J15,acinar,smartseq2,7.1114755,3.7027173
human3_lib1.final_cell_0505,acinar,inDrop,0.043788966,-8.912468
