CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,10.713397,3.9100919
D28.7_64,acinar,celseq2,6.861696,6.2777677
D31.2_86,acinar,celseq2,5.1247277,6.993971
human3_lib2.final_cell_0055,acinar,inDrop,9.248931,2.0988495
human3_lib4.final_cell_0748,acinar,inDrop,7.122498,2.225474
human3_lib1.final_cell_0004,acinar,inDrop,10.335954,4.0315266
human3_lib2.final_cell_0497,acinar,inDrop,10.168274,-0.05086327
human1_lib1.final_cell_0028,acinar,inDrop,8.559901,-0.94621724
D31.7_21,acinar,celseq2,-5.127441,1.5471525
human3_lib4.final_cell_0518,acinar,inDrop,1.6134353,6.105457
human3_lib1.final_cell_0005,acinar,inDrop,10.004025,3.4089162
D28.5_31,acinar,celseq2,8.354614,8.87711
human3_lib1.final_cell_0109,acinar,inDrop,9.380314,3.421522
human3_lib3.final_cell_0385,acinar,inDrop,10.399828,2.9784958
human3_lib3.final_cell_0028,acinar,inDrop,9.86311,5.299384
HP1502401_F13,acinar,smartseq2,6.4959297,6.6145906
human3_lib1.final_cell_0371,acinar,inDrop,10.6572695,3.1637518
HP1506401_D24,acinar,smartseq2,7.2194495,5.7994785
human3_lib4.final_cell_0148,acinar,inDrop,10.691618,3.1330283
HP1502401_M22,acinar,smartseq2,6.594334,5.941575
human3_lib4.final_cell_0072,acinar,inDrop,10.358489,2.9093938
human3_lib1.final_cell_0146,acinar,inDrop,6.824011,0.7836397
human3_lib1.final_cell_0642,acinar,inDrop,7.602533,2.0244362
human3_lib4.final_cell_0537,acinar,inDrop,7.6888213,1.9881792
human3_lib1.final_cell_0026,acinar,inDrop,10.232135,3.6604443
human1_lib1.final_cell_0047,acinar,inDrop,8.3469925,0.23701853
human3_lib2.final_cell_0012,acinar,inDrop,10.141356,2.5039666
human3_lib4.final_cell_0034,acinar,inDrop,10.161221,6.023964
D28.6_19,acinar,celseq2,4.132587,7.2250905
human3_lib1.final_cell_0027,acinar,inDrop,10.139677,2.6714094
human3_lib3.final_cell_0235,acinar,inDrop,9.470854,4.532821
human3_lib4.final_cell_0358,acinar,inDrop,8.650976,2.6473475
human3_lib4.final_cell_0292,acinar,inDrop,6.8011217,2.400885
human3_lib1.final_cell_0044,acinar,inDrop,10.402778,2.269018
D30.5_79,acinar,celseq2,4.068626,6.8326826
D28.8_39,acinar,celseq2,6.609131,6.935355
human1_lib3.final_cell_0031,acinar,inDrop,9.234325,-0.55768985
human3_lib1.final_cell_0117,acinar,inDrop,9.754716,1.4479644
human3_lib2.final_cell_0083,acinar,inDrop,11.184655,3.2314165
D30.6_37,acinar,celseq2,4.170362,6.8180566
HP1506401_B16,acinar,smartseq2,7.3873806,6.3767247
human3_lib1.final_cell_0112,acinar,inDrop,10.039341,2.766121
human3_lib3.final_cell_0022,acinar,inDrop,10.043379,7.2798257
