CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,8.311305,-10.012674
D28.7_64,acinar,celseq2,-9.663505,-7.1614833
D31.2_86,acinar,celseq2,-11.75165,-6.3331037
human3_lib2.final_cell_0055,acinar,inDrop,7.9641633,-11.29132
human3_lib4.final_cell_0748,acinar,inDrop,6.7663546,-11.010421
human3_lib1.final_cell_0004,acinar,inDrop,7.445691,-9.935595
human3_lib2.final_cell_0497,acinar,inDrop,6.845638,-9.700476
human1_lib1.final_cell_0028,acinar,inDrop,6.3520722,-9.325997
D31.7_21,acinar,celseq2,-11.170382,-3.8482575
human3_lib4.final_cell_0518,acinar,inDrop,6.5782456,-10.143521
human3_lib1.final_cell_0005,acinar,inDrop,7.4618545,-9.117794
D28.5_31,acinar,celseq2,-11.508057,-6.160036
human3_lib1.final_cell_0109,acinar,inDrop,8.054915,-11.199739
human3_lib3.final_cell_0385,acinar,inDrop,7.850173,-10.446948
human3_lib3.final_cell_0028,acinar,inDrop,8.066747,-10.126403
HP1502401_F13,acinar,smartseq2,-11.408365,-5.581372
human3_lib1.final_cell_0371,acinar,inDrop,8.384764,-9.69087
HP1506401_D24,acinar,smartseq2,-10.798762,-7.502003
human3_lib4.final_cell_0148,acinar,inDrop,7.7130656,-11.079133
HP1502401_M22,acinar,smartseq2,-10.09562,-7.002722
human3_lib4.final_cell_0072,acinar,inDrop,7.8786244,-10.573564
human3_lib1.final_cell_0146,acinar,inDrop,8.027874,-10.176611
human3_lib1.final_cell_0642,acinar,inDrop,8.544487,-9.537289
human3_lib4.final_cell_0537,acinar,inDrop,7.3649077,-10.375686
human3_lib1.final_cell_0026,acinar,inDrop,7.425311,-10.910742
human1_lib1.final_cell_0047,acinar,inDrop,6.375607,-10.201027
human3_lib2.final_cell_0012,acinar,inDrop,8.137555,-9.744207
human3_lib4.final_cell_0034,acinar,inDrop,7.863013,-10.712303
D28.6_19,acinar,celseq2,-11.615288,-5.4210997
human3_lib1.final_cell_0027,acinar,inDrop,7.711994,-9.690057
human3_lib3.final_cell_0235,acinar,inDrop,8.070903,-10.209625
human3_lib4.final_cell_0358,acinar,inDrop,7.242501,-11.232135
human3_lib4.final_cell_0292,acinar,inDrop,7.400014,-11.157843
human3_lib1.final_cell_0044,acinar,inDrop,7.753479,-9.690716
D30.5_79,acinar,celseq2,-11.350491,-5.5868497
D28.8_39,acinar,celseq2,-10.404785,-7.083835
human1_lib3.final_cell_0031,acinar,inDrop,6.4168267,-9.7241955
human3_lib1.final_cell_0117,acinar,inDrop,7.848001,-9.425176
human3_lib2.final_cell_0083,acinar,inDrop,7.905856,-9.557249
D30.6_37,acinar,celseq2,-11.314185,-5.54533
HP1506401_B16,acinar,smartseq2,-11.4773855,-6.8452716
human3_lib1.final_cell_0112,acinar,inDrop,7.554095,-10.879938
human3_lib3.final_cell_0022,acinar,inDrop,7.778699,-11.407268
human3_lib1.final_cell_0391,acinar,inDrop,6.9930377,-9.340519
human3_lib1.final_cell_0215,acinar,inDrop,7.7715178,-10.314067
human1_lib1.final_cell_0461,acinar,inDrop,6.1601706,-10.321634
human3_lib2.final_cell_0685,acinar,inDrop,6.696523,-9.546974
human3_lib4.final_cell_0272,acinar,inDrop,8.019099,-9.765324
HP1506401_D3,acinar,smartseq2,-11.19516,-7.496572
human3_lib3.final_cell_0163,acinar,inDrop,6.8770013,-10.147433
human1_lib1.final_cell_0182,acinar,inDrop,6.664111,-9.759896
HP1504101T2D_J16,acinar,smartseq2,-10.204694,-6.8152614
human3_lib2.final_cell_0105,acinar,inDrop,7.128606,-9.159388
human3_lib4.final_cell_0466,acinar,inDrop,7.799024,-10.189594
D30.4_18,acinar,celseq2,-10.373131,-6.554179
human3_lib3.final_cell_0044,acinar,inDrop,7.262747,-9.319691
D28.5_63,acinar,celseq2,-11.117233,-6.403144
HP1504901_F23,acinar,smartseq2,-11.524416,-5.031705
human3_lib1.final_cell_0069,acinar,inDrop,7.3652196,-10.046648
D31.3_89,acinar,celseq2,-9.845733,-7.1883426
human3_lib4.final_cell_0103,acinar,inDrop,7.7913613,-10.2847395
human3_lib2.final_cell_0036,acinar,inDrop,7.352824,-9.3914585
HP1506401_J15,acinar,smartseq2,-10.765492,-7.639879
human3_lib1.final_cell_0505,acinar,inDrop,7.791546,-10.752137
HP1506401_O16,acinar,smartseq2,-11.342373,-7.2325306
human3_lib2.final_cell_0267,acinar,inDrop,8.432554,-9.416935
human3_lib3.final_cell_0703,acinar,inDrop,7.1005607,-11.360982
human3_lib2.final_cell_0109,acinar,inDrop,6.5733867,-10.584943
D30.2_53,acinar,celseq2,-10.459512,-6.6044693
human3_lib4.final_cell_0171,acinar,inDrop,6.8274,-10.650889
HP1506401_N23,acinar,smartseq2,-11.028331,-7.3404293
D28.3_51,acinar,celseq2,-9.715972,-7.34738
human3_lib2.final_cell_0134,acinar,inDrop,7.2221723,-10.546201
human1_lib2.final_cell_0582,acinar,inDrop,7.295898,-11.340422
D28.5_37,acinar,celseq2,-11.702835,-5.955294
human3_lib1.final_cell_0212,acinar,inDrop,6.934864,-10.9487705
D28.3_90,acinar,celseq2,-11.704434,-5.934896
human3_lib2.final_cell_0675,acinar,inDrop,6.880365,-9.697991
D31.1_21,acinar,celseq2,-11.580285,-5.230457
human3_lib3.final_cell_0205,acinar,inDrop,8.248679,-9.881008
human3_lib4.final_cell_0184,acinar,inDrop,7.520963,-9.527232
human3_lib3.final_cell_0079,acinar,inDrop,7.056641,-9.354972
human3_lib2.final_cell_0060,acinar,inDrop,7.1167097,-10.710454
human3_lib1.final_cell_0204,acinar,inDrop,7.3205214,-9.8326
HP1506401_N9,acinar,smartseq2,-11.479389,-7.200547
HP1526901T2D_H2,acinar,smartseq2,-9.963382,-7.224068
human3_lib4.final_cell_0070,acinar,inDrop,7.1339345,-9.7919235
human3_lib3.final_cell_0415,acinar,inDrop,7.280154,-9.765864
HP1525301T2D_F10,acinar,smartseq2,-10.143901,-6.856637
D31.5_69,acinar,celseq2,-11.424808,-4.8751416
human3_lib3.final_cell_0208,acinar,inDrop,6.8280883,-9.973807
human3_lib1.final_cell_0038,acinar,inDrop,7.569783,-9.821324
human3_lib4.final_cell_0533,acinar,inDrop,7.1511407,-10.4204855
human1_lib3.final_cell_0231,acinar,inDrop,6.541217,-10.289781
HP1504101T2D_C11,acinar,smartseq2,-10.443653,-7.4922676
human3_lib3.final_cell_0066,acinar,inDrop,7.82296,-10.347313
human3_lib4.final_cell_0108,acinar,inDrop,7.97123,-9.344363
D30.7_1,acinar,celseq2,-10.52163,-6.899559
human3_lib3.final_cell_0301,acinar,inDrop,5.998875,-9.854993
human3_lib4.final_cell_0149,acinar,inDrop,7.173461,-11.1915655
HP1508501T2D_B14,acinar,smartseq2,-10.463325,-7.6439433
human3_lib4.final_cell_0003,acinar,inDrop,8.170848,-10.962215
human3_lib3.final_cell_0266,acinar,inDrop,7.42691,-9.737365
human3_lib1.final_cell_0373,acinar,inDrop,6.9061975,-10.774214
D30.7_24,acinar,celseq2,-11.616913,-5.2655883
human3_lib1.final_cell_0172,acinar,inDrop,7.6481915,-9.119616
human3_lib2.final_cell_0003,acinar,inDrop,7.3400426,-10.40503
AZ_F6,acinar,smartseq2,-10.813317,-7.157814
HP1508501T2D_I10,acinar,smartseq2,-10.290822,-7.8446784
human3_lib3.final_cell_0166,acinar,inDrop,7.1713357,-10.814964
human3_lib2.final_cell_0101,acinar,inDrop,8.145523,-9.703105
HP1508501T2D_G17,acinar,smartseq2,-10.106788,-7.480361
HP1525301T2D_L5,acinar,smartseq2,-10.155972,-6.8840985
human3_lib2.final_cell_0277,acinar,inDrop,7.425888,-9.179398
D28.6_63,acinar,celseq2,-9.995425,-7.0715113
human3_lib3.final_cell_0045,acinar,inDrop,7.9679523,-10.990979
HP1502401_G18,acinar,smartseq2,-10.326705,-6.6706915
human3_lib1.final_cell_0483,acinar,inDrop,6.9924245,-9.697725
human3_lib4.final_cell_0575,acinar,inDrop,7.549827,-11.482924
human3_lib4.final_cell_0519,acinar,inDrop,7.037662,-11.297482
human3_lib4.final_cell_0512,acinar,inDrop,6.812108,-9.838891
human3_lib4.final_cell_0615,acinar,inDrop,6.5893683,-10.940159
human3_lib4.final_cell_0555,acinar,inDrop,6.3979263,-10.636027
human3_lib3.final_cell_0803,acinar,inDrop,7.625283,-10.451014
human3_lib1.final_cell_0013,acinar,inDrop,8.117778,-9.95757
D31.2_75,acinar,celseq2,-10.81433,-7.096225
HP1506401_B14,acinar,smartseq2,-11.438487,-7.108652
human3_lib2.final_cell_0006,acinar,inDrop,7.481005,-10.283601
human3_lib1.final_cell_0300,acinar,inDrop,7.0713696,-11.246152
D30.3_91,acinar,celseq2,-11.231382,-5.843275
human3_lib4.final_cell_0155,acinar,inDrop,7.6776404,-10.7169695
human3_lib1.final_cell_0307,acinar,inDrop,7.377793,-9.1332655
human3_lib3.final_cell_0551,acinar,inDrop,6.3594437,-10.791241
human3_lib2.final_cell_0069,acinar,inDrop,7.0832434,-9.411676
human3_lib3.final_cell_0111,acinar,inDrop,7.493055,-9.467793
human3_lib4.final_cell_0087,acinar,inDrop,7.42197,-10.53187
human3_lib2.final_cell_0299,acinar,inDrop,7.5519776,-11.327965
human3_lib2.final_cell_0108,acinar,inDrop,6.9075003,-9.418482
HP1506401_J2,acinar,smartseq2,-11.095767,-7.1877403
D31.5_70,acinar,celseq2,-11.111656,-6.4204993
human3_lib1.final_cell_0214,acinar,inDrop,6.77477,-10.402598
human3_lib2.final_cell_0107,acinar,inDrop,7.718851,-11.289307
human3_lib4.final_cell_0742,acinar,inDrop,7.3057637,-11.158127
human1_lib3.final_cell_0043,acinar,inDrop,6.2073045,-9.761953
human3_lib1.final_cell_0035,acinar,inDrop,7.4524016,-10.942545
human3_lib3.final_cell_0685,acinar,inDrop,8.587415,-9.494417
human1_lib3.final_cell_0469,acinar,inDrop,4.286791,-9.497098
HP1502401_C1,acinar,smartseq2,-10.957974,-6.2426696
HP1506401_N5,acinar,smartseq2,-11.697411,-6.485961
D31.7_77,acinar,celseq2,-10.692281,-6.4983444
human1_lib1.final_cell_0436,acinar,inDrop,6.0228577,-10.2517395
D31.6_9,acinar,celseq2,-10.1484375,-6.7284565
human3_lib2.final_cell_0020,acinar,inDrop,7.910174,-9.432567
human3_lib2.final_cell_0180,acinar,inDrop,6.9897366,-10.992959
human3_lib3.final_cell_0139,acinar,inDrop,6.841068,-9.29881
D28.3_25,acinar,celseq2,-10.552737,-6.955267
human3_lib1.final_cell_0268,acinar,inDrop,7.327899,-10.365166
human3_lib4.final_cell_0746,acinar,inDrop,8.032574,-10.417866
human3_lib1.final_cell_0006,acinar,inDrop,7.1725764,-9.128353
human3_lib3.final_cell_0227,acinar,inDrop,5.4822974,-9.818291
human3_lib3.final_cell_0059,acinar,inDrop,7.7369905,-9.309238
HP1502401_J2,acinar,smartseq2,-9.905417,-7.048581
human3_lib2.final_cell_0135,acinar,inDrop,7.429486,-9.289529
D28.7_51,acinar,celseq2,-10.257491,-6.812008
HP1506401_L22,acinar,smartseq2,-11.176547,-3.9209974
D31.4_70,acinar,celseq2,-10.049779,-7.499531
human3_lib2.final_cell_0027,acinar,inDrop,8.269834,-9.489177
human3_lib2.final_cell_0019,acinar,inDrop,8.069219,-10.127942
human3_lib4.final_cell_0783,acinar,inDrop,7.1020317,-11.2265215
D31.6_53,acinar,celseq2,-10.039506,-7.1097956
human3_lib2.final_cell_0586,acinar,inDrop,6.8160686,-11.055242
D28.4_63,acinar,celseq2,-11.273245,-6.912716
D28.3_91,acinar,celseq2,-10.294899,-7.081372
HP1508501T2D_F21,acinar,smartseq2,-10.083088,-7.186567
human1_lib2.final_cell_0616,acinar,inDrop,5.5650873,-9.78437
human3_lib2.final_cell_0082,acinar,inDrop,6.691196,-10.278189
human3_lib1.final_cell_0022,acinar,inDrop,7.696869,-10.924529
human1_lib3.final_cell_0020,acinar,inDrop,6.3434463,-10.658774
human3_lib3.final_cell_0243,acinar,inDrop,7.4417925,-10.460168
human3_lib4.final_cell_0195,acinar,inDrop,7.312871,-10.557662
HP1508501T2D_A11,acinar,smartseq2,-10.6284275,-6.550685
D31.3_73,acinar,celseq2,-11.594249,-6.018999
human3_lib3.final_cell_0019,acinar,inDrop,7.8776355,-11.200741
human3_lib4.final_cell_0131,acinar,inDrop,7.137788,-9.723706
human3_lib3.final_cell_0157,acinar,inDrop,7.159017,-10.601293
human3_lib3.final_cell_0241,acinar,inDrop,7.2495723,-10.1069
human1_lib1.final_cell_0029,acinar,inDrop,6.7017455,-11.03829
human3_lib3.final_cell_0031,acinar,inDrop,7.7526784,-10.327824
HP1526901T2D_K17,acinar,smartseq2,-10.143847,-7.3426337
D28.4_4,acinar,celseq2,-7.8348885,-4.929937
HP1506401_O21,acinar,smartseq2,-11.352906,-7.369975
D31.6_21,acinar,celseq2,-11.440953,-4.707225
human3_lib3.final_cell_0651,acinar,inDrop,2.5589483,-10.363429
human1_lib3.final_cell_0600,acinar,inDrop,6.3963404,-9.7154255
human3_lib1.final_cell_0439,acinar,inDrop,6.598528,-10.992032
human3_lib3.final_cell_0068,acinar,inDrop,6.984508,-9.538478
human1_lib2.final_cell_0404,acinar,inDrop,7.5009646,-11.17665
