CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,6.8084216,-13.811718
D28.7_64,acinar,celseq2,15.290517,-7.9847207
D31.2_86,acinar,celseq2,16.632298,-9.346853
human3_lib2.final_cell_0055,acinar,inDrop,6.533689,-15.032815
human3_lib4.final_cell_0748,acinar,inDrop,5.1135745,-15.016718
human3_lib1.final_cell_0004,acinar,inDrop,5.7617874,-12.585195
human3_lib2.final_cell_0497,acinar,inDrop,5.5331798,-13.290569
human1_lib1.final_cell_0028,acinar,inDrop,4.2967997,-12.127005
D31.7_21,acinar,celseq2,16.8788,-9.096455
human3_lib4.final_cell_0518,acinar,inDrop,5.3935504,-13.578485
human3_lib1.final_cell_0005,acinar,inDrop,5.3568835,-12.318055
D28.5_31,acinar,celseq2,16.365553,-9.050071
human3_lib1.final_cell_0109,acinar,inDrop,6.114435,-15.197157
human3_lib3.final_cell_0385,acinar,inDrop,5.8687105,-14.24496
human3_lib3.final_cell_0028,acinar,inDrop,6.6209693,-13.567787
HP1502401_F13,acinar,smartseq2,16.148655,-7.776517
human3_lib1.final_cell_0371,acinar,inDrop,5.3947997,-14.736399
HP1506401_D24,acinar,smartseq2,15.083695,-8.524624
human3_lib4.final_cell_0148,acinar,inDrop,5.958859,-13.85447
HP1502401_M22,acinar,smartseq2,15.690164,-7.419079
human3_lib4.final_cell_0072,acinar,inDrop,6.5188937,-13.520184
human3_lib1.final_cell_0146,acinar,inDrop,5.9704757,-13.772283
human3_lib1.final_cell_0642,acinar,inDrop,4.761692,-14.514692
human3_lib4.final_cell_0537,acinar,inDrop,5.302733,-15.456975
human3_lib1.final_cell_0026,acinar,inDrop,6.7405915,-14.459985
human1_lib1.final_cell_0047,acinar,inDrop,4.9283495,-13.53153
human3_lib2.final_cell_0012,acinar,inDrop,5.782036,-12.250946
human3_lib4.final_cell_0034,acinar,inDrop,6.318015,-14.136537
D28.6_19,acinar,celseq2,17.018866,-8.228956
human3_lib1.final_cell_0027,acinar,inDrop,6.062669,-12.509133
human3_lib3.final_cell_0235,acinar,inDrop,6.9849963,-14.193015
human3_lib4.final_cell_0358,acinar,inDrop,5.6990805,-15.46443
human3_lib4.final_cell_0292,acinar,inDrop,6.415042,-14.811137
human3_lib1.final_cell_0044,acinar,inDrop,6.0746036,-12.595912
D30.5_79,acinar,celseq2,16.595982,-7.4556503
D28.8_39,acinar,celseq2,15.7236185,-8.195678
human1_lib3.final_cell_0031,acinar,inDrop,4.7934585,-13.090352
human3_lib1.final_cell_0117,acinar,inDrop,6.117189,-13.336075
human3_lib2.final_cell_0083,acinar,inDrop,6.1073337,-12.710863
D30.6_37,acinar,celseq2,16.800442,-7.67534
HP1506401_B16,acinar,smartseq2,15.707619,-9.150266
human3_lib1.final_cell_0112,acinar,inDrop,6.875257,-14.211904
human3_lib3.final_cell_0022,acinar,inDrop,6.015099,-15.316731
human3_lib1.final_cell_0391,acinar,inDrop,5.1286373,-12.998295
human3_lib1.final_cell_0215,acinar,inDrop,5.249501,-14.445905
human1_lib1.final_cell_0461,acinar,inDrop,4.4697394,-13.143929
human3_lib2.final_cell_0685,acinar,inDrop,4.858895,-12.915722
human3_lib4.final_cell_0272,acinar,inDrop,5.784186,-13.012178
HP1506401_D3,acinar,smartseq2,15.686601,-9.223081
human3_lib3.final_cell_0163,acinar,inDrop,5.702657,-13.171069
human1_lib1.final_cell_0182,acinar,inDrop,4.86811,-13.543115
HP1504101T2D_J16,acinar,smartseq2,15.613399,-7.7133813
human3_lib2.final_cell_0105,acinar,inDrop,5.0060296,-12.241316
human3_lib4.final_cell_0466,acinar,inDrop,5.4400835,-14.822234
D30.4_18,acinar,celseq2,16.46437,-7.793228
human3_lib3.final_cell_0044,acinar,inDrop,5.304233,-12.79045
D28.5_63,acinar,celseq2,15.769727,-8.004832
HP1504901_F23,acinar,smartseq2,16.549088,-9.103422
human3_lib1.final_cell_0069,acinar,inDrop,5.9434237,-13.152889
D31.3_89,acinar,celseq2,15.936753,-7.971867
human3_lib4.final_cell_0103,acinar,inDrop,6.9750347,-14.433233
human3_lib2.final_cell_0036,acinar,inDrop,5.2716503,-12.33719
HP1506401_J15,acinar,smartseq2,15.024342,-8.546622
human3_lib1.final_cell_0505,acinar,inDrop,5.5161963,-15.440242
HP1506401_O16,acinar,smartseq2,15.692641,-9.196922
human3_lib2.final_cell_0267,acinar,inDrop,6.539752,-13.710371
human3_lib3.final_cell_0703,acinar,inDrop,5.3964915,-15.31762
human3_lib2.final_cell_0109,acinar,inDrop,5.408493,-13.171007
D30.2_53,acinar,celseq2,16.125826,-7.3952847
human3_lib4.final_cell_0171,acinar,inDrop,5.1148844,-13.99014
HP1506401_N23,acinar,smartseq2,15.199939,-8.641601
D28.3_51,acinar,celseq2,15.559571,-7.669606
human3_lib2.final_cell_0134,acinar,inDrop,6.600126,-14.350979
human1_lib2.final_cell_0582,acinar,inDrop,4.8167953,-14.936185
D28.5_37,acinar,celseq2,16.875937,-8.679142
human3_lib1.final_cell_0212,acinar,inDrop,5.665603,-15.182407
D28.3_90,acinar,celseq2,16.597864,-9.000373
human3_lib2.final_cell_0675,acinar,inDrop,5.0310817,-13.859785
