CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013-0,acinar,inDrop,-2.7677014,5.8260984
human3_lib2.final_cell_0055-0,acinar,inDrop,-3.1747732,7.2912493
human3_lib4.final_cell_0748-0,acinar,inDrop,-4.087791,6.398783
human3_lib1.final_cell_0004-0,acinar,inDrop,-3.0292168,4.868042
human3_lib2.final_cell_0497-0,acinar,inDrop,-3.6209,4.5430226
human1_lib1.final_cell_0028-0,acinar,inDrop,-4.3768024,4.0638103
human3_lib4.final_cell_0518-0,acinar,inDrop,-4.3222833,5.4850507
human3_lib1.final_cell_0005-0,acinar,inDrop,-4.1505437,4.947446
human3_lib1.final_cell_0109-0,acinar,inDrop,-2.8874521,6.156992
human3_lib3.final_cell_0385-0,acinar,inDrop,-4.3899546,6.633487
human3_lib3.final_cell_0028-0,acinar,inDrop,-4.2378983,5.6766357
human3_lib1.final_cell_0371-0,acinar,inDrop,-4.7291355,6.2595034
human3_lib4.final_cell_0148-0,acinar,inDrop,-4.688966,6.07357
human3_lib4.final_cell_0072-0,acinar,inDrop,-3.0520346,5.3365073
human3_lib1.final_cell_0146-0,acinar,inDrop,-4.331851,6.2015557
human3_lib1.final_cell_0642-0,acinar,inDrop,-4.564148,6.6997495
human3_lib4.final_cell_0537-0,acinar,inDrop,-3.9045236,6.618333
human3_lib1.final_cell_0026-0,acinar,inDrop,-4.0599895,6.7893853
human1_lib1.final_cell_0047-0,acinar,inDrop,-5.2468104,6.2291827
human3_lib2.final_cell_0012-0,acinar,inDrop,-3.299795,4.6578007
human3_lib4.final_cell_0034-0,acinar,inDrop,-4.265109,5.7879047
human3_lib1.final_cell_0027-0,acinar,inDrop,-4.127468,5.136016
human3_lib3.final_cell_0235-0,acinar,inDrop,-2.7069106,5.604896
human3_lib4.final_cell_0358-0,acinar,inDrop,-3.4400547,7.1375628
human3_lib4.final_cell_0292-0,acinar,inDrop,-3.575939,7.0501447
human3_lib1.final_cell_0044-0,acinar,inDrop,-2.9842477,4.8628354
human1_lib3.final_cell_0031-0,acinar,inDrop,-5.422473,5.9055567
human3_lib1.final_cell_0117-0,acinar,inDrop,-2.8746963,4.5282373
human3_lib2.final_cell_0083-0,acinar,inDrop,-3.908147,5.1440525
human3_lib1.final_cell_0112-0,acinar,inDrop,-3.1929247,5.844448
human3_lib3.final_cell_0022-0,acinar,inDrop,-3.8294451,7.182666
human3_lib1.final_cell_0391-0,acinar,inDrop,-4.5641212,4.9612503
human3_lib1.final_cell_0215-0,acinar,inDrop,-4.23823,6.28967
human1_lib1.final_cell_0461-0,acinar,inDrop,-5.0885053,5.5982776
human3_lib2.final_cell_0685-0,acinar,inDrop,-4.681128,4.8226833
human3_lib4.final_cell_0272-0,acinar,inDrop,-3.3627317,4.424237
human3_lib3.final_cell_0163-0,acinar,inDrop,-4.110359,5.628061
human1_lib1.final_cell_0182-0,acinar,inDrop,-5.3725944,6.0321417
human3_lib2.final_cell_0105-0,acinar,inDrop,-4.01001,4.269173
human3_lib4.final_cell_0466-0,acinar,inDrop,-3.8338714,5.2902207
human3_lib3.final_cell_0044-0,acinar,inDrop,-3.4259624,4.321922
human3_lib1.final_cell_0069-0,acinar,inDrop,-4.7985973,5.815442
human3_lib4.final_cell_0103-0,acinar,inDrop,-3.2241118,6.226902
human3_lib2.final_cell_0036-0,acinar,inDrop,-3.177276,4.479658
human3_lib1.final_cell_0505-0,acinar,inDrop,-4.204271,6.548794
human3_lib2.final_cell_0267-0,acinar,inDrop,-2.9192135,5.65698
human3_lib3.final_cell_0703-0,acinar,inDrop,-4.168246,6.8790536
human3_lib2.final_cell_0109-0,acinar,inDrop,-4.5019927,5.9333563
human3_lib4.final_cell_0171-0,acinar,inDrop,-4.746332,6.500538
human3_lib2.final_cell_0134-0,acinar,inDrop,-3.452499,5.9913597
human1_lib2.final_cell_0582-0,acinar,inDrop,-4.4562597,6.584299
human3_lib1.final_cell_0212-0,acinar,inDrop,-4.455432,6.7796755
human3_lib2.final_cell_0675-0,acinar,inDrop,-4.175233,4.8619146
human3_lib3.final_cell_0205-0,acinar,inDrop,-3.7131283,5.049166
human3_lib4.final_cell_0184-0,acinar,inDrop,-3.6134615,5.85633
human3_lib3.final_cell_0079-0,acinar,inDrop,-4.2448,4.578321
human3_lib2.final_cell_0060-0,acinar,inDrop,-3.8573253,5.86102
human3_lib1.final_cell_0204-0,acinar,inDrop,-3.917019,4.6224008
human3_lib4.final_cell_0070-0,acinar,inDrop,-5.1250362,5.312079
human3_lib3.final_cell_0415-0,acinar,inDrop,-4.455075,4.8349233
human3_lib3.final_cell_0208-0,acinar,inDrop,-3.2742908,5.468271
human3_lib1.final_cell_0038-0,acinar,inDrop,-3.7659318,4.7360554
human3_lib4.final_cell_0533-0,acinar,inDrop,-4.036308,5.9077797
human1_lib3.final_cell_0231-0,acinar,inDrop,-4.9536943,6.7053823
human3_lib3.final_cell_0066-0,acinar,inDrop,-3.8321776,5.765358
human3_lib4.final_cell_0108-0,acinar,inDrop,-3.9244714,5.22358
human3_lib3.final_cell_0301-0,acinar,inDrop,-3.8620553,4.4641094
human3_lib4.final_cell_0149-0,acinar,inDrop,-3.6523921,7.280227
human3_lib4.final_cell_0003-0,acinar,inDrop,-2.920864,5.8207746
human3_lib3.final_cell_0266-0,acinar,inDrop,-3.1264582,4.833307
human3_lib1.final_cell_0373-0,acinar,inDrop,-3.24015,6.655549
human3_lib1.final_cell_0172-0,acinar,inDrop,-4.462422,4.0857916
human3_lib2.final_cell_0003-0,acinar,inDrop,-4.6992507,6.3672357
human3_lib3.final_cell_0166-0,acinar,inDrop,-4.441748,5.7615933
human3_lib2.final_cell_0101-0,acinar,inDrop,-3.6064212,4.6434493
human3_lib2.final_cell_0277-0,acinar,inDrop,-4.8221517,5.003066
human3_lib3.final_cell_0045-0,acinar,inDrop,-4.0407896,6.339298
human3_lib1.final_cell_0483-0,acinar,inDrop,-4.180817,4.9003286
human3_lib4.final_cell_0575-0,acinar,inDrop,-3.8547752,7.243412
human3_lib4.final_cell_0519-0,acinar,inDrop,-3.421866,6.12972
human3_lib4.final_cell_0512-0,acinar,inDrop,-4.6533065,6.236819
human3_lib4.final_cell_0615-0,acinar,inDrop,-3.5687916,6.416291
human3_lib4.final_cell_0555-0,acinar,inDrop,-1.945214,7.4120975
human3_lib3.final_cell_0803-0,acinar,inDrop,-4.7810225,5.472496
human3_lib1.final_cell_0013-0,acinar,inDrop,-2.694073,5.269853
human3_lib2.final_cell_0006-0,acinar,inDrop,-3.697227,5.6041727
human3_lib1.final_cell_0300-0,acinar,inDrop,-3.129319,6.414864
human3_lib4.final_cell_0155-0,acinar,inDrop,-4.547124,6.3356795
human3_lib1.final_cell_0307-0,acinar,inDrop,-3.6677845,4.4549747
human3_lib3.final_cell_0551-0,acinar,inDrop,-4.1750264,6.4610476
