CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,11.955976,11.338194
D28.7_64,acinar,celseq2,-10.991699,-4.3918853
D31.2_86,acinar,celseq2,-12.810864,-5.857764
human3_lib2.final_cell_0055,acinar,inDrop,12.096326,12.050873
human3_lib4.final_cell_0748,acinar,inDrop,11.027413,11.407027
human3_lib1.final_cell_0004,acinar,inDrop,10.92675,10.588929
human3_lib2.final_cell_0497,acinar,inDrop,10.15041,9.7975235
human1_lib1.final_cell_0028,acinar,inDrop,10.011086,10.149079
D31.7_21,acinar,celseq2,-12.897265,-6.0193963
human3_lib4.final_cell_0518,acinar,inDrop,11.457761,10.428518
human3_lib1.final_cell_0005,acinar,inDrop,10.766568,10.66872
D28.5_31,acinar,celseq2,-12.557426,-5.726462
human3_lib1.final_cell_0109,acinar,inDrop,12.229264,11.732682
human3_lib3.final_cell_0385,acinar,inDrop,10.8794155,12.360062
human3_lib3.final_cell_0028,acinar,inDrop,10.947764,11.320231
HP1502401_F13,acinar,smartseq2,-10.3983135,-4.76938
human3_lib1.final_cell_0371,acinar,inDrop,10.491842,12.348406
HP1506401_D24,acinar,smartseq2,-11.759347,-4.21881
human3_lib4.final_cell_0148,acinar,inDrop,10.355784,11.37015
HP1502401_M22,acinar,smartseq2,-10.570178,-4.069286
human3_lib4.final_cell_0072,acinar,inDrop,11.391933,10.819911
human3_lib1.final_cell_0146,acinar,inDrop,11.741772,11.320382
human3_lib1.final_cell_0642,acinar,inDrop,10.195565,12.260287
human3_lib4.final_cell_0537,acinar,inDrop,10.822736,11.708567
human3_lib1.final_cell_0026,acinar,inDrop,11.247896,11.634842
human1_lib1.final_cell_0047,acinar,inDrop,10.622163,12.106428
human3_lib2.final_cell_0012,acinar,inDrop,10.097929,10.348012
human3_lib4.final_cell_0034,acinar,inDrop,11.593386,11.801777
D28.6_19,acinar,celseq2,-10.657997,-5.2192507
human3_lib1.final_cell_0027,acinar,inDrop,10.105475,10.719382
human3_lib3.final_cell_0235,acinar,inDrop,11.876838,11.000878
human3_lib4.final_cell_0358,acinar,inDrop,12.200034,11.604954
human3_lib4.final_cell_0292,acinar,inDrop,12.119349,11.619346
human3_lib1.final_cell_0044,acinar,inDrop,11.173193,10.438019
D30.5_79,acinar,celseq2,-10.52187,-4.0214505
D28.8_39,acinar,celseq2,-11.507884,-4.9101133
human1_lib3.final_cell_0031,acinar,inDrop,9.976713,11.006927
human3_lib1.final_cell_0117,acinar,inDrop,10.496077,10.21423
human3_lib2.final_cell_0083,acinar,inDrop,10.510584,10.318195
D30.6_37,acinar,celseq2,-10.379559,-4.433008
HP1506401_B16,acinar,smartseq2,-12.320802,-5.241452
human3_lib1.final_cell_0112,acinar,inDrop,11.123632,11.350461
human3_lib3.final_cell_0022,acinar,inDrop,11.527075,12.599801
human3_lib1.final_cell_0391,acinar,inDrop,9.55089,10.840938
human3_lib1.final_cell_0215,acinar,inDrop,10.064675,12.005322
human1_lib1.final_cell_0461,acinar,inDrop,9.656063,10.796836
human3_lib2.final_cell_0685,acinar,inDrop,9.281962,10.918551
human3_lib4.final_cell_0272,acinar,inDrop,10.107737,9.867152
HP1506401_D3,acinar,smartseq2,-12.391087,-5.2898626
human3_lib3.final_cell_0163,acinar,inDrop,10.658253,11.209711
human1_lib1.final_cell_0182,acinar,inDrop,10.00027,11.500482
HP1504101T2D_J16,acinar,smartseq2,-10.6015625,-4.2162843
human3_lib2.final_cell_0105,acinar,inDrop,10.130616,9.935522
human3_lib4.final_cell_0466,acinar,inDrop,10.53488,11.559886
D30.4_18,acinar,celseq2,-10.45282,-4.858378
human3_lib3.final_cell_0044,acinar,inDrop,10.562105,9.954038
D28.5_63,acinar,celseq2,-11.629594,-4.2104087
HP1504901_F23,acinar,smartseq2,-12.593927,-5.780877
human3_lib1.final_cell_0069,acinar,inDrop,10.15602,10.976619
D31.3_89,acinar,celseq2,-10.964361,-4.9743404
human3_lib4.final_cell_0103,acinar,inDrop,12.04183,11.788888
human3_lib2.final_cell_0036,acinar,inDrop,10.843709,10.288636
HP1506401_J15,acinar,smartseq2,-11.692346,-3.9310415
human3_lib1.final_cell_0505,acinar,inDrop,11.202871,11.661964
HP1506401_O16,acinar,smartseq2,-12.342792,-5.1859403
human3_lib2.final_cell_0267,acinar,inDrop,11.949953,11.0523615
human3_lib3.final_cell_0703,acinar,inDrop,10.726067,12.814258
human3_lib2.final_cell_0109,acinar,inDrop,10.841068,11.490137
D30.2_53,acinar,celseq2,-10.410799,-4.2803674
human3_lib4.final_cell_0171,acinar,inDrop,10.523976,12.498691
