CellID,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,6.78774,-2.0285172
Cell2,Group4,Batch1,5.4241962,-5.1826496
Cell3,Group3,Batch1,1.0607578,7.7200627
Cell4,Group3,Batch1,1.3099095,8.644401
Cell5,Group3,Batch1,1.2613059,10.568991
Cell6,Group2,Batch1,-5.7447414,-3.398048
Cell7,Group4,Batch1,6.5813966,-3.6493793
Cell8,Group3,Batch1,0.28725803,8.9485235
Cell9,Group4,Batch1,5.902045,-1.5843009
Cell10,Group2,Batch1,-7.637654,-3.7161083
Cell11,Group3,Batch1,2.6647727,8.560661
Cell12,Group2,Batch1,-5.7877812,-2.3105705
Cell13,Group4,Batch1,7.281212,-3.5139246
Cell14,Group2,Batch1,-5.591536,-3.812373
Cell15,Group2,Batch1,-6.664069,-4.60451
Cell16,Group4,Batch1,5.3694463,-4.016415
Cell17,Group1,Batch1,8.264868,-2.8686056
Cell18,Group3,Batch1,-0.08818312,9.791355
Cell19,Group2,Batch1,-6.5062375,-3.1976616
Cell20,Group1,Batch1,8.211137,4.848048
Cell21,Group4,Batch1,5.0480742,-2.9044397
Cell22,Group4,Batch1,7.355965,-3.2641847
Cell23,Group2,Batch1,-6.9994583,-1.3391382
Cell24,Group2,Batch1,-7.201975,-1.5545617
Cell25,Group4,Batch1,6.863538,-3.3139088
Cell26,Group1,Batch1,8.154939,4.541796
Cell27,Group4,Batch1,7.945682,-4.4116044
Cell28,Group4,Batch1,7.0378137,-1.8206493
Cell29,Group4,Batch1,5.8406043,-5.277767
Cell30,Group4,Batch1,5.7104697,-4.3795342
Cell31,Group2,Batch1,-6.2478514,-3.4266253
Cell32,Group2,Batch1,-6.284479,-3.6864223
Cell33,Group2,Batch1,-5.956715,-1.926594
Cell34,Group4,Batch1,5.0019145,-3.3980603
Cell35,Group2,Batch1,-5.9631896,-3.4844093
Cell36,Group4,Batch1,6.152865,-2.2635615
Cell37,Group2,Batch1,-6.9951043,-3.5277913
Cell38,Group4,Batch1,5.3686132,-2.8187327
Cell39,Group2,Batch1,-7.2802734,-3.3132725
Cell40,Group3,Batch1,0.7470933,8.754935
Cell41,Group3,Batch1,2.0920951,10.137262
Cell42,Group3,Batch1,1.6528854,7.9629517
Cell43,Group2,Batch1,-6.083522,-2.6047494
Cell44,Group4,Batch1,5.7019677,-1.4936743
Cell45,Group3,Batch1,2.7277925,8.821242
Cell46,Group4,Batch1,6.4593015,-4.8166084
Cell47,Group3,Batch1,1.891658,7.8129845
Cell48,Group2,Batch1,-7.8380265,-1.9133767
Cell49,Group4,Batch1,5.1721973,-3.8414657
Cell50,Group4,Batch1,7.784949,-2.9001594
Cell51,Group2,Batch1,-7.5826745,-1.8847139
Cell52,Group3,Batch1,1.2077932,7.631068
Cell53,Group3,Batch1,0.33886346,9.440302
Cell54,Group2,Batch1,-7.5513163,-2.0509243
Cell55,Group2,Batch1,-7.051997,-4.307767
Cell56,Group2,Batch1,-5.9423647,-1.52725
Cell57,Group4,Batch1,7.1657405,-4.675732
Cell58,Group2,Batch1,-6.2771087,-3.1426163
Cell59,Group4,Batch1,5.1287217,-4.0118947
Cell60,Group3,Batch1,0.702113,10.294201
Cell61,Group3,Batch1,0.93004173,8.132872
Cell62,Group2,Batch1,-7.831213,-2.0965886
Cell63,Group2,Batch1,-5.698035,-2.6393187
Cell64,Group4,Batch1,4.799338,-3.8277147
Cell65,Group4,Batch1,4.7715497,-3.91776
Cell66,Group4,Batch1,4.713269,-4.7551565
Cell67,Group4,Batch1,5.6362824,-1.5489014
Cell68,Group1,Batch1,8.120802,4.3001013
Cell69,Group4,Batch1,5.675533,-1.669146
Cell70,Group2,Batch1,-7.0132313,-1.4832091
Cell71,Group3,Batch1,1.2832018,10.064123
Cell72,Group2,Batch1,-5.439754,-2.8540444
Cell73,Group4,Batch1,5.3420916,-2.8591752
Cell74,Group2,Batch1,-6.4338446,-2.5012062
Cell75,Group3,Batch1,1.8442506,9.311666
Cell76,Group2,Batch1,-7.6920137,-3.0214007
Cell77,Group3,Batch1,2.1033597,7.7015324
Cell78,Group3,Batch1,2.0080087,10.543398
Cell79,Group3,Batch1,1.7145946,10.327118
Cell80,Group2,Batch1,-5.298978,-2.0298443
Cell81,Group4,Batch1,6.2390056,-4.6058435
Cell82,Group2,Batch1,-6.611307,-2.1800845
Cell83,Group2,Batch1,-7.4616385,-3.537364
Cell84,Group3,Batch1,2.2076108,9.361305
Cell85,Group2,Batch1,-5.3153024,-2.9585302
Cell86,Group4,Batch1,7.221194,-4.770212
Cell87,Group3,Batch1,0.88948584,8.079969
Cell88,Group4,Batch1,4.699814,-1.9235836
Cell89,Group4,Batch1,5.6320467,-2.7698126
Cell90,Group4,Batch1,7.401155,-2.6070054
Cell91,Group4,Batch1,6.7168827,-4.8641014
Cell92,Group4,Batch1,4.541567,-4.1285696
Cell93,Group4,Batch1,6.4896517,-3.1280618
Cell94,Group2,Batch1,-5.784506,-4.146249
Cell95,Group2,Batch1,-6.8750396,-3.504693
Cell96,Group4,Batch1,7.4931626,-2.837315
Cell97,Group2,Batch1,-6.462798,-2.2475135
Cell98,Group3,Batch1,1.7414237,7.754509
Cell99,Group2,Batch1,-7.2465253,-2.5229568
Cell100,Group4,Batch1,5.85644,-3.5239432
Cell101,Group4,Batch1,5.707748,-3.9221044
Cell102,Group4,Batch1,7.31662,-2.072288
Cell103,Group4,Batch1,4.756811,-4.2456555
Cell104,Group2,Batch1,-6.7062674,-3.137479
Cell105,Group2,Batch1,-6.325913,-3.371422
Cell106,Group4,Batch1,6.0560555,-3.717284
Cell107,Group4,Batch1,7.9556923,-3.7675438
Cell108,Group2,Batch1,-6.2117066,-2.6658947
Cell109,Group3,Batch1,0.1514989,8.984501
Cell110,Group4,Batch1,6.3646507,-1.6374067
Cell111,Group4,Batch1,7.5204744,-3.8872724
Cell112,Group3,Batch1,1.1104783,9.034744
Cell113,Group2,Batch1,-6.645003,-3.442847
Cell114,Group1,Batch1,8.310876,4.857476
Cell115,Group2,Batch1,-5.111737,-1.7918869
Cell116,Group2,Batch1,-5.436724,-1.8561232
Cell117,Group2,Batch1,-7.437179,-3.8676252
Cell118,Group4,Batch1,6.889057,-1.9616281
Cell119,Group3,Batch1,0.9713144,8.520956
Cell120,Group4,Batch1,6.518308,-1.9123492
Cell121,Group2,Batch1,-7.9170866,-1.6886526
Cell122,Group3,Batch1,0.71593153,8.887153
Cell123,Group2,Batch1,-6.399752,-2.7708485
Cell124,Group2,Batch1,-5.727876,-1.6333814
Cell125,Group2,Batch1,-6.066131,-3.6908247
Cell126,Group4,Batch1,4.973497,-2.9367008
Cell127,Group2,Batch1,-6.65674,-1.4370443
Cell128,Group2,Batch1,-6.228626,-2.1134026
Cell129,Group3,Batch1,1.8613341,9.884805
Cell130,Group4,Batch1,5.2756267,-4.9661145
Cell131,Group2,Batch1,-7.804683,-2.9654481
Cell132,Group2,Batch1,-7.3424344,-1.8267606
Cell133,Group1,Batch1,8.524025,4.1042085
Cell134,Group2,Batch1,-6.2294574,-1.6095912
Cell135,Group4,Batch1,7.178164,-3.9715292
Cell136,Group3,Batch1,0.3849488,9.881417
Cell137,Group4,Batch1,7.1538067,-3.2045927
Cell138,Group4,Batch1,6.229151,-2.8602512
Cell139,Group4,Batch1,6.1562543,-2.3376186
Cell140,Group3,Batch1,-0.06208417,9.106064
Cell141,Group3,Batch1,0.74113744,7.866008
Cell142,Group3,Batch1,0.29284766,8.78744
Cell143,Group4,Batch1,7.2948985,-3.2079616
Cell144,Group3,Batch1,-0.07000908,9.8702
Cell145,Group4,Batch1,4.900419,-2.7688198
Cell146,Group1,Batch1,8.644851,4.6286817
Cell147,Group4,Batch1,5.1785398,-2.8490834
Cell148,Group1,Batch1,7.809624,4.068097
Cell149,Group1,Batch1,8.223016,3.9839215
Cell150,Group4,Batch1,4.382921,-3.537805
Cell151,Group4,Batch1,5.3136234,-3.9734628
Cell152,Group2,Batch1,-5.3711977,-2.7479148
Cell153,Group3,Batch1,0.8306588,8.893261
Cell154,Group2,Batch1,-5.647749,-2.8704607
Cell155,Group2,Batch1,-6.2808666,-1.8939753
Cell156,Group1,Batch1,7.8593,5.0648975
Cell157,Group1,Batch1,7.751191,4.069544
Cell158,Group4,Batch1,4.8291316,-4.612403
Cell159,Group3,Batch1,2.5866702,10.178474
Cell160,Group2,Batch1,-7.7581415,-2.4598744
Cell161,Group2,Batch1,-7.1287007,-3.5903718
Cell162,Group4,Batch1,6.7496796,-2.2457683
Cell163,Group2,Batch1,-6.930864,-3.2534292
Cell164,Group3,Batch1,0.5938005,8.970393
Cell165,Group3,Batch1,1.4084437,9.305837
Cell166,Group1,Batch1,8.060278,4.8719263
Cell167,Group2,Batch1,-6.026238,-4.1973743
Cell168,Group2,Batch1,-7.321663,-3.9836261
Cell169,Group4,Batch1,6.4406266,-3.8022318
Cell170,Group2,Batch1,-7.0264196,-2.9405568
Cell171,Group3,Batch1,0.25358418,9.1818695
Cell172,Group3,Batch1,0.42705724,8.712334
Cell173,Group3,Batch1,1.7708551,9.3681755
Cell174,Group3,Batch1,-0.08091387,9.761531
Cell175,Group2,Batch1,-6.2744403,-3.8825927
Cell176,Group3,Batch1,-0.05144349,9.0418825
Cell177,Group2,Batch1,-6.754239,-1.7290145
Cell178,Group2,Batch1,-7.442878,-3.0288131
Cell179,Group4,Batch1,7.7085676,-3.15484
Cell180,Group4,Batch1,5.3158665,-1.7725246
Cell181,Group2,Batch1,-5.278894,-3.8277066
Cell182,Group4,Batch1,4.653587,-4.3152776
Cell183,Group3,Batch1,0.5772858,8.459811
Cell184,Group4,Batch1,5.3991246,-2.9477963
Cell185,Group3,Batch1,0.904305,7.8801785
Cell186,Group4,Batch1,6.688462,-1.7848365
Cell187,Group2,Batch1,-5.5886545,-2.6200144
Cell188,Group3,Batch1,1.0254071,9.844261
Cell189,Group2,Batch1,-6.7516184,-4.2667823
Cell190,Group2,Batch1,-6.7306795,-3.9424376
Cell191,Group4,Batch1,7.758997,-3.9376402
Cell192,Group2,Batch1,-7.410312,-1.5279887
Cell193,Group2,Batch1,-5.7567854,-3.3835294
Cell194,Group4,Batch1,4.9679604,-1.8536155
Cell195,Group2,Batch1,-6.395359,-3.3653927
Cell196,Group4,Batch1,6.8112693,-5.011655
Cell197,Group2,Batch1,-7.3332243,-2.981499
Cell198,Group2,Batch1,-6.5897355,-3.0006366
Cell199,Group2,Batch1,-5.3710656,-2.1432405
Cell200,Group3,Batch1,0.15912342,10.284847
Cell201,Group4,Batch1,7.3442726,-2.9249892
Cell202,Group4,Batch1,6.57428,-2.9213324
Cell203,Group2,Batch1,-5.4787216,-3.379574
Cell204,Group3,Batch1,1.3757049,8.385963
Cell205,Group1,Batch1,8.498694,4.660848
Cell206,Group2,Batch1,-6.7811103,-2.528978
Cell207,Group4,Batch1,6.1850033,-5.153102
Cell208,Group3,Batch1,2.465725,10.023275
Cell209,Group3,Batch1,2.6767118,10.201134
Cell210,Group3,Batch1,0.63256186,9.300884
Cell211,Group4,Batch1,5.459859,-2.519965
Cell212,Group4,Batch1,6.6019993,-4.342528
Cell213,Group4,Batch1,7.639942,-3.2448823
Cell214,Group2,Batch1,-6.179886,-2.3698392
Cell215,Group4,Batch1,6.6050787,-5.4539895
Cell216,Group4,Batch1,4.7965183,-3.5010998
Cell217,Group2,Batch1,-5.589944,-2.9407976
Cell218,Group2,Batch1,-5.173419,-3.8533797
Cell219,Group4,Batch1,6.3317924,-2.8304985
Cell220,Group2,Batch1,-5.585015,-2.1887112
Cell221,Group4,Batch1,4.6104712,-2.7920046
Cell222,Group2,Batch1,-5.7939596,-3.9443052
Cell223,Group4,Batch1,5.0753098,-4.6482296
Cell224,Group4,Batch1,4.5281224,-4.7728477
Cell225,Group3,Batch1,1.8019806,7.9291763
Cell226,Group4,Batch1,6.7264967,-3.208569
Cell227,Group4,Batch1,6.259698,-5.2436233
Cell228,Group3,Batch1,1.8186026,9.869618
Cell229,Group2,Batch1,-7.576042,-2.5465438
Cell230,Group4,Batch1,5.4185863,-4.50012
Cell231,Group4,Batch1,4.9743733,-1.538283
Cell232,Group4,Batch1,5.0426517,-2.8270721
Cell233,Group4,Batch1,6.292678,-4.231878
Cell234,Group4,Batch1,6.4041796,-3.9254465
Cell235,Group3,Batch1,2.1274064,10.365696
Cell236,Group4,Batch1,5.919745,-1.5905851
Cell237,Group4,Batch1,6.012013,-3.6144366
Cell238,Group2,Batch1,-5.7346463,-2.1923594
Cell239,Group4,Batch1,6.6817245,-4.664442
Cell240,Group2,Batch1,-7.2881823,-4.176043
Cell241,Group2,Batch1,-6.0048985,-3.8692605
Cell242,Group2,Batch1,-5.7141714,-3.5003836
Cell243,Group3,Batch1,1.5733997,8.373342
Cell244,Group2,Batch1,-8.183674,-2.6887336
Cell245,Group4,Batch1,4.593968,-3.3432894
Cell246,Group3,Batch1,2.460248,9.551519
Cell247,Group4,Batch1,7.008915,-2.0846832
Cell248,Group4,Batch1,4.6560683,-4.0876427
Cell249,Group2,Batch1,-5.5878983,-4.1882644
Cell250,Group4,Batch1,6.86449,-3.4247196
Cell251,Group4,Batch1,6.254253,-4.168426
Cell252,Group2,Batch1,-6.8285904,-2.7721286
Cell253,Group4,Batch1,4.4231153,-3.4813025
Cell254,Group2,Batch1,-7.866336,-3.0473251
Cell255,Group4,Batch1,5.6868944,-3.0532804
Cell256,Group1,Batch1,7.8168406,4.6787934
Cell257,Group3,Batch1,2.2442682,9.620038
Cell258,Group3,Batch1,1.8499688,8.562222
Cell259,Group2,Batch1,-8.022991,-1.8130258
Cell260,Group2,Batch1,-7.070915,-4.0884986
Cell261,Group2,Batch1,-6.6748447,-3.0570922
Cell262,Group4,Batch1,4.5975757,-3.7368436
Cell263,Group1,Batch1,7.596342,4.903977
Cell264,Group4,Batch1,5.384671,-3.168513
Cell265,Group2,Batch1,-6.8771434,-1.7497662
Cell266,Group2,Batch1,-6.821538,-4.10436
Cell267,Group3,Batch1,2.411297,8.43125
Cell268,Group4,Batch1,6.5884037,-3.3245044
Cell269,Group2,Batch1,-6.6070495,-1.5995384
Cell270,Group3,Batch1,0.6827245,10.483734
Cell271,Group4,Batch1,6.219101,-5.09616
Cell272,Group4,Batch1,6.1669903,-2.6662595
Cell273,Group1,Batch1,8.512786,4.4148884
Cell274,Group2,Batch1,-6.772279,-4.195745
Cell275,Group3,Batch1,2.5116513,10.158514
Cell276,Group2,Batch1,-6.935072,-1.3427638
Cell277,Group3,Batch1,1.2096484,9.953457
Cell278,Group4,Batch1,7.5025373,-4.5248914
Cell279,Group2,Batch1,-7.673249,-3.624306
Cell280,Group4,Batch1,4.7711983,-2.990673
Cell281,Group3,Batch1,0.7916304,9.515879
Cell282,Group3,Batch1,2.1056886,8.569457
Cell283,Group3,Batch1,1.3638463,9.374991
Cell284,Group4,Batch1,6.0465155,-2.0168374
Cell285,Group3,Batch1,2.541468,9.363285
Cell286,Group3,Batch1,2.0542085,10.532992
Cell287,Group4,Batch1,6.676317,-3.2354026
Cell288,Group4,Batch1,4.550238,-3.6824017
Cell289,Group2,Batch1,-6.021298,-2.5113204
Cell290,Group3,Batch1,0.7968077,9.902747
Cell291,Group2,Batch1,-6.9507003,-1.4748787
Cell292,Group2,Batch1,-6.8240914,-1.3978862
Cell293,Group4,Batch1,6.0482955,-3.8691602
Cell294,Group2,Batch1,-5.523736,-2.826411
Cell295,Group3,Batch1,2.3859615,9.545457
Cell296,Group3,Batch1,2.1793168,9.563348
Cell297,Group2,Batch1,-6.4360967,-1.6379067
Cell298,Group2,Batch1,-7.955647,-3.394487
Cell299,Group4,Batch1,5.262207,-4.6594014
Cell300,Group4,Batch1,6.036558,-5.044471
Cell301,Group3,Batch1,2.346648,8.931012
Cell302,Group4,Batch1,6.8064265,-3.5506876
