CellID,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,-5.6403546,-0.99008465
Cell2,Group4,Batch1,-7.2309566,-0.029529117
Cell3,Group3,Batch1,-5.436165,-2.1618052
Cell4,Group3,Batch1,-4.7099457,-0.9571917
Cell5,Group3,Batch1,-5.1916537,-1.8602715
Cell6,Group2,Batch1,10.331728,-3.090904
Cell7,Group4,Batch1,-4.7570925,0.13262045
Cell8,Group3,Batch1,-4.262146,-3.3621466
Cell9,Group4,Batch1,-5.6385217,0.7758635
Cell10,Group2,Batch1,9.160294,-0.68405867
Cell11,Group3,Batch1,-5.404207,-3.508944
Cell12,Group2,Batch1,9.22992,-1.3975588
Cell13,Group4,Batch1,-7.1178036,-0.16187295
Cell14,Group2,Batch1,11.3374,-2.9253957
Cell15,Group2,Batch1,9.430055,-0.50134957
Cell16,Group4,Batch1,-6.529627,-0.48212728
Cell17,Group1,Batch1,6.306879,4.3247495
Cell18,Group3,Batch1,-3.7029116,-1.3425531
Cell19,Group2,Batch1,9.937293,-0.43307465
Cell20,Group1,Batch1,6.345566,5.482915
Cell21,Group4,Batch1,-3.3169353,0.36042938
Cell22,Group4,Batch1,-5.215353,1.4909813
Cell23,Group2,Batch1,9.701896,-0.2775648
Cell24,Group2,Batch1,10.32763,-1.5467676
Cell25,Group4,Batch1,-4.656159,-0.06193796
Cell26,Group1,Batch1,6.987381,5.0135527
Cell27,Group4,Batch1,-3.9638908,2.025628
Cell28,Group4,Batch1,-3.357983,1.5199912
Cell29,Group4,Batch1,-3.342863,0.058322493
Cell30,Group4,Batch1,-4.3294463,-0.72666764
Cell31,Group2,Batch1,9.972471,-0.9457621
Cell32,Group2,Batch1,10.634062,-0.896603
Cell33,Group2,Batch1,11.645606,-2.2582853
Cell34,Group4,Batch1,-5.5348105,0.6930563
Cell35,Group2,Batch1,9.25338,-1.2342826
Cell36,Group4,Batch1,-5.177843,2.2707257
Cell37,Group2,Batch1,11.345588,-0.5849939
Cell38,Group4,Batch1,-3.7281795,1.9683932
Cell39,Group2,Batch1,10.1782055,-2.8080897
Cell40,Group3,Batch1,-4.9121337,-2.3056748
Cell41,Group3,Batch1,-2.9303231,-2.0817192
Cell42,Group3,Batch1,-3.324936,-0.33968443
Cell43,Group2,Batch1,12.060888,-2.0146635
Cell44,Group4,Batch1,-4.740036,0.90077955
Cell45,Group3,Batch1,-4.6054316,-2.4330225
Cell46,Group4,Batch1,-5.024541,-0.2783387
Cell47,Group3,Batch1,-4.641066,-3.0174565
Cell48,Group2,Batch1,9.841722,-0.55385214
Cell49,Group4,Batch1,-4.4008007,2.0665839
Cell50,Group4,Batch1,-6.592504,-1.1506274
Cell51,Group2,Batch1,9.797249,-2.6644015
Cell52,Group3,Batch1,-5.126386,-2.43539
Cell53,Group3,Batch1,-4.6361566,-3.241727
Cell54,Group2,Batch1,11.5376215,-2.6090631
Cell55,Group2,Batch1,9.047431,-2.967797
Cell56,Group2,Batch1,11.589822,-1.3853264
Cell57,Group4,Batch1,-4.1957784,1.6393889
Cell58,Group2,Batch1,11.523748,-1.2603139
Cell59,Group4,Batch1,-5.118888,0.3388441
Cell60,Group3,Batch1,-6.088816,-2.5380428
Cell61,Group3,Batch1,-4.555235,-2.1886647
Cell62,Group2,Batch1,9.532419,-0.7892731
Cell63,Group2,Batch1,11.660996,-1.9785104
Cell64,Group4,Batch1,-5.8398094,1.362666
Cell65,Group4,Batch1,-3.2782977,0.2687141
Cell66,Group4,Batch1,-5.580382,-0.90639174
Cell67,Group4,Batch1,-4.8648367,0.6467929
Cell68,Group1,Batch1,6.5265923,4.4867506
Cell69,Group4,Batch1,-5.927793,1.0008632
Cell70,Group2,Batch1,9.742992,-3.0064383
Cell71,Group3,Batch1,-3.0040922,-2.0579374
Cell72,Group2,Batch1,9.067327,-1.380644
Cell73,Group4,Batch1,-5.550103,0.82554024
Cell74,Group2,Batch1,10.41727,-2.3618467
Cell75,Group3,Batch1,-3.2226648,-1.8056496
Cell76,Group2,Batch1,9.778448,-1.703708
Cell77,Group3,Batch1,-3.5700526,-3.2388449
Cell78,Group3,Batch1,-4.608055,-2.014652
Cell79,Group3,Batch1,-2.9999747,0.047016095
Cell80,Group2,Batch1,9.318524,-1.869611
Cell81,Group4,Batch1,-3.0173259,0.800794
Cell82,Group2,Batch1,12.091245,-1.7103788
Cell83,Group2,Batch1,10.120316,-0.8145766
Cell84,Group3,Batch1,-3.4191267,-2.63644
Cell85,Group2,Batch1,9.146728,-1.1555053
Cell86,Group4,Batch1,-5.0248766,2.0692112
Cell87,Group3,Batch1,-4.7611585,0.9340402
Cell88,Group4,Batch1,-3.9670568,2.1876826
Cell89,Group4,Batch1,-5.776569,1.1477895
Cell90,Group4,Batch1,-4.3338423,0.14713345
Cell91,Group4,Batch1,-4.216851,-0.3700568
Cell92,Group4,Batch1,-6.566484,0.97495747
Cell93,Group4,Batch1,-4.7672505,-0.009066383
Cell94,Group2,Batch1,9.759793,-1.1645377
Cell95,Group2,Batch1,9.463947,-1.9620154
Cell96,Group4,Batch1,-5.0114326,2.002639
Cell97,Group2,Batch1,8.9593115,-2.3716617
Cell98,Group3,Batch1,-6.141348,-1.7087991
Cell99,Group2,Batch1,11.065821,-3.4087589
Cell100,Group4,Batch1,-4.3513923,0.2904985
Cell101,Group4,Batch1,-3.7138593,1.7751033
Cell102,Group4,Batch1,-5.531752,-1.2063527
Cell103,Group4,Batch1,-5.606641,1.3353522
Cell104,Group2,Batch1,9.781929,-1.6437595
Cell105,Group2,Batch1,11.044974,-2.631597
Cell106,Group4,Batch1,-3.621121,1.095822
Cell107,Group4,Batch1,-4.6742916,-0.34290978
Cell108,Group2,Batch1,9.203952,-1.2423718
Cell109,Group3,Batch1,-3.6283941,-1.9176373
Cell110,Group4,Batch1,-4.1056323,-0.15998486
Cell111,Group4,Batch1,-6.863038,1.4447211
Cell112,Group3,Batch1,-3.5840209,-1.2561867
Cell113,Group2,Batch1,9.038897,-0.854178
Cell114,Group1,Batch1,6.0118537,5.242353
Cell115,Group2,Batch1,10.902606,-3.1265059
Cell116,Group2,Batch1,9.947082,-3.0292044
Cell117,Group2,Batch1,11.131805,-0.1226505
Cell118,Group4,Batch1,-6.539151,-1.6662991
Cell119,Group3,Batch1,-3.125538,-1.4441234
Cell120,Group4,Batch1,-4.2980337,-0.25529253
Cell121,Group2,Batch1,9.737009,-2.4324982
Cell122,Group3,Batch1,-3.5923226,-2.832849
Cell123,Group2,Batch1,10.599607,-1.7287511
Cell124,Group2,Batch1,10.250519,-3.0780594
Cell125,Group2,Batch1,10.709492,-1.6933771
Cell126,Group4,Batch1,-5.454448,1.469879
Cell127,Group2,Batch1,9.929336,-1.5867826
Cell128,Group2,Batch1,9.567214,-2.7469513
Cell129,Group3,Batch1,-3.312215,-2.5941172
Cell130,Group4,Batch1,-6.642521,-0.3495504
Cell131,Group2,Batch1,10.237908,-3.3275385
Cell132,Group2,Batch1,11.391136,-2.8194995
Cell133,Group1,Batch1,6.9825525,4.945719
Cell134,Group2,Batch1,10.681148,-2.3728292
Cell135,Group4,Batch1,-4.570713,-0.88515675
Cell136,Group3,Batch1,-3.5956092,-2.7880864
Cell137,Group4,Batch1,-5.571765,-0.042077553
Cell138,Group4,Batch1,-4.9809017,1.4137379
Cell139,Group4,Batch1,-6.2066836,0.9921038
Cell140,Group3,Batch1,-4.787086,-2.6261203
Cell141,Group3,Batch1,-3.810546,-3.4890225
Cell142,Group3,Batch1,-3.4952204,-2.542903
Cell143,Group4,Batch1,-5.600633,1.265305
Cell144,Group3,Batch1,-3.3162963,-3.421713
Cell145,Group4,Batch1,-4.938549,1.4915599
Cell146,Group1,Batch1,6.9698176,4.8331556
Cell147,Group4,Batch1,-5.1653724,-1.2995169
Cell148,Group1,Batch1,5.9726777,5.5743012
Cell149,Group1,Batch1,6.120326,4.752314
Cell150,Group4,Batch1,-5.827572,-0.77260286
Cell151,Group4,Batch1,-3.6581426,1.4965303
Cell152,Group2,Batch1,11.761411,-0.9737038
Cell153,Group3,Batch1,-2.6039379,-1.3525194
Cell154,Group2,Batch1,11.058099,-1.9787742
Cell155,Group2,Batch1,10.03065,-2.7438126
Cell156,Group1,Batch1,7.055165,5.4814696
Cell157,Group1,Batch1,7.0206313,5.1741896
Cell158,Group4,Batch1,-6.087459,-1.4686946
Cell159,Group3,Batch1,-3.755345,-0.16857474
Cell160,Group2,Batch1,10.562377,-1.4076203
Cell161,Group2,Batch1,11.232439,-0.31121328
Cell162,Group4,Batch1,-5.5235043,1.1458267
Cell163,Group2,Batch1,10.831401,-0.9193293
Cell164,Group3,Batch1,-3.0132852,-2.7124312
Cell165,Group3,Batch1,-4.8414326,-0.8976028
Cell166,Group1,Batch1,6.767176,4.731499
Cell167,Group2,Batch1,11.668678,-0.8749618
Cell168,Group2,Batch1,11.561031,-2.6865778
Cell169,Group4,Batch1,-7.0966935,1.2072501
Cell170,Group2,Batch1,8.945018,-2.0613425
Cell171,Group3,Batch1,-5.3341417,-3.0240338
Cell172,Group3,Batch1,-2.9351194,-1.3562547
Cell173,Group3,Batch1,-3.8813221,-1.4527444
Cell174,Group3,Batch1,-3.1718976,-0.837768
Cell175,Group2,Batch1,10.492886,-0.11971004
Cell176,Group3,Batch1,-3.3197582,-2.8023348
Cell177,Group2,Batch1,11.649722,-2.4814637
Cell178,Group2,Batch1,9.608674,-3.2563446
Cell179,Group4,Batch1,-2.9276016,1.0277386
Cell180,Group4,Batch1,-5.1593933,-0.3990626
Cell181,Group2,Batch1,9.232867,-1.9104283
Cell182,Group4,Batch1,-5.4826727,-1.5221106
Cell183,Group3,Batch1,-3.0508254,-2.5935972
Cell184,Group4,Batch1,-5.8710923,0.2918691
Cell185,Group3,Batch1,-3.3346457,-2.39203
Cell186,Group4,Batch1,-3.4973516,1.1659864
Cell187,Group2,Batch1,9.539105,-3.345665
Cell188,Group3,Batch1,-5.8343053,-2.7056332
Cell189,Group2,Batch1,10.8563,-0.31086648
Cell190,Group2,Batch1,10.139162,-2.9067183
Cell191,Group4,Batch1,-5.1301823,0.3204012
Cell192,Group2,Batch1,10.983453,-0.009102566
Cell193,Group2,Batch1,9.1079855,-1.3944451
Cell194,Group4,Batch1,-6.300042,-0.39619222
Cell195,Group2,Batch1,11.074614,-2.674392
Cell196,Group4,Batch1,-5.4549775,0.653201
Cell197,Group2,Batch1,11.6520815,-1.0632557
Cell198,Group2,Batch1,10.081066,-1.3705086
Cell199,Group2,Batch1,10.902377,-1.7443194
Cell200,Group3,Batch1,-3.8682456,-3.3271968
Cell201,Group4,Batch1,-3.672961,0.5315541
Cell202,Group4,Batch1,-3.8997748,0.9988114
Cell203,Group2,Batch1,10.991687,-2.2362936
Cell204,Group3,Batch1,-5.386863,-3.2231183
Cell205,Group1,Batch1,6.4005957,5.6935887
Cell206,Group2,Batch1,11.268885,-2.9054961
Cell207,Group4,Batch1,-5.4615664,1.9176494
Cell208,Group3,Batch1,-4.498215,-1.9529881
Cell209,Group3,Batch1,-3.56836,-3.5933044
Cell210,Group3,Batch1,-4.5840783,-1.5468796
Cell211,Group4,Batch1,-2.755586,-0.25363266
Cell212,Group4,Batch1,-4.9050484,0.98741686
Cell213,Group4,Batch1,-3.1673257,0.106787875
Cell214,Group2,Batch1,9.884013,-1.7204069
Cell215,Group4,Batch1,-3.1686249,-1.2619463
Cell216,Group4,Batch1,-6.5297127,-0.11472176
Cell217,Group2,Batch1,10.95548,-3.281501
