CellID,Group,Batch,UMAP1,UMAP2
Cell1-0,Group4,Batch1,5.192205,7.261595
Cell2-0,Group4,Batch1,3.7854214,7.974071
Cell3-0,Group3,Batch1,7.422068,-7.6445327
Cell4-0,Group3,Batch1,7.535755,-8.768095
Cell5-0,Group3,Batch1,6.793014,-9.411551
Cell6-0,Group2,Batch1,-10.97729,-3.0661967
Cell7-0,Group4,Batch1,4.1743593,7.649811
Cell8-0,Group3,Batch1,7.5041113,-9.63968
Cell9-0,Group4,Batch1,3.58354,6.2590365
Cell10-0,Group2,Batch1,-10.816855,-3.1520207
Cell11-0,Group3,Batch1,8.265564,-8.396866
Cell12-0,Group2,Batch1,-9.827696,-1.9127665
Cell13-0,Group4,Batch1,3.3986416,8.447062
Cell14-0,Group2,Batch1,-9.104531,-1.9430432
Cell15-0,Group2,Batch1,-9.603877,-3.8020356
Cell16-0,Group4,Batch1,2.3425555,7.9958262
Cell17-0,Group1,Batch1,6.8428288,1.1008774
Cell18-0,Group3,Batch1,6.489045,-8.279467
Cell19-0,Group2,Batch1,-12.219568,-2.93019
Cell20-0,Group1,Batch1,7.5566688,1.3386663
Cell21-0,Group4,Batch1,3.4017377,6.544141
Cell22-0,Group4,Batch1,3.5489933,5.853867
Cell23-0,Group2,Batch1,-9.413746,-2.4861372
Cell24-0,Group2,Batch1,-12.238294,-3.1274374
Cell25-0,Group4,Batch1,4.537485,7.651604
Cell26-0,Group1,Batch1,7.042468,0.7187021
Cell27-0,Group4,Batch1,2.7648036,6.2969475
Cell28-0,Group4,Batch1,3.1189785,8.076507
Cell29-0,Group4,Batch1,3.3476079,7.7900143
Cell30-0,Group4,Batch1,3.6101422,7.268113
Cell31-0,Group2,Batch1,-10.336022,-4.0987062
Cell32-0,Group2,Batch1,-11.681728,-2.4717953
Cell33-0,Group2,Batch1,-11.001072,-2.2772977
Cell34-0,Group4,Batch1,2.1545298,6.876744
Cell35-0,Group2,Batch1,-10.870233,-2.9008164
Cell36-0,Group4,Batch1,4.5492196,6.9225526
Cell37-0,Group2,Batch1,-11.763921,-3.5074687
Cell38-0,Group4,Batch1,2.376594,6.5478725
Cell39-0,Group2,Batch1,-11.644408,-2.0887048
Cell40-0,Group3,Batch1,7.8476644,-9.863927
Cell41-0,Group3,Batch1,6.081245,-8.132866
Cell42-0,Group3,Batch1,6.9595056,-7.669381
Cell43-0,Group2,Batch1,-10.264767,-4.0637794
Cell44-0,Group4,Batch1,4.1661496,8.167216
Cell45-0,Group3,Batch1,8.08581,-9.607438
Cell46-0,Group4,Batch1,2.8331766,6.114756
Cell47-0,Group3,Batch1,6.2150426,-9.444649
Cell48-0,Group2,Batch1,-9.250918,-2.4740105
Cell49-0,Group4,Batch1,5.068522,6.3205085
Cell50-0,Group4,Batch1,3.7026553,7.292423
Cell51-0,Group2,Batch1,-8.612262,-3.2206078
Cell52-0,Group3,Batch1,5.730442,-9.582456
Cell53-0,Group3,Batch1,5.778258,-8.421809
Cell54-0,Group2,Batch1,-11.687233,-2.7154453
Cell55-0,Group2,Batch1,-11.464904,-4.377435
Cell56-0,Group2,Batch1,-10.977993,-4.3996954
Cell57-0,Group4,Batch1,4.766693,7.2269354
Cell58-0,Group2,Batch1,-9.335687,-3.8549051
Cell59-0,Group4,Batch1,4.655409,7.0678105
Cell60-0,Group3,Batch1,7.5376143,-10.272622
Cell61-0,Group3,Batch1,8.185591,-9.213791
Cell62-0,Group2,Batch1,-9.278693,-3.2004242
Cell63-0,Group2,Batch1,-10.742602,-3.8402143
Cell64-0,Group4,Batch1,4.213751,5.3526487
Cell65-0,Group4,Batch1,3.90177,6.517719
Cell66-0,Group4,Batch1,4.026984,8.029128
Cell67-0,Group4,Batch1,3.612958,6.277398
Cell68-0,Group1,Batch1,7.455798,1.1455498
Cell69-0,Group4,Batch1,2.706912,8.172771
Cell70-0,Group2,Batch1,-10.451359,-3.539749
Cell71-0,Group3,Batch1,5.996962,-8.605134
Cell72-0,Group2,Batch1,-9.442458,-3.725525
Cell73-0,Group4,Batch1,3.763004,6.378696
Cell74-0,Group2,Batch1,-10.528164,-3.7789822
Cell75-0,Group3,Batch1,8.028884,-7.5099053
Cell76-0,Group2,Batch1,-9.661822,-2.9625745
Cell77-0,Group3,Batch1,6.7690816,-9.735961
Cell78-0,Group3,Batch1,7.857563,-9.888241
Cell79-0,Group3,Batch1,6.517759,-7.891325
Cell80-0,Group2,Batch1,-9.853431,-1.9393072
Cell81-0,Group4,Batch1,3.9559424,6.663735
Cell82-0,Group2,Batch1,-11.065028,-2.7981284
Cell83-0,Group2,Batch1,-11.520581,-3.2210884
Cell84-0,Group3,Batch1,6.4927554,-7.749433
Cell85-0,Group2,Batch1,-11.5947,-3.9800215
Cell86-0,Group4,Batch1,4.219868,6.7022705
Cell87-0,Group3,Batch1,6.9402466,-10.063665
Cell88-0,Group4,Batch1,2.0801132,6.4803333
Cell89-0,Group4,Batch1,4.1067834,7.826098
Cell90-0,Group4,Batch1,4.5196347,5.6446185
Cell91-0,Group4,Batch1,2.3402002,6.595086
Cell92-0,Group4,Batch1,4.8514557,7.191754
Cell93-0,Group4,Batch1,5.1857915,6.3064833
Cell94-0,Group2,Batch1,-11.408913,-2.2628033
Cell95-0,Group2,Batch1,-8.9679785,-3.235984
Cell96-0,Group4,Batch1,4.593814,6.9909472
Cell97-0,Group2,Batch1,-11.73471,-1.8646057
Cell98-0,Group3,Batch1,6.972575,-9.738716
Cell99-0,Group2,Batch1,-10.328842,-3.2139184
Cell100-0,Group4,Batch1,3.0391269,6.8426604
Cell101-0,Group4,Batch1,3.0599232,7.3142753
Cell102-0,Group4,Batch1,5.002621,7.5587997
Cell103-0,Group4,Batch1,3.673664,8.652915
Cell104-0,Group2,Batch1,-10.697389,-2.3851488
Cell105-0,Group2,Batch1,-12.024333,-2.7592418
Cell106-0,Group4,Batch1,2.5024047,6.156179
Cell107-0,Group4,Batch1,2.8524346,5.748929
Cell108-0,Group2,Batch1,-11.3002825,-3.93155
Cell109-0,Group3,Batch1,5.5790844,-8.784359
Cell110-0,Group4,Batch1,4.3841596,7.1454186
Cell111-0,Group4,Batch1,5.1919045,5.741499
Cell112-0,Group3,Batch1,7.6039405,-9.633671
Cell113-0,Group2,Batch1,-10.6350565,-3.61162
Cell114-0,Group1,Batch1,7.3782134,0.6149098
Cell115-0,Group2,Batch1,-9.181578,-2.7456882
Cell116-0,Group2,Batch1,-10.565253,-4.26274
Cell117-0,Group2,Batch1,-9.014027,-2.9919093
Cell118-0,Group4,Batch1,4.8209095,6.811392
Cell119-0,Group3,Batch1,7.319318,-8.74205
Cell120-0,Group4,Batch1,3.5446777,5.01571
Cell121-0,Group2,Batch1,-9.79438,-3.4330509
Cell122-0,Group3,Batch1,7.5085473,-9.300521
Cell123-0,Group2,Batch1,-11.705753,-2.3304322
Cell124-0,Group2,Batch1,-9.92664,-1.6285914
Cell125-0,Group2,Batch1,-10.654466,-1.9554013
Cell126-0,Group4,Batch1,2.4504273,7.8921285
Cell127-0,Group2,Batch1,-10.138329,-4.6050735
Cell128-0,Group2,Batch1,-10.592078,-3.938892
Cell129-0,Group3,Batch1,7.036287,-9.653533
Cell130-0,Group4,Batch1,5.131779,6.807736
Cell131-0,Group2,Batch1,-11.592822,-2.4987245
Cell132-0,Group2,Batch1,-9.720474,-4.2329497
Cell133-0,Group1,Batch1,7.897827,1.4912626
Cell134-0,Group2,Batch1,-10.380758,-1.4343159
Cell135-0,Group4,Batch1,3.3247483,8.338576
Cell136-0,Group3,Batch1,6.3523264,-9.954047
Cell137-0,Group4,Batch1,3.23581,6.0375752
Cell138-0,Group4,Batch1,4.650631,8.229857
Cell139-0,Group4,Batch1,4.34314,6.51181
Cell140-0,Group3,Batch1,6.681744,-8.890241
Cell141-0,Group3,Batch1,6.542756,-8.615449
Cell142-0,Group3,Batch1,6.138916,-8.765688
Cell143-0,Group4,Batch1,3.566363,7.8689413
Cell144-0,Group3,Batch1,6.7618713,-10.077249
Cell145-0,Group4,Batch1,2.6886063,5.0493875
Cell146-0,Group1,Batch1,7.7206597,0.76485384
Cell147-0,Group4,Batch1,3.9559927,5.316882
Cell148-0,Group1,Batch1,7.926556,0.6692265
Cell149-0,Group1,Batch1,7.80097,0.624768
Cell150-0,Group4,Batch1,3.0034065,6.9507756
Cell151-0,Group4,Batch1,3.9889278,8.452775
Cell152-0,Group2,Batch1,-11.675663,-2.5685465
Cell153-0,Group3,Batch1,7.3040724,-7.6001086
Cell154-0,Group2,Batch1,-10.502777,-4.3869057
Cell155-0,Group2,Batch1,-11.508926,-2.9491372
Cell156-0,Group1,Batch1,7.1726375,1.0598892
Cell157-0,Group1,Batch1,7.5164065,1.3624283
Cell158-0,Group4,Batch1,4.349533,8.188173
Cell159-0,Group3,Batch1,6.6365256,-9.0286
Cell160-0,Group2,Batch1,-10.240916,-2.7910092
Cell161-0,Group2,Batch1,-11.287693,-2.94908
Cell162-0,Group4,Batch1,3.8692908,8.412494
Cell163-0,Group2,Batch1,-9.744353,-3.6410387
Cell164-0,Group3,Batch1,6.7497025,-9.200666
Cell165-0,Group3,Batch1,7.4211764,-10.041222
Cell166-0,Group1,Batch1,7.307553,0.48064202
Cell167-0,Group2,Batch1,-12.26115,-3.5655334
Cell168-0,Group2,Batch1,-8.7293005,-3.5905414
Cell169-0,Group4,Batch1,4.274839,7.053864
Cell170-0,Group2,Batch1,-9.834809,-2.8388126
Cell171-0,Group3,Batch1,6.7206864,-10.498402
Cell172-0,Group3,Batch1,8.092552,-8.428539
Cell173-0,Group3,Batch1,6.966123,-8.622594
Cell174-0,Group3,Batch1,8.396793,-8.796542
Cell175-0,Group2,Batch1,-10.638415,-3.500723
Cell176-0,Group3,Batch1,6.8037343,-8.256354
Cell177-0,Group2,Batch1,-11.371788,-1.6163384
Cell178-0,Group2,Batch1,-8.887476,-2.5754507
Cell179-0,Group4,Batch1,3.7644079,5.107169
Cell180-0,Group4,Batch1,2.115703,5.931244
Cell181-0,Group2,Batch1,-11.245658,-1.654101
