CellID,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,-6.185876,2.4999352
Cell2,Group4,Batch1,-5.3931794,3.188911
Cell3,Group3,Batch1,-12.43128,-5.02745
Cell4,Group3,Batch1,-13.122061,-6.6841006
Cell5,Group3,Batch1,-12.707265,-5.9561343
Cell6,Group2,Batch1,-8.034167,-12.259571
Cell7,Group4,Batch1,-6.850229,3.4432516
Cell8,Group3,Batch1,-12.064745,-6.194518
Cell9,Group4,Batch1,-5.508036,5.0959063
Cell10,Group2,Batch1,-7.3819957,-14.392713
Cell11,Group3,Batch1,-13.767498,-4.461869
Cell12,Group2,Batch1,-7.08901,-12.8749
Cell13,Group4,Batch1,-6.198718,2.357492
Cell14,Group2,Batch1,-7.276051,-14.832037
Cell15,Group2,Batch1,-9.672859,-10.76708
Cell16,Group4,Batch1,-5.020903,3.3273244
Cell17,Group1,Batch1,-12.025783,-6.828397
Cell18,Group3,Batch1,-11.48117,-4.6032166
Cell19,Group2,Batch1,-9.579753,-11.074039
Cell20,Group1,Batch1,-11.026534,-5.0428576
Cell21,Group4,Batch1,-5.367448,2.3953652
Cell22,Group4,Batch1,-5.2203345,2.9184554
Cell23,Group2,Batch1,-7.459653,-12.972163
Cell24,Group2,Batch1,-7.173764,-14.484192
Cell25,Group4,Batch1,-6.2398653,2.4887226
Cell26,Group1,Batch1,-10.2676525,-5.3887496
Cell27,Group4,Batch1,-6.255691,2.9569347
Cell28,Group4,Batch1,-6.6772037,4.092768
Cell29,Group4,Batch1,-6.585356,2.2892992
Cell30,Group4,Batch1,-4.659756,4.618754
Cell31,Group2,Batch1,-10.261632,-11.754022
Cell32,Group2,Batch1,-9.919636,-11.336015
Cell33,Group2,Batch1,-8.027544,-13.092634
Cell34,Group4,Batch1,-4.6474757,3.8927689
Cell35,Group2,Batch1,-8.995483,-10.900705
Cell36,Group4,Batch1,-5.498972,3.90291
Cell37,Group2,Batch1,-9.417973,-12.347319
Cell38,Group4,Batch1,-6.066059,2.4741552
Cell39,Group2,Batch1,-9.81251,-10.954551
Cell40,Group3,Batch1,-12.101203,-3.5577116
Cell41,Group3,Batch1,-11.989421,-5.4801497
Cell42,Group3,Batch1,-13.567203,-4.2942457
Cell43,Group2,Batch1,-7.8613706,-13.193059
Cell44,Group4,Batch1,-5.2517395,4.5319943
Cell45,Group3,Batch1,-12.631145,-6.2571397
Cell46,Group4,Batch1,-5.2830195,4.8865333
Cell47,Group3,Batch1,-12.25317,-3.8303034
Cell48,Group2,Batch1,-9.574614,-12.535871
Cell49,Group4,Batch1,-4.5285134,3.6090152
Cell50,Group4,Batch1,-5.416187,5.6890254
Cell51,Group2,Batch1,-9.750411,-11.884441
Cell52,Group3,Batch1,-11.607398,-5.8889427
Cell53,Group3,Batch1,-13.459402,-6.3152685
Cell54,Group2,Batch1,-9.259189,-12.944165
Cell55,Group2,Batch1,-8.181034,-12.655722
Cell56,Group2,Batch1,-8.316776,-13.208401
Cell57,Group4,Batch1,-4.593456,2.7627385
Cell58,Group2,Batch1,-10.304112,-10.419311
Cell59,Group4,Batch1,-5.4576187,2.2821674
Cell60,Group3,Batch1,-13.88914,-5.6886687
Cell61,Group3,Batch1,-12.976269,-4.2043247
Cell62,Group2,Batch1,-8.744815,-11.881581
Cell63,Group2,Batch1,-9.90334,-11.272117
Cell64,Group4,Batch1,-6.779995,4.4301915
Cell65,Group4,Batch1,-6.4162936,4.2446156
Cell66,Group4,Batch1,-6.641328,4.3786445
Cell67,Group4,Batch1,-6.31504,2.8945873
Cell68,Group1,Batch1,-11.254742,-6.5233665
Cell69,Group4,Batch1,-7.04648,2.3797827
Cell70,Group2,Batch1,-8.4513235,-12.337821
Cell71,Group3,Batch1,-11.245761,-5.2133317
Cell72,Group2,Batch1,-8.374355,-12.193108
Cell73,Group4,Batch1,-6.7561293,2.5771446
Cell74,Group2,Batch1,-8.38204,-12.639773
Cell75,Group3,Batch1,-11.823409,-5.743994
Cell76,Group2,Batch1,-7.773136,-12.72111
Cell77,Group3,Batch1,-12.190829,-6.0423527
Cell78,Group3,Batch1,-12.056664,-6.801048
Cell79,Group3,Batch1,-13.22412,-4.320009
Cell80,Group2,Batch1,-9.522974,-12.441701
Cell81,Group4,Batch1,-4.2742906,3.1105943
Cell82,Group2,Batch1,-9.0214205,-11.826781
Cell83,Group2,Batch1,-9.016685,-12.793549
Cell84,Group3,Batch1,-13.234568,-3.7376142
Cell85,Group2,Batch1,-8.520186,-12.191126
Cell86,Group4,Batch1,-5.1019454,5.0884924
Cell87,Group3,Batch1,-12.750401,-5.900924
Cell88,Group4,Batch1,-4.515087,3.2223854
Cell89,Group4,Batch1,-5.177666,2.9620302
Cell90,Group4,Batch1,-5.686322,2.7432957
Cell91,Group4,Batch1,-5.28834,5.1308794
Cell92,Group4,Batch1,-4.777519,2.9578307
Cell93,Group4,Batch1,-5.2171264,2.2719846
Cell94,Group2,Batch1,-8.44323,-12.274301
Cell95,Group2,Batch1,-9.876431,-12.143125
Cell96,Group4,Batch1,-5.962482,2.6937466
Cell97,Group2,Batch1,-7.3006396,-14.5283985
Cell98,Group3,Batch1,-13.775112,-4.4124885
Cell99,Group2,Batch1,-7.4397154,-14.51206
Cell100,Group4,Batch1,-6.0618577,2.651664
Cell101,Group4,Batch1,-5.819015,4.1040726
Cell102,Group4,Batch1,-6.1450996,1.9312266
Cell103,Group4,Batch1,-4.9203873,4.062171
Cell104,Group2,Batch1,-9.032727,-11.720252
Cell105,Group2,Batch1,-7.557322,-14.78298
Cell106,Group4,Batch1,-5.728506,3.1370893
Cell107,Group4,Batch1,-6.5368342,2.7258635
Cell108,Group2,Batch1,-7.885216,-13.7532625
Cell109,Group3,Batch1,-11.39141,-4.239629
Cell110,Group4,Batch1,-6.4607186,4.4884863
Cell111,Group4,Batch1,-6.4526815,2.961006
Cell112,Group3,Batch1,-11.737551,-3.9141135
Cell113,Group2,Batch1,-10.124002,-10.317157
Cell114,Group1,Batch1,-10.139019,-5.6288104
Cell115,Group2,Batch1,-8.499685,-11.187909
Cell116,Group2,Batch1,-9.02827,-13.255774
Cell117,Group2,Batch1,-9.435586,-11.162211
Cell118,Group4,Batch1,-5.189962,3.3685546
Cell119,Group3,Batch1,-11.830788,-4.955351
Cell120,Group4,Batch1,-6.319118,4.7573695
Cell121,Group2,Batch1,-9.303542,-12.1378
Cell122,Group3,Batch1,-12.432856,-5.180314
Cell123,Group2,Batch1,-7.314136,-12.9284115
Cell124,Group2,Batch1,-9.19857,-12.832096
Cell125,Group2,Batch1,-7.2969007,-14.889259
Cell126,Group4,Batch1,-4.7299676,3.6697176
Cell127,Group2,Batch1,-8.300665,-11.50491
Cell128,Group2,Batch1,-8.106546,-12.057615
Cell129,Group3,Batch1,-11.581669,-6.5041656
Cell130,Group4,Batch1,-4.2235503,4.2310333
Cell131,Group2,Batch1,-10.361115,-10.874613
Cell132,Group2,Batch1,-8.255947,-13.6126795
Cell133,Group1,Batch1,-10.25592,-5.861063
Cell134,Group2,Batch1,-8.454869,-11.2839575
Cell135,Group4,Batch1,-6.6749663,3.9961972
Cell136,Group3,Batch1,-13.040894,-6.879436
Cell137,Group4,Batch1,-5.3055167,5.4065204
Cell138,Group4,Batch1,-5.6921988,4.070781
Cell139,Group4,Batch1,-5.1337786,5.101093
Cell140,Group3,Batch1,-11.51791,-5.499875
Cell141,Group3,Batch1,-13.704654,-5.0465107
Cell142,Group3,Batch1,-11.46755,-5.4047303
Cell143,Group4,Batch1,-4.9904265,2.619481
Cell144,Group3,Batch1,-11.936384,-6.67105
Cell145,Group4,Batch1,-4.5608006,3.800804
Cell146,Group1,Batch1,-11.74763,-6.7920265
Cell147,Group4,Batch1,-4.3440213,3.700674
Cell148,Group1,Batch1,-10.977005,-4.7290096
Cell149,Group1,Batch1,-10.03672,-5.9869375
Cell150,Group4,Batch1,-6.1870823,3.831609
Cell151,Group4,Batch1,-4.4708805,5.141622
Cell152,Group2,Batch1,-7.637133,-14.256453
Cell153,Group3,Batch1,-12.098071,-4.553547
Cell154,Group2,Batch1,-7.2559533,-12.50991
Cell155,Group2,Batch1,-10.1829,-11.487628
Cell156,Group1,Batch1,-10.351521,-5.464533
Cell157,Group1,Batch1,-10.2467375,-5.735776
Cell158,Group4,Batch1,-7.52655,3.183802
Cell159,Group3,Batch1,-11.786682,-3.7950654
Cell160,Group2,Batch1,-7.90375,-13.6513
Cell161,Group2,Batch1,-8.079295,-12.601167
Cell162,Group4,Batch1,-5.96147,4.9407935
Cell163,Group2,Batch1,-7.1260657,-13.1517725
Cell164,Group3,Batch1,-11.910771,-3.6501842
Cell165,Group3,Batch1,-12.72021,-4.282857
Cell166,Group1,Batch1,-10.492137,-6.283757
Cell167,Group2,Batch1,-8.792148,-13.39345
Cell168,Group2,Batch1,-7.335839,-14.903469
Cell169,Group4,Batch1,-4.242446,3.3841748
Cell170,Group2,Batch1,-9.225069,-11.706734
Cell171,Group3,Batch1,-13.694294,-4.6026416
Cell172,Group3,Batch1,-10.810832,-4.7530804
Cell173,Group3,Batch1,-13.78136,-4.55375
Cell174,Group3,Batch1,-12.140608,-4.832717
Cell175,Group2,Batch1,-8.360128,-11.361596
Cell176,Group3,Batch1,-12.280656,-6.3496113
Cell177,Group2,Batch1,-9.356198,-12.857505
Cell178,Group2,Batch1,-9.686104,-12.289319
Cell179,Group4,Batch1,-5.6353464,1.9095578
Cell180,Group4,Batch1,-7.323652,3.7305682
Cell181,Group2,Batch1,-8.07831,-13.923793
Cell182,Group4,Batch1,-5.1341443,3.3702807
Cell183,Group3,Batch1,-11.748329,-3.879928
