CellID,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,10.923169,0.51884437
Cell2,Group4,Batch1,10.444613,2.904957
Cell3,Group3,Batch1,-0.87553465,12.277505
Cell4,Group3,Batch1,-0.33943912,11.463582
Cell5,Group3,Batch1,-0.30059254,11.302479
Cell6,Group2,Batch1,-8.567449,-1.2101115
Cell7,Group4,Batch1,12.18063,3.177961
Cell8,Group3,Batch1,-1.463681,10.516072
Cell9,Group4,Batch1,9.661179,1.722314
Cell10,Group2,Batch1,-9.903003,-1.7960153
Cell11,Group3,Batch1,1.2333324,11.926206
Cell12,Group2,Batch1,-11.084555,-1.8694957
Cell13,Group4,Batch1,8.890699,2.530677
Cell14,Group2,Batch1,-10.040872,-2.3976266
Cell15,Group2,Batch1,-10.0445385,-0.41254088
Cell16,Group4,Batch1,12.084131,3.0024638
Cell17,Group1,Batch1,-0.83667916,-10.059103
Cell18,Group3,Batch1,-0.37979794,10.241276
Cell19,Group2,Batch1,-9.17004,0.6084474
Cell20,Group1,Batch1,-0.44683343,-9.126559
Cell21,Group4,Batch1,10.850639,1.3590872
Cell22,Group4,Batch1,10.96275,3.115757
Cell23,Group2,Batch1,-9.704032,0.34034312
Cell24,Group2,Batch1,-9.900151,0.38985875
Cell25,Group4,Batch1,12.500031,2.154583
Cell26,Group1,Batch1,0.013126889,-10.11718
Cell27,Group4,Batch1,12.715431,1.9171405
Cell28,Group4,Batch1,10.517378,2.0309675
Cell29,Group4,Batch1,9.963794,3.272263
Cell30,Group4,Batch1,12.07588,2.2000957
Cell31,Group2,Batch1,-9.653232,0.041156165
Cell32,Group2,Batch1,-9.600459,-0.9948847
Cell33,Group2,Batch1,-9.267469,-1.7989256
Cell34,Group4,Batch1,12.311793,2.743448
Cell35,Group2,Batch1,-9.888077,0.2008409
Cell36,Group4,Batch1,11.224717,1.6208047
Cell37,Group2,Batch1,-9.939712,-0.7934751
Cell38,Group4,Batch1,10.9150715,1.5210298
Cell39,Group2,Batch1,-9.39442,0.117572986
