CellID,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,11.341859,-0.53877556
Cell2,Group4,Batch1,10.543288,-2.1888251
Cell3,Group3,Batch1,4.667958,10.416619
Cell4,Group3,Batch1,4.8820863,11.025174
Cell5,Group3,Batch1,5.5049467,12.252008
Cell6,Group2,Batch1,-6.9982166,-3.5340216
Cell7,Group4,Batch1,12.710951,-0.24358033
Cell8,Group3,Batch1,4.6603928,13.156641
Cell9,Group4,Batch1,12.370055,-1.162941
Cell10,Group2,Batch1,-7.296497,-2.259878
Cell11,Group3,Batch1,5.8149724,11.7406
Cell12,Group2,Batch1,-7.148884,-1.6225442
Cell13,Group4,Batch1,8.862737,-0.71885484
Cell14,Group2,Batch1,-6.655272,-2.3319378
Cell15,Group2,Batch1,-9.646426,-2.6794882
Cell16,Group4,Batch1,12.577224,0.12934509
Cell17,Group1,Batch1,2.5997741,-8.163838
Cell18,Group3,Batch1,4.011824,12.232991
Cell19,Group2,Batch1,-7.7961392,-2.3750281
Cell20,Group1,Batch1,2.4434168,-8.114012
Cell21,Group4,Batch1,9.684871,-1.0321851
Cell22,Group4,Batch1,10.41944,-0.5440207
Cell23,Group2,Batch1,-8.892935,-3.9254682
Cell24,Group2,Batch1,-9.563473,-3.2321386
Cell25,Group4,Batch1,12.759426,-0.709001
Cell26,Group1,Batch1,3.4349892,-7.5715456
Cell27,Group4,Batch1,12.443095,-1.1476531
Cell28,Group4,Batch1,11.311136,-0.31133363
Cell29,Group4,Batch1,9.794746,0.056662157
Cell30,Group4,Batch1,12.038892,-0.7104016
Cell31,Group2,Batch1,-9.505733,-3.901421
Cell32,Group2,Batch1,-8.088032,-3.123276
Cell33,Group2,Batch1,-7.732554,-2.9090803
Cell34,Group4,Batch1,10.633491,-0.80715877
Cell35,Group2,Batch1,-9.337814,-3.4545186
Cell36,Group4,Batch1,11.590595,-1.2665309
Cell37,Group2,Batch1,-8.784417,-3.3271148
Cell38,Group4,Batch1,10.526803,-0.56061846
Cell39,Group2,Batch1,-9.361959,-3.126844
Cell40,Group3,Batch1,3.669533,12.186118
Cell41,Group3,Batch1,3.397942,11.339556
Cell42,Group3,Batch1,5.415482,12.413134
Cell43,Group2,Batch1,-9.564532,-3.3040302
Cell44,Group4,Batch1,11.764336,-1.9303542
Cell45,Group3,Batch1,4.126847,11.6702795
Cell46,Group4,Batch1,10.449167,0.19292976
Cell47,Group3,Batch1,5.0496645,11.42042
Cell48,Group2,Batch1,-9.36741,-2.7111235
Cell49,Group4,Batch1,11.97248,0.73270524
Cell50,Group4,Batch1,11.427082,-1.8103937
Cell51,Group2,Batch1,-7.1156116,-2.0372891
Cell52,Group3,Batch1,4.568684,12.474167
Cell53,Group3,Batch1,4.648275,11.008427
Cell54,Group2,Batch1,-7.8562875,-1.2934115
Cell55,Group2,Batch1,-8.876014,-1.911372
Cell56,Group2,Batch1,-7.93108,-4.072768
Cell57,Group4,Batch1,12.326197,-1.2593645
Cell58,Group2,Batch1,-9.4810505,-1.3674603
Cell59,Group4,Batch1,10.59596,-0.75673693
Cell60,Group3,Batch1,5.436205,12.752698
Cell61,Group3,Batch1,6.1054907,11.793768
Cell62,Group2,Batch1,-10.165083,-1.7239174
Cell63,Group2,Batch1,-8.084113,-2.7969952
Cell64,Group4,Batch1,11.680629,0.69878715
Cell65,Group4,Batch1,11.551076,0.47603956
Cell66,Group4,Batch1,10.989522,-0.30719993
Cell67,Group4,Batch1,12.210367,-0.596174
Cell68,Group1,Batch1,2.5351927,-8.33611
Cell69,Group4,Batch1,11.701057,-2.2136803
Cell70,Group2,Batch1,-7.869663,-3.2740316
Cell71,Group3,Batch1,5.25677,11.4755945
Cell72,Group2,Batch1,-9.29158,-2.0798244
Cell73,Group4,Batch1,10.093134,-1.0833901
Cell74,Group2,Batch1,-7.9237404,-2.550209
Cell75,Group3,Batch1,3.630147,11.237463
Cell76,Group2,Batch1,-9.327049,-2.708411
Cell77,Group3,Batch1,3.8653073,12.594265
Cell78,Group3,Batch1,3.9753952,10.740953
Cell79,Group3,Batch1,5.0697317,10.857883
Cell80,Group2,Batch1,-9.860221,-2.7335706
Cell81,Group4,Batch1,11.524342,0.2535858
Cell82,Group2,Batch1,-9.299487,-2.0249667
Cell83,Group2,Batch1,-7.9452834,-3.7036386
Cell84,Group3,Batch1,4.7090178,10.616926
Cell85,Group2,Batch1,-8.216466,-1.366521
Cell86,Group4,Batch1,10.578058,-1.6579549
Cell87,Group3,Batch1,4.347729,12.9607315
Cell88,Group4,Batch1,10.517779,-1.8946232
Cell89,Group4,Batch1,10.38199,-2.2650776
Cell90,Group4,Batch1,11.63267,0.41198602
Cell91,Group4,Batch1,12.29486,-1.2376527
Cell92,Group4,Batch1,11.752606,0.76556337
Cell93,Group4,Batch1,11.827241,-1.7511725
Cell94,Group2,Batch1,-9.738875,-2.542082
Cell95,Group2,Batch1,-9.831576,-2.4651613
Cell96,Group4,Batch1,9.880687,-1.340443
Cell97,Group2,Batch1,-9.323144,-1.3582021
Cell98,Group3,Batch1,4.368863,13.057062
Cell99,Group2,Batch1,-7.498966,-3.7981126
Cell100,Group4,Batch1,10.025121,-1.5303967
Cell101,Group4,Batch1,10.245279,-1.7042826
Cell102,Group4,Batch1,11.455298,0.17637543
Cell103,Group4,Batch1,8.989821,0.08251459
Cell104,Group2,Batch1,-9.6483,-1.7218267
Cell105,Group2,Batch1,-9.415016,-3.2334893
Cell106,Group4,Batch1,10.410763,1.0728873
Cell107,Group4,Batch1,9.443536,0.80670017
Cell108,Group2,Batch1,-6.8538704,-3.2114055
Cell109,Group3,Batch1,5.477305,11.376897
Cell110,Group4,Batch1,10.814036,0.8396201
Cell111,Group4,Batch1,11.977674,0.4663457
Cell112,Group3,Batch1,5.2258763,12.179212
Cell113,Group2,Batch1,-9.173924,-2.5893128
Cell114,Group1,Batch1,2.3987336,-7.94714
Cell115,Group2,Batch1,-8.268444,-2.0399306
Cell116,Group2,Batch1,-7.8816266,-1.5784879
Cell117,Group2,Batch1,-9.195067,-3.553869
Cell118,Group4,Batch1,12.246275,-1.4691285
Cell119,Group3,Batch1,4.413852,11.626788
Cell120,Group4,Batch1,9.7807455,-0.7025198
Cell121,Group2,Batch1,-9.547781,-1.6363466
Cell122,Group3,Batch1,5.475288,12.234275
Cell123,Group2,Batch1,-9.727092,-1.1696124
Cell124,Group2,Batch1,-9.074065,-2.246652
Cell125,Group2,Batch1,-6.7095857,-1.8954695
Cell126,Group4,Batch1,10.571143,-0.7457391
Cell127,Group2,Batch1,-8.703173,-3.1357586
Cell128,Group2,Batch1,-8.9636965,-0.9772513
Cell129,Group3,Batch1,4.05193,12.218997
Cell130,Group4,Batch1,9.522558,-1.9101646
Cell131,Group2,Batch1,-7.770515,-3.6497674
Cell132,Group2,Batch1,-7.9464717,-4.136429
Cell133,Group1,Batch1,3.1053646,-7.547658
Cell134,Group2,Batch1,-9.756017,-3.3069959
Cell135,Group4,Batch1,10.352035,-1.3458247
Cell136,Group3,Batch1,4.028535,11.478643
Cell137,Group4,Batch1,10.70697,0.6712165
Cell138,Group4,Batch1,11.39536,-1.5485567
Cell139,Group4,Batch1,11.560919,-1.1946896
Cell140,Group3,Batch1,4.876374,13.318681
Cell141,Group3,Batch1,4.1046367,10.552092
Cell142,Group3,Batch1,4.806676,11.276064
Cell143,Group4,Batch1,11.740583,-1.0866753
Cell144,Group3,Batch1,5.6233068,12.602433
Cell145,Group4,Batch1,11.963984,-0.2927527
Cell146,Group1,Batch1,3.0952542,-8.814393
Cell147,Group4,Batch1,12.457089,-0.6041357
Cell148,Group1,Batch1,2.7829356,-8.425509
Cell149,Group1,Batch1,3.423822,-8.087358
Cell150,Group4,Batch1,11.267106,-0.7629585
Cell151,Group4,Batch1,10.657912,-0.59253263
Cell152,Group2,Batch1,-8.674477,-1.1770962
Cell153,Group3,Batch1,4.302704,11.339593
Cell154,Group2,Batch1,-7.6097727,-3.6468275
Cell155,Group2,Batch1,-9.152332,-2.8154457
Cell156,Group1,Batch1,3.2365189,-7.630585
Cell157,Group1,Batch1,2.7098176,-7.8626175
Cell158,Group4,Batch1,12.673427,-0.2053386
Cell159,Group3,Batch1,4.70666,10.704168
Cell160,Group2,Batch1,-9.665847,-2.9712532
Cell161,Group2,Batch1,-8.157687,-2.6150398
Cell162,Group4,Batch1,10.784537,-0.27083963
Cell163,Group2,Batch1,-9.777222,-3.1393263
Cell164,Group3,Batch1,5.3286166,12.523598
Cell165,Group3,Batch1,4.10681,11.284515
Cell166,Group1,Batch1,2.7997918,-7.5223975
Cell167,Group2,Batch1,-9.216215,-2.3364203
Cell168,Group2,Batch1,-8.68929,-2.4092653
Cell169,Group4,Batch1,9.625308,0.36132854
Cell170,Group2,Batch1,-8.886221,-3.8254333
Cell171,Group3,Batch1,3.3043745,12.457469
Cell172,Group3,Batch1,5.2117424,11.36332
Cell173,Group3,Batch1,4.8326507,10.405121
Cell174,Group3,Batch1,4.1096272,11.257689
Cell175,Group2,Batch1,-8.34379,-2.1445606
Cell176,Group3,Batch1,4.0239882,11.296843
Cell177,Group2,Batch1,-7.6258974,-2.7110431
Cell178,Group2,Batch1,-10.203326,-1.9867662
Cell179,Group4,Batch1,12.261908,0.050874513
Cell180,Group4,Batch1,9.640921,-1.7567496
Cell181,Group2,Batch1,-9.154879,-1.4263457
Cell182,Group4,Batch1,9.120237,-0.67983717
Cell183,Group3,Batch1,5.4064546,11.710307
Cell184,Group4,Batch1,10.873501,-0.7604134
Cell185,Group3,Batch1,3.3910716,11.161848
Cell186,Group4,Batch1,10.4076395,1.1733892
Cell187,Group2,Batch1,-7.8714747,-2.5177898
Cell188,Group3,Batch1,2.800193,12.237802
Cell189,Group2,Batch1,-8.802587,-3.4791875
Cell190,Group2,Batch1,-8.28732,-2.7934291
Cell191,Group4,Batch1,12.355791,-1.0089815
Cell192,Group2,Batch1,-8.465304,-2.9925718
Cell193,Group2,Batch1,-8.773934,-2.1090708
Cell194,Group4,Batch1,9.338224,-1.0976698
Cell195,Group2,Batch1,-8.71006,-3.9808993
Cell196,Group4,Batch1,11.345174,-0.59419686
Cell197,Group2,Batch1,-7.121813,-3.1607363
Cell198,Group2,Batch1,-9.583471,-1.9445149
Cell199,Group2,Batch1,-7.5903625,-3.1000683
Cell200,Group3,Batch1,3.439051,12.827993
Cell201,Group4,Batch1,11.802322,0.16779761
Cell202,Group4,Batch1,12.205185,-0.030342136
Cell203,Group2,Batch1,-9.7178335,-3.5033092
Cell204,Group3,Batch1,3.8187811,13.093415
Cell205,Group1,Batch1,2.7413802,-7.8888288
Cell206,Group2,Batch1,-8.962961,-3.0876555
Cell207,Group4,Batch1,9.371513,-0.9942972
Cell208,Group3,Batch1,3.623974,12.156359
Cell209,Group3,Batch1,5.9993215,11.8345785
Cell210,Group3,Batch1,2.9770422,12.338241
Cell211,Group4,Batch1,11.612476,0.22620279
Cell212,Group4,Batch1,9.224065,-0.6457376
Cell213,Group4,Batch1,11.405158,-1.3108258
Cell214,Group2,Batch1,-9.049782,-1.2997373
Cell215,Group4,Batch1,12.087838,-0.64117104
Cell216,Group4,Batch1,11.688436,-1.3073105
Cell217,Group2,Batch1,-9.139304,-3.8903646
Cell218,Group2,Batch1,-10.040025,-2.8054283
Cell219,Group4,Batch1,12.031884,0.53429276
Cell220,Group2,Batch1,-8.362977,-3.9151978
Cell221,Group4,Batch1,9.360145,0.7657948
Cell222,Group2,Batch1,-9.006587,-1.1444806
Cell223,Group4,Batch1,10.894624,0.66354704
Cell224,Group4,Batch1,11.334887,0.904703
Cell225,Group3,Batch1,4.9591403,12.268415
Cell226,Group4,Batch1,10.271986,-0.21716759
Cell227,Group4,Batch1,8.672151,0.18740498
Cell228,Group3,Batch1,3.8552523,10.968979
Cell229,Group2,Batch1,-8.763469,-2.390778
Cell230,Group4,Batch1,10.929711,-0.947368
Cell231,Group4,Batch1,10.308978,-0.63914084
Cell232,Group4,Batch1,9.953354,0.6105472
Cell233,Group4,Batch1,11.766089,-1.9917198
Cell234,Group4,Batch1,9.609768,0.2034046
Cell235,Group3,Batch1,4.452478,12.452069
Cell236,Group4,Batch1,10.023189,-1.2526313
Cell237,Group4,Batch1,10.475578,0.944821
Cell238,Group2,Batch1,-9.825464,-2.5311043
Cell239,Group4,Batch1,11.666991,-0.965512
Cell240,Group2,Batch1,-8.885777,-2.3114064
Cell241,Group2,Batch1,-8.135683,-4.2613297
Cell242,Group2,Batch1,-8.984935,-1.3269757
Cell243,Group3,Batch1,3.32326,11.998415
Cell244,Group2,Batch1,-8.936397,-1.6613092
Cell245,Group4,Batch1,10.370094,-0.72128654
Cell246,Group3,Batch1,3.9609702,10.539206
Cell247,Group4,Batch1,10.834944,0.8635275
Cell248,Group4,Batch1,11.658414,-0.60069364
Cell249,Group2,Batch1,-7.5590224,-1.1485173
Cell250,Group4,Batch1,11.901276,-1.1514543
Cell251,Group4,Batch1,10.063961,0.33263704
Cell252,Group2,Batch1,-9.531402,-3.6363606
Cell253,Group4,Batch1,11.443322,1.0710467
Cell254,Group2,Batch1,-7.6670794,-2.56734
Cell255,Group4,Batch1,10.286218,0.4310303
Cell256,Group1,Batch1,2.5631628,-8.013334
Cell257,Group3,Batch1,3.935075,12.299208
Cell258,Group3,Batch1,5.413068,11.336013
Cell259,Group2,Batch1,-9.76856,-3.1508486
Cell260,Group2,Batch1,-7.3935714,-1.3820932
Cell261,Group2,Batch1,-8.079885,-3.0231402
Cell262,Group4,Batch1,9.471811,0.019973285
Cell263,Group1,Batch1,2.3178668,-7.7277937
Cell264,Group4,Batch1,9.050625,-1.2431583
Cell265,Group2,Batch1,-7.4412413,-2.6613064
Cell266,Group2,Batch1,-9.1352215,-1.2071577
Cell267,Group3,Batch1,5.1385126,11.614176
Cell268,Group4,Batch1,12.432304,-0.17643169
Cell269,Group2,Batch1,-8.01653,-3.0047429
Cell270,Group3,Batch1,5.5921793,10.89822
Cell271,Group4,Batch1,9.85863,-1.3978156
Cell272,Group4,Batch1,11.52219,0.43960088
Cell273,Group1,Batch1,3.2835376,-7.3800435
Cell274,Group2,Batch1,-9.210999,-1.7708132
Cell275,Group3,Batch1,4.6879306,11.755419
Cell276,Group2,Batch1,-7.234239,-1.3843246
Cell277,Group3,Batch1,5.707941,12.797084
Cell278,Group4,Batch1,11.585239,0.80825543
Cell279,Group2,Batch1,-7.586527,-2.4461386
Cell280,Group4,Batch1,10.313218,0.3273438
Cell281,Group3,Batch1,3.9111514,10.804072
Cell282,Group3,Batch1,4.1314173,10.883639
Cell283,Group3,Batch1,3.9700062,11.562567
Cell284,Group4,Batch1,9.8852825,-0.6263978
Cell285,Group3,Batch1,4.8617277,13.427454
Cell286,Group3,Batch1,5.854499,12.164638
Cell287,Group4,Batch1,10.747685,-1.720433
Cell288,Group4,Batch1,12.281246,-0.7219904
Cell289,Group2,Batch1,-8.691467,-1.517012
Cell290,Group3,Batch1,4.466145,12.266174
Cell291,Group2,Batch1,-8.573006,-2.6801436
Cell292,Group2,Batch1,-8.661621,-2.7911413
Cell293,Group4,Batch1,10.202356,0.90275043
Cell294,Group2,Batch1,-7.1094327,-3.0991244
Cell295,Group3,Batch1,5.1264777,10.886714
Cell296,Group3,Batch1,4.989872,12.030294
Cell297,Group2,Batch1,-7.499015,-1.7129424
Cell298,Group2,Batch1,-7.8354974,-2.150931
Cell299,Group4,Batch1,11.317102,-1.4701102
