,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/mouse_brain_atac_windows_small/metrics/unscaled/full_feature/mnn_full,0.616016339,0.350522048,0.575821012,0.749756088,0,,0.753451677,0.543687243,0.996157228,0.003362661,2.22E-16,0.993341576,,
/mouse_brain_atac_windows_large/metrics/unscaled/full_feature/mnn_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_small/metrics/unscaled/full_feature/mnn_full,0.646095248,0.415821158,0.585568406,0.813886733,0,,0.944424264,0.529073186,0.996828993,0.003103991,2.22E-16,0.991226976,,
/mouse_brain_atac_peaks_large/metrics/unscaled/full_feature/mnn_full,,,,,,,,,,,,,,
/mouse_brain_atac_genes_small/metrics/unscaled/full_feature/mnn_full,0.542667003,0.519502548,0.540609788,0.917122531,0.474144054,,0.739472207,0.54089633,0.986250589,0.65055965,0.256574202,0.86311871,,
/mouse_brain_atac_windows_small/metrics/unscaled/full_feature/scanorama_embed,0.709538563,0.594252262,0.555485086,0.830886832,0,,0.965825875,0.505189013,0.994312933,0.086258291,0.135153704,0.988057138,,
/mouse_brain_atac_windows_large/metrics/unscaled/full_feature/scanorama_embed,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_small/metrics/unscaled/full_feature/scanorama_embed,0.734212926,0.545157362,0.567243797,0.874079084,0,,0.97733711,0.513771045,0.996273087,0.195217392,0.194863228,0.987368513,,
/mouse_brain_atac_peaks_large/metrics/unscaled/full_feature/scanorama_embed,,,,,,,,,,,,,,
/mouse_brain_atac_genes_small/metrics/unscaled/full_feature/scanorama_embed,0.504462536,0.372035857,0.527037578,0.919637497,0.210105072,,0.843736908,0.52706971,0.98463195,0.850406322,0.386046516,0.827490018,,
/mouse_brain_atac_windows_small/metrics/unscaled/full_feature/scanorama_full,0.608997309,0.38032809,0.548681222,0.735068856,0,,0.88057041,0.475981846,0.983662572,0.06271123,0.198458073,0.996529568,,
/mouse_brain_atac_windows_large/metrics/unscaled/full_feature/scanorama_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_small/metrics/unscaled/full_feature/scanorama_full,0.735084455,0.697613333,0.560841262,0.747255864,0,,0.941949617,0.48271459,0.987833812,0.461613446,0.17495448,0.998686254,,
/mouse_brain_atac_peaks_large/metrics/unscaled/full_feature/scanorama_full,,,,,,,,,,,,,,
/mouse_brain_atac_genes_small/metrics/unscaled/full_feature/scanorama_full,0.465629464,0.321472402,0.519508811,0.816516456,0.185316179,,0.653794342,0.538148981,0.954853763,0.994320186,0.326549973,0.843694682,,
/mouse_brain_atac_windows_small/metrics/unscaled/full_feature/seurat_full,0.78862359,0.805573369,0.623843618,0.674766411,0.703992252,,0.876301541,0.543614812,0.990523382,0.576444477,0.359639269,0.996836326,,
/mouse_brain_atac_windows_large/metrics/unscaled/full_feature/seurat_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_small/metrics/unscaled/full_feature/seurat_full,0.661326814,0.430803517,0.605465233,0.724129712,0.600490752,,0.964974982,0.553174961,0.992612621,0.479685064,0.021102298,0.997181477,,
/mouse_brain_atac_peaks_large/metrics/unscaled/full_feature/seurat_full,,,,,,,,,,,,,,
/mouse_brain_atac_genes_small/metrics/unscaled/full_feature/seurat_full,0.438744796,0.354861687,0.527705813,0.862813714,0.788013274,,0.56454918,0.547340211,0.831537146,0.943880813,0.497525912,0.685891557,,
/mouse_brain_atac_windows_small/metrics/unscaled/full_feature/seuratrpca_full,0.685843734,0.576372491,0.614978187,0.658761128,0.299102443,,0.891321345,0.672062352,0.987557049,0.250100613,0.13129114,0.995641567,,
/mouse_brain_atac_windows_large/metrics/unscaled/full_feature/seuratrpca_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_small/metrics/unscaled/full_feature/seuratrpca_full,0.711681281,0.579388781,0.64576225,0.76955477,0.389500689,,0.926104972,0.620368183,0.99054341,0.286126157,0.1280245,0.998078863,,
/mouse_brain_atac_peaks_large/metrics/unscaled/full_feature/seuratrpca_full,,,,,,,,,,,,,,
/mouse_brain_atac_genes_small/metrics/unscaled/full_feature/seuratrpca_full,0.459186514,0.33681557,0.525300408,0.876607867,0.870570311,,0.646854879,0.536108863,0.971638906,0.970954171,0.535825353,0.730563838,,
/mouse_brain_atac_windows_small/metrics/unscaled/full_feature/saucie_full,0.484903962,0.29512561,0.525122106,0.701041338,0.720711023,,0.41980046,0.41237624,0.809493434,0.175679176,0.453886227,0.835575775,,
