,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,5.971016,11.526962
human3_lib2.final_cell_0055,acinar,inDrop,6.36924,10.929014
human3_lib4.final_cell_0748,acinar,inDrop,5.203948,9.614621
human3_lib1.final_cell_0004,acinar,inDrop,4.725279,12.2278185
human3_lib2.final_cell_0497,acinar,inDrop,4.3329086,11.18967
human1_lib1.final_cell_0028,acinar,inDrop,3.8574638,10.770175
human3_lib4.final_cell_0518,acinar,inDrop,4.334574,10.157416
human3_lib1.final_cell_0005,acinar,inDrop,4.406501,12.458599
human3_lib1.final_cell_0109,acinar,inDrop,6.4086084,10.609873
human3_lib3.final_cell_0385,acinar,inDrop,5.8683205,10.97273
human3_lib3.final_cell_0028,acinar,inDrop,5.9426913,11.561349
human3_lib1.final_cell_0371,acinar,inDrop,5.8370886,10.499657
human3_lib4.final_cell_0148,acinar,inDrop,5.3735723,10.850778
human3_lib4.final_cell_0072,acinar,inDrop,5.732567,11.40514
human3_lib1.final_cell_0146,acinar,inDrop,4.953268,11.03515
human3_lib1.final_cell_0642,acinar,inDrop,5.1686172,9.730388
human3_lib4.final_cell_0537,acinar,inDrop,5.9750953,9.829211
human3_lib1.final_cell_0026,acinar,inDrop,5.935615,11.141898
human1_lib1.final_cell_0047,acinar,inDrop,3.9010348,10.292529
human3_lib2.final_cell_0012,acinar,inDrop,4.3699827,11.848373
human3_lib4.final_cell_0034,acinar,inDrop,6.016234,11.194656
human3_lib1.final_cell_0027,acinar,inDrop,4.343044,11.966651
human3_lib3.final_cell_0235,acinar,inDrop,5.912888,11.721779
human3_lib4.final_cell_0358,acinar,inDrop,5.5500207,9.271413
human3_lib4.final_cell_0292,acinar,inDrop,6.4117575,10.608937
human3_lib1.final_cell_0044,acinar,inDrop,4.7638445,12.092873
human1_lib3.final_cell_0031,acinar,inDrop,3.7243145,10.366806
human3_lib1.final_cell_0117,acinar,inDrop,4.304044,11.0161705
human3_lib2.final_cell_0083,acinar,inDrop,5.0564623,11.760275
human3_lib1.final_cell_0112,acinar,inDrop,5.7501435,11.213228
human3_lib3.final_cell_0022,acinar,inDrop,6.116882,10.447513
human3_lib1.final_cell_0391,acinar,inDrop,4.026256,11.198542
human3_lib1.final_cell_0215,acinar,inDrop,5.73272,10.253106
human1_lib1.final_cell_0461,acinar,inDrop,3.958942,10.359034
human3_lib2.final_cell_0685,acinar,inDrop,4.2090683,10.57279
human3_lib4.final_cell_0272,acinar,inDrop,5.075361,11.821489
human3_lib3.final_cell_0163,acinar,inDrop,4.697745,10.951614
human1_lib1.final_cell_0182,acinar,inDrop,3.984816,10.210162
human3_lib2.final_cell_0105,acinar,inDrop,3.9563172,11.404349
human3_lib4.final_cell_0466,acinar,inDrop,6.0251794,9.847431
human3_lib3.final_cell_0044,acinar,inDrop,4.813257,12.223174
human3_lib1.final_cell_0069,acinar,inDrop,4.505005,11.7640915
human3_lib4.final_cell_0103,acinar,inDrop,6.1852183,11.2925825
human3_lib2.final_cell_0036,acinar,inDrop,4.0957103,11.847083
human3_lib1.final_cell_0505,acinar,inDrop,5.710171,9.411312
human3_lib2.final_cell_0267,acinar,inDrop,5.9749794,11.6767435
human3_lib3.final_cell_0703,acinar,inDrop,5.778252,9.901588
human3_lib2.final_cell_0109,acinar,inDrop,4.601043,10.673595
human3_lib4.final_cell_0171,acinar,inDrop,5.162522,10.074358
human3_lib2.final_cell_0134,acinar,inDrop,5.4498386,11.225855
human1_lib2.final_cell_0582,acinar,inDrop,5.4671597,9.565877
human3_lib1.final_cell_0212,acinar,inDrop,5.480907,9.88877
human3_lib2.final_cell_0675,acinar,inDrop,4.782353,10.844376
human3_lib3.final_cell_0205,acinar,inDrop,5.0814867,11.095872
human3_lib4.final_cell_0184,acinar,inDrop,4.7832527,10.696046
human3_lib3.final_cell_0079,acinar,inDrop,4.0817757,11.778244
human3_lib2.final_cell_0060,acinar,inDrop,5.3432746,11.177853
human3_lib1.final_cell_0204,acinar,inDrop,4.705234,11.585974
human3_lib4.final_cell_0070,acinar,inDrop,4.270128,11.103365
human3_lib3.final_cell_0415,acinar,inDrop,4.1710305,10.478398
human3_lib3.final_cell_0208,acinar,inDrop,5.2260585,10.802836
human3_lib1.final_cell_0038,acinar,inDrop,4.732932,12.201873
human3_lib4.final_cell_0533,acinar,inDrop,5.445729,9.978959
human1_lib3.final_cell_0231,acinar,inDrop,4.3185744,9.900109
human3_lib3.final_cell_0066,acinar,inDrop,5.513111,11.012083
human3_lib4.final_cell_0108,acinar,inDrop,4.8017883,11.543783
human3_lib3.final_cell_0301,acinar,inDrop,4.1310635,11.258251
human3_lib4.final_cell_0149,acinar,inDrop,6.2315454,10.037766
human3_lib4.final_cell_0003,acinar,inDrop,6.0755982,11.321519
human3_lib3.final_cell_0266,acinar,inDrop,4.2578177,11.258829
human3_lib1.final_cell_0373,acinar,inDrop,6.0251665,9.445609
human3_lib1.final_cell_0172,acinar,inDrop,4.1720695,11.228819
