,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-0.97850126,-15.535088
D28.7_64,acinar,celseq2,-1.1990759,-15.335662
D31.2_86,acinar,celseq2,-1.0079496,-12.631674
human3_lib2.final_cell_0055,acinar,inDrop,-2.553393,-13.720645
human3_lib4.final_cell_0748,acinar,inDrop,-3.3620133,-13.300391
human3_lib1.final_cell_0004,acinar,inDrop,-3.0767884,-11.282885
human3_lib2.final_cell_0497,acinar,inDrop,-2.4906738,-14.5843315
human1_lib1.final_cell_0028,acinar,inDrop,-2.627754,-13.4558115
D31.7_21,acinar,celseq2,-0.6918229,-15.026706
human3_lib4.final_cell_0518,acinar,inDrop,-0.91642714,-14.992989
human3_lib1.final_cell_0005,acinar,inDrop,-1.3033855,-15.527738
D28.5_31,acinar,celseq2,-1.3109825,-13.374665
human3_lib1.final_cell_0109,acinar,inDrop,-1.4991889,-14.095899
human3_lib3.final_cell_0385,acinar,inDrop,-1.4182941,-14.564124
human3_lib3.final_cell_0028,acinar,inDrop,-2.2105439,-15.11454
HP1502401_F13,acinar,smartseq2,-0.42160496,-12.853991
human3_lib1.final_cell_0371,acinar,inDrop,-0.5094625,-13.153072
HP1506401_D24,acinar,smartseq2,-0.86802584,-15.675953
human3_lib4.final_cell_0148,acinar,inDrop,-2.2361789,-12.234392
HP1502401_M22,acinar,smartseq2,-2.5078766,-14.901519
human3_lib4.final_cell_0072,acinar,inDrop,-0.35335785,-14.669092
human3_lib1.final_cell_0146,acinar,inDrop,-2.214875,-15.249387
human3_lib1.final_cell_0642,acinar,inDrop,-0.8103454,-15.565512
human3_lib4.final_cell_0537,acinar,inDrop,-0.5498865,-12.816866
human3_lib1.final_cell_0026,acinar,inDrop,-1.3779126,-15.308562
human1_lib1.final_cell_0047,acinar,inDrop,-3.0092225,-13.446705
human3_lib2.final_cell_0012,acinar,inDrop,-2.7435799,-12.224197
human3_lib4.final_cell_0034,acinar,inDrop,-2.8801184,-14.171047
D28.6_19,acinar,celseq2,-2.6747322,-14.175929
human3_lib1.final_cell_0027,acinar,inDrop,-1.5410824,-15.538728
human3_lib3.final_cell_0235,acinar,inDrop,-0.22671688,-14.339217
human3_lib4.final_cell_0358,acinar,inDrop,-3.2573524,-13.785001
human3_lib4.final_cell_0292,acinar,inDrop,-1.1383609,-13.464164
human3_lib1.final_cell_0044,acinar,inDrop,-3.0096936,-11.809239
D30.5_79,acinar,celseq2,-3.1502132,-12.708985
D28.8_39,acinar,celseq2,-2.9510617,-13.035172
human1_lib3.final_cell_0031,acinar,inDrop,-1.5341139,-13.144504
human3_lib1.final_cell_0117,acinar,inDrop,-2.3121898,-12.361707
human3_lib2.final_cell_0083,acinar,inDrop,-3.2381594,-13.230067
D30.6_37,acinar,celseq2,-0.018570838,-13.897027
HP1506401_B16,acinar,smartseq2,-3.4662302,-13.194851
human3_lib1.final_cell_0112,acinar,inDrop,-2.093586,-14.620361
human3_lib3.final_cell_0022,acinar,inDrop,-1.0621076,-15.653788
human3_lib1.final_cell_0391,acinar,inDrop,-2.861687,-13.343903
human3_lib1.final_cell_0215,acinar,inDrop,-0.4958982,-12.847553
human1_lib1.final_cell_0461,acinar,inDrop,-0.7920858,-14.902874
human3_lib2.final_cell_0685,acinar,inDrop,-0.08367017,-13.137045
human3_lib4.final_cell_0272,acinar,inDrop,-2.0235393,-12.338096
HP1506401_D3,acinar,smartseq2,-0.8882934,-12.74905
human3_lib3.final_cell_0163,acinar,inDrop,-1.2947805,-15.332771
human1_lib1.final_cell_0182,acinar,inDrop,-1.764012,-12.051627
HP1504101T2D_J16,acinar,smartseq2,-0.11542913,-13.723408
human3_lib2.final_cell_0105,acinar,inDrop,-2.3176064,-13.419397
human3_lib4.final_cell_0466,acinar,inDrop,-2.527523,-15.1552515
D30.4_18,acinar,celseq2,-1.5436217,-13.056588
human3_lib3.final_cell_0044,acinar,inDrop,-3.280159,-13.997249
D28.5_63,acinar,celseq2,-1.435207,-14.770718
HP1504901_F23,acinar,smartseq2,-2.2443635,-14.767022
human3_lib1.final_cell_0069,acinar,inDrop,-3.2981005,-12.870408
D31.3_89,acinar,celseq2,-3.2279572,-13.247694
human3_lib4.final_cell_0103,acinar,inDrop,-2.0522676,-13.221711
human3_lib2.final_cell_0036,acinar,inDrop,-2.195165,-14.260259
HP1506401_J15,acinar,smartseq2,-1.1990746,-12.998785
human3_lib1.final_cell_0505,acinar,inDrop,-1.8470484,-12.009985
HP1506401_O16,acinar,smartseq2,-1.104025,-15.698393
human3_lib2.final_cell_0267,acinar,inDrop,-2.5677722,-14.5337925
human3_lib3.final_cell_0703,acinar,inDrop,-2.9173129,-13.480513
human3_lib2.final_cell_0109,acinar,inDrop,-0.051076304,-13.765595
D30.2_53,acinar,celseq2,-0.88731784,-15.244318
human3_lib4.final_cell_0171,acinar,inDrop,-2.0008142,-13.353504
HP1506401_N23,acinar,smartseq2,-0.5605576,-12.805892
D28.3_51,acinar,celseq2,-5.0626297,-6.854795
human3_lib2.final_cell_0134,acinar,inDrop,-0.6989666,-14.326718
human1_lib2.final_cell_0582,acinar,inDrop,-1.5598563,-13.417764
D28.5_37,acinar,celseq2,-2.6666076,-14.507503
human3_lib1.final_cell_0212,acinar,inDrop,-3.1742887,-13.354703
D28.3_90,acinar,celseq2,-0.63965476,-14.630431
human3_lib2.final_cell_0675,acinar,inDrop,-1.2853463,-13.518167
D31.1_21,acinar,celseq2,-0.058032677,-13.198592
human3_lib3.final_cell_0205,acinar,inDrop,-0.35622337,-13.2653885
human3_lib4.final_cell_0184,acinar,inDrop,-1.2269642,-12.8237915
human3_lib3.final_cell_0079,acinar,inDrop,-1.4895724,-12.64731
human3_lib2.final_cell_0060,acinar,inDrop,-1.7427711,-13.024803
human3_lib1.final_cell_0204,acinar,inDrop,-1.3397554,-13.05712
HP1506401_N9,acinar,smartseq2,-2.14915,-15.456196
HP1526901T2D_H2,acinar,smartseq2,-1.4437822,-15.803115
human3_lib4.final_cell_0070,acinar,inDrop,-0.3164514,-13.621051
human3_lib3.final_cell_0415,acinar,inDrop,-0.6752343,-14.654763
HP1525301T2D_F10,acinar,smartseq2,-2.9941106,-14.36596
D31.5_69,acinar,celseq2,-0.6980182,-12.705773
human3_lib3.final_cell_0208,acinar,inDrop,-3.486623,-13.189388
human3_lib1.final_cell_0038,acinar,inDrop,-2.6845253,-14.830307
