,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-13.574317,-1.8945693
human3_lib2.final_cell_0055,acinar,inDrop,-12.224362,-2.4166713
human3_lib4.final_cell_0748,acinar,inDrop,-12.126765,-1.414409
human3_lib1.final_cell_0004,acinar,inDrop,-13.563437,-0.258858
human3_lib2.final_cell_0497,acinar,inDrop,-13.318379,0.76034796
human1_lib1.final_cell_0028,acinar,inDrop,-11.3968115,0.7762348
human3_lib4.final_cell_0518,acinar,inDrop,-9.319534,2.9463503
human3_lib1.final_cell_0005,acinar,inDrop,-12.956853,0.08138096
human3_lib1.final_cell_0109,acinar,inDrop,-13.017512,-2.610055
human3_lib3.final_cell_0385,acinar,inDrop,-12.649992,-1.6034925
human3_lib3.final_cell_0028,acinar,inDrop,-13.713363,-1.7999331
human3_lib1.final_cell_0371,acinar,inDrop,-12.829976,-1.7871078
human3_lib4.final_cell_0148,acinar,inDrop,-13.17199,-1.5015105
human3_lib4.final_cell_0072,acinar,inDrop,-13.664769,-1.2564889
human3_lib1.final_cell_0146,acinar,inDrop,-12.961353,-1.1570883
human3_lib1.final_cell_0642,acinar,inDrop,-12.483599,-1.6954846
human3_lib4.final_cell_0537,acinar,inDrop,-12.237591,-2.3928106
human3_lib1.final_cell_0026,acinar,inDrop,-13.207919,-2.4883275
human1_lib1.final_cell_0047,acinar,inDrop,-11.6819515,-0.506539
human3_lib2.final_cell_0012,acinar,inDrop,-13.213766,0.39101708
human3_lib4.final_cell_0034,acinar,inDrop,-13.527348,-2.1421084
human3_lib1.final_cell_0027,acinar,inDrop,-13.635054,-0.8979632
human3_lib3.final_cell_0235,acinar,inDrop,-13.658337,-2.1583896
human3_lib4.final_cell_0358,acinar,inDrop,-12.394309,-2.4920144
human3_lib4.final_cell_0292,acinar,inDrop,-12.426187,-2.021822
human3_lib1.final_cell_0044,acinar,inDrop,-13.517244,0.19520736
human1_lib3.final_cell_0031,acinar,inDrop,-11.612985,0.22795035
human3_lib1.final_cell_0117,acinar,inDrop,-13.415813,0.15597759
human3_lib2.final_cell_0083,acinar,inDrop,-13.427175,-0.6149654
human3_lib1.final_cell_0112,acinar,inDrop,-13.324427,-1.9916444
