index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,12.480314,-0.58064544
D28.7_64,acinar,celseq2,-10.396458,-14.042042
D31.2_86,acinar,celseq2,-8.422716,-13.449192
human3_lib2.final_cell_0055,acinar,inDrop,14.278271,-0.5881364
human3_lib4.final_cell_0748,acinar,inDrop,14.277303,-1.4394201
human3_lib1.final_cell_0004,acinar,inDrop,13.13729,-1.1991446
human3_lib2.final_cell_0497,acinar,inDrop,12.541476,-0.79468524
human1_lib1.final_cell_0028,acinar,inDrop,12.325986,-1.8956816
D31.7_21,acinar,celseq2,-8.337613,-11.999734
human3_lib4.final_cell_0518,acinar,inDrop,12.6758375,-2.3253329
human3_lib1.final_cell_0005,acinar,inDrop,12.657071,-1.2387726
D28.5_31,acinar,celseq2,-8.667871,-13.331438
human3_lib1.final_cell_0109,acinar,inDrop,14.229452,-0.52069426
human3_lib3.final_cell_0385,acinar,inDrop,14.190672,-0.47400865
human3_lib3.final_cell_0028,acinar,inDrop,13.829839,-0.49638653
HP1502401_F13,acinar,smartseq2,-9.335991,-12.686664
human3_lib1.final_cell_0371,acinar,inDrop,12.235703,-1.1748195
HP1506401_D24,acinar,smartseq2,-9.609112,-14.082923
human3_lib4.final_cell_0148,acinar,inDrop,13.718386,-1.1159737
HP1502401_M22,acinar,smartseq2,-10.543235,-13.806365
human3_lib4.final_cell_0072,acinar,inDrop,13.981137,-0.76716864
human3_lib1.final_cell_0146,acinar,inDrop,13.4764385,-1.6176966
human3_lib1.final_cell_0642,acinar,inDrop,11.8824005,-1.1342582
human3_lib4.final_cell_0537,acinar,inDrop,13.99463,-1.2287596
human3_lib1.final_cell_0026,acinar,inDrop,13.981574,-0.5212977
human1_lib1.final_cell_0047,acinar,inDrop,13.5764885,-2.0087364
human3_lib2.final_cell_0012,acinar,inDrop,12.432336,-0.7085767
human3_lib4.final_cell_0034,acinar,inDrop,13.932145,-0.92225516
D28.6_19,acinar,celseq2,-9.084775,-12.428848
human3_lib1.final_cell_0027,acinar,inDrop,13.264389,-0.5706961
human3_lib3.final_cell_0235,acinar,inDrop,13.50525,-0.25338984
human3_lib4.final_cell_0358,acinar,inDrop,14.06052,-1.6165987
human3_lib4.final_cell_0292,acinar,inDrop,14.007972,-1.2636389
human3_lib1.final_cell_0044,acinar,inDrop,12.371786,-0.87357485
D30.5_79,acinar,celseq2,-9.631733,-12.708383
D28.8_39,acinar,celseq2,-9.99581,-14.16537
human1_lib3.final_cell_0031,acinar,inDrop,12.678696,-2.0064065
human3_lib1.final_cell_0117,acinar,inDrop,12.141797,-0.8162069
human3_lib2.final_cell_0083,acinar,inDrop,12.359567,-0.42308718
D30.6_37,acinar,celseq2,-9.4819565,-12.630103
HP1506401_B16,acinar,smartseq2,-8.673246,-13.77955
human3_lib1.final_cell_0112,acinar,inDrop,13.986434,-0.89354485
human3_lib3.final_cell_0022,acinar,inDrop,14.561651,-1.2465931
human3_lib1.final_cell_0391,acinar,inDrop,12.525945,-1.5653574
human3_lib1.final_cell_0215,acinar,inDrop,13.736806,-1.5710992
human1_lib1.final_cell_0461,acinar,inDrop,12.881628,-1.9700612
human3_lib2.final_cell_0685,acinar,inDrop,12.920375,-1.8157059
human3_lib4.final_cell_0272,acinar,inDrop,12.907521,-0.57476425
HP1506401_D3,acinar,smartseq2,-8.92389,-14.078099
human3_lib3.final_cell_0163,acinar,inDrop,13.448768,-1.1835996
human1_lib1.final_cell_0182,acinar,inDrop,12.7353115,-1.6843675
HP1504101T2D_J16,acinar,smartseq2,-10.35305,-13.766375
human3_lib2.final_cell_0105,acinar,inDrop,12.765497,-1.3222338
human3_lib4.final_cell_0466,acinar,inDrop,13.252545,-1.0223212
D30.4_18,acinar,celseq2,-10.216304,-13.624484
human3_lib3.final_cell_0044,acinar,inDrop,12.783779,-0.6460238
D28.5_63,acinar,celseq2,-9.673876,-13.46497
HP1504901_F23,acinar,smartseq2,-8.404373,-12.82914
human3_lib1.final_cell_0069,acinar,inDrop,13.300981,-1.7187414
D31.3_89,acinar,celseq2,-10.553265,-14.455923
human3_lib4.final_cell_0103,acinar,inDrop,13.441103,-0.63795304
human3_lib2.final_cell_0036,acinar,inDrop,12.633189,-0.28686473
HP1506401_J15,acinar,smartseq2,-9.510244,-14.341123
human3_lib1.final_cell_0505,acinar,inDrop,13.744557,-1.2155586
HP1506401_O16,acinar,smartseq2,-8.702614,-13.878852
human3_lib2.final_cell_0267,acinar,inDrop,11.923877,-0.7143008
human3_lib3.final_cell_0703,acinar,inDrop,14.483298,-1.8264132
human3_lib2.final_cell_0109,acinar,inDrop,14.098172,-0.6932908
D30.2_53,acinar,celseq2,-10.226161,-13.483647
human3_lib4.final_cell_0171,acinar,inDrop,14.425984,-1.9599718
HP1506401_N23,acinar,smartseq2,-9.218793,-14.103361
D28.3_51,acinar,celseq2,-10.444827,-14.317316
human3_lib2.final_cell_0134,acinar,inDrop,13.375882,-0.56776893
human1_lib2.final_cell_0582,acinar,inDrop,14.518784,-1.7012153
D28.5_37,acinar,celseq2,-8.992017,-12.992805
human3_lib1.final_cell_0212,acinar,inDrop,14.185074,-0.92580694
D28.3_90,acinar,celseq2,-8.658234,-13.079626
human3_lib2.final_cell_0675,acinar,inDrop,13.310084,-1.7891653
D31.1_21,acinar,celseq2,-8.958505,-12.501358
human3_lib3.final_cell_0205,acinar,inDrop,12.293504,-0.7062564
human3_lib4.final_cell_0184,acinar,inDrop,13.328396,-1.3546624
human3_lib3.final_cell_0079,acinar,inDrop,12.683983,-1.0133246
human3_lib2.final_cell_0060,acinar,inDrop,13.51849,-1.3898066
human3_lib1.final_cell_0204,acinar,inDrop,12.798283,-0.83313304
HP1506401_N9,acinar,smartseq2,-8.669378,-13.881855
HP1526901T2D_H2,acinar,smartseq2,-10.298666,-13.973902
human3_lib4.final_cell_0070,acinar,inDrop,12.888491,-1.4768163
human3_lib3.final_cell_0415,acinar,inDrop,12.856818,-1.4893129
HP1525301T2D_F10,acinar,smartseq2,-10.075278,-13.733527
D31.5_69,acinar,celseq2,-8.898534,-12.134252
human3_lib3.final_cell_0208,acinar,inDrop,13.521547,-0.737104
human3_lib1.final_cell_0038,acinar,inDrop,13.109599,-0.5212531
human3_lib4.final_cell_0533,acinar,inDrop,13.736174,-1.5831399
human1_lib3.final_cell_0231,acinar,inDrop,13.451714,-2.3057075
HP1504101T2D_C11,acinar,smartseq2,-9.859258,-14.270002
human3_lib3.final_cell_0066,acinar,inDrop,13.921115,-0.304292
human3_lib4.final_cell_0108,acinar,inDrop,12.412527,-1.0623101
D30.7_1,acinar,celseq2,-9.900591,-14.164114
human3_lib3.final_cell_0301,acinar,inDrop,13.149044,-1.2503741
human3_lib4.final_cell_0149,acinar,inDrop,14.173167,-1.7857716
HP1508501T2D_B14,acinar,smartseq2,-9.925991,-14.485004
human3_lib4.final_cell_0003,acinar,inDrop,14.001392,-0.60971165
human3_lib3.final_cell_0266,acinar,inDrop,12.677583,-0.031743865
human3_lib1.final_cell_0373,acinar,inDrop,13.771676,-1.2119201
D30.7_24,acinar,celseq2,-9.215052,-12.367144
human3_lib1.final_cell_0172,acinar,inDrop,12.073158,-1.5429213
human3_lib2.final_cell_0003,acinar,inDrop,13.909018,-1.7265488
AZ_F6,acinar,smartseq2,-9.378737,-14.243419
HP1508501T2D_I10,acinar,smartseq2,-9.879703,-14.557484
human3_lib3.final_cell_0166,acinar,inDrop,14.172985,-1.8446254
human3_lib2.final_cell_0101,acinar,inDrop,12.2867775,-1.0434003
HP1508501T2D_G17,acinar,smartseq2,-10.224759,-14.38458
HP1525301T2D_L5,acinar,smartseq2,-10.51517,-13.990703
human3_lib2.final_cell_0277,acinar,inDrop,12.910177,-1.1460248
D28.6_63,acinar,celseq2,-10.351599,-14.346561
human3_lib3.final_cell_0045,acinar,inDrop,14.591454,-1.0131382
HP1502401_G18,acinar,smartseq2,-10.320962,-13.927296
human3_lib1.final_cell_0483,acinar,inDrop,13.575708,-1.0771424
human3_lib4.final_cell_0575,acinar,inDrop,14.729678,-1.40175
human3_lib4.final_cell_0519,acinar,inDrop,14.74988,-1.3358403
human3_lib4.final_cell_0512,acinar,inDrop,13.088732,-1.9630915
human3_lib4.final_cell_0615,acinar,inDrop,13.276747,-1.8727847
human3_lib4.final_cell_0555,acinar,inDrop,3.923384,-0.98859894
human3_lib3.final_cell_0803,acinar,inDrop,13.882946,-1.2845869
human3_lib1.final_cell_0013,acinar,inDrop,12.389342,-0.42365545
D31.2_75,acinar,celseq2,-9.619335,-14.294539
HP1506401_B14,acinar,smartseq2,-8.78274,-13.936721
human3_lib2.final_cell_0006,acinar,inDrop,13.218711,-0.6224929
human3_lib1.final_cell_0300,acinar,inDrop,14.513963,-1.6455921
D30.3_91,acinar,celseq2,-9.41489,-12.585663
human3_lib4.final_cell_0155,acinar,inDrop,13.9388075,-1.3386843
human3_lib1.final_cell_0307,acinar,inDrop,12.763676,-0.71505827
human3_lib3.final_cell_0551,acinar,inDrop,14.027508,-2.0361366
human3_lib2.final_cell_0069,acinar,inDrop,12.712445,-1.4118378
human3_lib3.final_cell_0111,acinar,inDrop,12.587506,-0.844228
human3_lib4.final_cell_0087,acinar,inDrop,13.179639,-0.96886224
human3_lib2.final_cell_0299,acinar,inDrop,14.276687,-1.0046262
human3_lib2.final_cell_0108,acinar,inDrop,12.514111,-1.7209364
HP1506401_J2,acinar,smartseq2,-9.335223,-13.882117
D31.5_70,acinar,celseq2,-9.295208,-13.502465
human3_lib1.final_cell_0214,acinar,inDrop,13.523543,-2.0138237
human3_lib2.final_cell_0107,acinar,inDrop,14.405011,-1.0373993
human3_lib4.final_cell_0742,acinar,inDrop,14.487277,-1.4836034
human1_lib3.final_cell_0043,acinar,inDrop,12.89438,-2.1389678
human3_lib1.final_cell_0035,acinar,inDrop,14.099778,-1.60484
human3_lib3.final_cell_0685,acinar,inDrop,11.851008,-0.7560749
human1_lib3.final_cell_0469,acinar,inDrop,12.451434,-2.054762
HP1502401_C1,acinar,smartseq2,-9.829953,-13.092862
HP1506401_N5,acinar,smartseq2,-8.418382,-13.592097
D31.7_77,acinar,celseq2,-9.670909,-13.72149
human1_lib1.final_cell_0436,acinar,inDrop,13.797344,-2.175866
D31.6_9,acinar,celseq2,-10.516132,-14.1531105
human3_lib2.final_cell_0020,acinar,inDrop,13.009323,-0.48049256
human3_lib2.final_cell_0180,acinar,inDrop,14.326779,-1.3935823
human3_lib3.final_cell_0139,acinar,inDrop,13.109813,-1.94654
D28.3_25,acinar,celseq2,-9.784123,-14.105853
human3_lib1.final_cell_0268,acinar,inDrop,13.589217,-0.64717954
human3_lib4.final_cell_0746,acinar,inDrop,14.35828,-1.1938415
human3_lib1.final_cell_0006,acinar,inDrop,12.827973,-0.7007314
human3_lib3.final_cell_0227,acinar,inDrop,12.894355,-0.8853445
human3_lib3.final_cell_0059,acinar,inDrop,12.402829,-1.1839488
HP1502401_J2,acinar,smartseq2,-10.643075,-14.373434
human3_lib2.final_cell_0135,acinar,inDrop,12.721787,-0.7204259
D28.7_51,acinar,celseq2,-10.099388,-14.138512
HP1506401_L22,acinar,smartseq2,-8.2624235,-12.131861
D31.4_70,acinar,celseq2,-10.047018,-14.5180025
human3_lib2.final_cell_0027,acinar,inDrop,12.152427,-0.6593483
human3_lib2.final_cell_0019,acinar,inDrop,13.424839,-0.4858634
human3_lib4.final_cell_0783,acinar,inDrop,13.920262,-1.8347001
D31.6_53,acinar,celseq2,-10.313762,-14.249048
human3_lib2.final_cell_0586,acinar,inDrop,13.832191,-1.6720877
D28.4_63,acinar,celseq2,-8.816149,-13.951446
D28.3_91,acinar,celseq2,-10.296323,-14.329693
HP1508501T2D_F21,acinar,smartseq2,-10.4384575,-14.183099
human1_lib2.final_cell_0616,acinar,inDrop,13.776123,-2.2839975
human3_lib2.final_cell_0082,acinar,inDrop,13.279638,-2.0708618
human3_lib1.final_cell_0022,acinar,inDrop,14.185332,-0.6204446
human1_lib3.final_cell_0020,acinar,inDrop,13.098855,-2.5661879
human3_lib3.final_cell_0243,acinar,inDrop,13.785962,-0.59228647
human3_lib4.final_cell_0195,acinar,inDrop,13.7016325,-0.9208969
HP1508501T2D_A11,acinar,smartseq2,-10.029207,-13.818073
D31.3_73,acinar,celseq2,-8.987353,-13.086794
human3_lib3.final_cell_0019,acinar,inDrop,14.622218,-1.1504016
human3_lib4.final_cell_0131,acinar,inDrop,12.923215,-0.9890366
human3_lib3.final_cell_0157,acinar,inDrop,14.047011,-1.6709855
human3_lib3.final_cell_0241,acinar,inDrop,13.746029,-0.877318
human1_lib1.final_cell_0029,acinar,inDrop,14.232724,-0.7430552
human3_lib3.final_cell_0031,acinar,inDrop,12.396544,-1.0973738
HP1526901T2D_K17,acinar,smartseq2,-10.277612,-14.215536
D28.4_4,acinar,celseq2,-10.031483,-10.419301
