,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,0.66232014,9.346148
D28.7_64,acinar,celseq2,-7.580071,-8.045762
D31.2_86,acinar,celseq2,-7.961183,-10.381503
human3_lib2.final_cell_0055,acinar,inDrop,0.58738,9.909656
human3_lib4.final_cell_0748,acinar,inDrop,1.4550087,9.348962
human3_lib1.final_cell_0004,acinar,inDrop,1.5822293,8.321711
human3_lib2.final_cell_0497,acinar,inDrop,2.0580862,7.4532084
human1_lib1.final_cell_0028,acinar,inDrop,2.3127327,7.7901783
D31.7_21,acinar,celseq2,-7.866554,-10.287004
human3_lib4.final_cell_0518,acinar,inDrop,0.8590922,8.5177355
human3_lib1.final_cell_0005,acinar,inDrop,1.7399887,8.473103
D28.5_31,acinar,celseq2,-8.130197,-10.219378
human3_lib1.final_cell_0109,acinar,inDrop,0.36468136,9.551621
human3_lib3.final_cell_0385,acinar,inDrop,1.8151283,10.106547
human3_lib3.final_cell_0028,acinar,inDrop,1.5757531,9.238224
HP1502401_F13,acinar,smartseq2,-7.1615696,-8.239589
human3_lib1.final_cell_0371,acinar,inDrop,2.124491,9.78566
HP1506401_D24,acinar,smartseq2,-8.588735,-8.439719
human3_lib4.final_cell_0148,acinar,inDrop,2.169676,9.036725
HP1502401_M22,acinar,smartseq2,-7.631542,-7.653433
human3_lib4.final_cell_0072,acinar,inDrop,1.0202134,8.796405
human3_lib1.final_cell_0146,acinar,inDrop,1.0017046,9.061685
human3_lib1.final_cell_0642,acinar,inDrop,2.3190055,9.957461
human3_lib4.final_cell_0537,acinar,inDrop,1.8429772,9.430052
human3_lib1.final_cell_0026,acinar,inDrop,1.4723314,9.464184
human1_lib1.final_cell_0047,acinar,inDrop,2.30397,9.729734
human3_lib2.final_cell_0012,acinar,inDrop,2.088542,7.9349847
human3_lib4.final_cell_0034,acinar,inDrop,1.0808169,9.645578
D28.6_19,acinar,celseq2,-7.096676,-8.691653
human3_lib1.final_cell_0027,acinar,inDrop,2.4094822,8.208052
human3_lib3.final_cell_0235,acinar,inDrop,0.58119595,8.856552
human3_lib4.final_cell_0358,acinar,inDrop,0.49552235,9.594548
human3_lib4.final_cell_0292,acinar,inDrop,0.5388118,9.595994
human3_lib1.final_cell_0044,acinar,inDrop,1.2256186,8.242795
D30.5_79,acinar,celseq2,-7.4130645,-7.7528534
D28.8_39,acinar,celseq2,-7.9083147,-8.979078
human1_lib3.final_cell_0031,acinar,inDrop,2.4216993,8.611173
human3_lib1.final_cell_0117,acinar,inDrop,1.9742386,7.9552045
human3_lib2.final_cell_0083,acinar,inDrop,1.9996778,8.064741
D30.6_37,acinar,celseq2,-7.2225533,-8.023721
HP1506401_B16,acinar,smartseq2,-8.324161,-9.68569
human3_lib1.final_cell_0112,acinar,inDrop,1.7395135,9.248922
human3_lib3.final_cell_0022,acinar,inDrop,1.2338524,10.328263
human3_lib1.final_cell_0391,acinar,inDrop,2.7074494,8.243232
human3_lib1.final_cell_0215,acinar,inDrop,2.485742,9.609098
human1_lib1.final_cell_0461,acinar,inDrop,2.9095736,8.221246
human3_lib2.final_cell_0685,acinar,inDrop,3.0022378,8.404719
human3_lib4.final_cell_0272,acinar,inDrop,2.2425084,7.38555
HP1506401_D3,acinar,smartseq2,-8.551058,-9.755885
human3_lib3.final_cell_0163,acinar,inDrop,1.8395299,9.028672
human1_lib1.final_cell_0182,acinar,inDrop,2.554876,8.946976
HP1504101T2D_J16,acinar,smartseq2,-7.521051,-7.77642
human3_lib2.final_cell_0105,acinar,inDrop,2.0863883,7.5719213
human3_lib4.final_cell_0466,acinar,inDrop,2.0366523,9.428734
D30.4_18,acinar,celseq2,-7.257172,-8.222777
human3_lib3.final_cell_0044,acinar,inDrop,1.6987576,7.595112
D28.5_63,acinar,celseq2,-8.309411,-8.384074
HP1504901_F23,acinar,smartseq2,-8.077554,-10.161583
human3_lib1.final_cell_0069,acinar,inDrop,2.1955988,8.74236
D31.3_89,acinar,celseq2,-7.4751287,-8.638283
human3_lib4.final_cell_0103,acinar,inDrop,0.7457014,9.720969
human3_lib2.final_cell_0036,acinar,inDrop,1.719596,8.25627
HP1506401_J15,acinar,smartseq2,-8.607623,-8.040421
human3_lib1.final_cell_0505,acinar,inDrop,1.364354,9.515224
HP1506401_O16,acinar,smartseq2,-8.51566,-9.630454
human3_lib2.final_cell_0267,acinar,inDrop,0.55447465,9.06588
human3_lib3.final_cell_0703,acinar,inDrop,1.8989669,10.489926
human3_lib2.final_cell_0109,acinar,inDrop,1.8853561,9.359721
D30.2_53,acinar,celseq2,-7.413232,-7.7276673
human3_lib4.final_cell_0171,acinar,inDrop,2.4509041,10.177407
HP1506401_N23,acinar,smartseq2,-8.570956,-8.67763
D28.3_51,acinar,celseq2,-7.574584,-8.04797
human3_lib2.final_cell_0134,acinar,inDrop,0.6604415,9.290404
human1_lib2.final_cell_0582,acinar,inDrop,2.47527,10.021343
D28.5_37,acinar,celseq2,-7.6045346,-9.539384
human3_lib1.final_cell_0212,acinar,inDrop,1.9472862,10.576282
D28.3_90,acinar,celseq2,-8.090357,-10.082036
human3_lib2.final_cell_0675,acinar,inDrop,2.2818558,8.50758
D31.1_21,acinar,celseq2,-7.755527,-9.220406
human3_lib3.final_cell_0205,acinar,inDrop,1.9798561,8.146263
human3_lib4.final_cell_0184,acinar,inDrop,1.4149699,9.223248
human3_lib3.final_cell_0079,acinar,inDrop,2.2574322,7.705941
human3_lib2.final_cell_0060,acinar,inDrop,1.4490108,8.98298
human3_lib1.final_cell_0204,acinar,inDrop,1.8815632,7.6320086
HP1506401_N9,acinar,smartseq2,-8.415577,-10.046973
HP1526901T2D_H2,acinar,smartseq2,-7.6998644,-7.919505
human3_lib4.final_cell_0070,acinar,inDrop,2.8513079,8.322603
human3_lib3.final_cell_0415,acinar,inDrop,2.5662265,8.16342
HP1525301T2D_F10,acinar,smartseq2,-7.727875,-7.6251264
D31.5_69,acinar,celseq2,-7.4142914,-8.009719
human3_lib3.final_cell_0208,acinar,inDrop,1.1058903,8.851584
human3_lib1.final_cell_0038,acinar,inDrop,1.9944619,7.9227962
human3_lib4.final_cell_0533,acinar,inDrop,2.400174,9.682723
human1_lib3.final_cell_0231,acinar,inDrop,1.8126447,10.205042
HP1504101T2D_C11,acinar,smartseq2,-8.20812,-7.734816
human3_lib3.final_cell_0066,acinar,inDrop,1.0118976,9.489083
human3_lib4.final_cell_0108,acinar,inDrop,2.293723,8.195336
D30.7_1,acinar,celseq2,-7.9419374,-8.777366
human3_lib3.final_cell_0301,acinar,inDrop,1.1623725,8.190674
human3_lib4.final_cell_0149,acinar,inDrop,1.4366796,10.758609
HP1508501T2D_B14,acinar,smartseq2,-8.246254,-8.24166
human3_lib4.final_cell_0003,acinar,inDrop,0.54637134,9.400912
human3_lib3.final_cell_0266,acinar,inDrop,1.3757303,8.432262
human3_lib1.final_cell_0373,acinar,inDrop,1.2083033,10.627311
D30.7_24,acinar,celseq2,-7.2859645,-8.20779
