,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,4.72189,11.257967
D28.7_64,acinar,celseq2,-10.122768,1.0707244
D31.2_86,acinar,celseq2,-8.644615,3.0188613
human3_lib2.final_cell_0055,acinar,inDrop,4.605219,11.848377
human3_lib4.final_cell_0748,acinar,inDrop,5.3407884,11.189388
human3_lib1.final_cell_0004,acinar,inDrop,5.265206,10.053746
human3_lib2.final_cell_0497,acinar,inDrop,5.7106605,9.183477
human1_lib1.final_cell_0028,acinar,inDrop,5.850766,9.257666
D31.7_21,acinar,celseq2,-8.604565,3.2179122
human3_lib4.final_cell_0518,acinar,inDrop,4.5770097,10.280353
human3_lib1.final_cell_0005,acinar,inDrop,5.381578,10.142336
D28.5_31,acinar,celseq2,-8.746553,2.7973232
human3_lib1.final_cell_0109,acinar,inDrop,4.595418,11.660167
human3_lib3.final_cell_0385,acinar,inDrop,6.094424,11.595581
human3_lib3.final_cell_0028,acinar,inDrop,5.418169,10.810267
HP1502401_F13,acinar,smartseq2,-10.644316,1.4737695
human3_lib1.final_cell_0371,acinar,inDrop,6.3668976,11.423419
HP1506401_D24,acinar,smartseq2,-9.445572,1.2415204
human3_lib4.final_cell_0148,acinar,inDrop,6.12308,10.49294
HP1502401_M22,acinar,smartseq2,-10.583923,0.6204298
human3_lib4.final_cell_0072,acinar,inDrop,4.8242836,10.48013
human3_lib1.final_cell_0146,acinar,inDrop,4.938277,11.066829
human3_lib1.final_cell_0642,acinar,inDrop,6.5588303,11.404276
human3_lib4.final_cell_0537,acinar,inDrop,5.8109875,11.180922
human3_lib1.final_cell_0026,acinar,inDrop,5.4499607,11.042649
human1_lib1.final_cell_0047,acinar,inDrop,6.2828436,11.327486
human3_lib2.final_cell_0012,acinar,inDrop,5.772287,9.568108
human3_lib4.final_cell_0034,acinar,inDrop,5.1349335,11.500965
D28.6_19,acinar,celseq2,-10.605175,1.8881279
human3_lib1.final_cell_0027,acinar,inDrop,6.179855,9.910665
human3_lib3.final_cell_0235,acinar,inDrop,4.706683,10.812934
human3_lib4.final_cell_0358,acinar,inDrop,4.421004,11.647915
human3_lib4.final_cell_0292,acinar,inDrop,4.7293496,11.679886
human3_lib1.final_cell_0044,acinar,inDrop,4.936203,10.047287
D30.5_79,acinar,celseq2,-10.716237,0.90037346
D28.8_39,acinar,celseq2,-9.631378,1.8665762
human1_lib3.final_cell_0031,acinar,inDrop,6.306671,10.238426
human3_lib1.final_cell_0117,acinar,inDrop,5.4154243,9.433294
human3_lib2.final_cell_0083,acinar,inDrop,5.4113626,9.684384
D30.6_37,acinar,celseq2,-10.85912,1.1310968
HP1506401_B16,acinar,smartseq2,-8.902093,2.2605882
human3_lib1.final_cell_0112,acinar,inDrop,5.49377,10.863017
human3_lib3.final_cell_0022,acinar,inDrop,5.5469995,12.102927
human3_lib1.final_cell_0391,acinar,inDrop,6.49562,9.695322
human3_lib1.final_cell_0215,acinar,inDrop,6.4999237,11.008709
human1_lib1.final_cell_0461,acinar,inDrop,6.504529,9.836809
human3_lib2.final_cell_0685,acinar,inDrop,6.7329392,9.736645
human3_lib4.final_cell_0272,acinar,inDrop,5.6199784,9.107804
HP1506401_D3,acinar,smartseq2,-8.731984,2.3250017
human3_lib3.final_cell_0163,acinar,inDrop,5.745084,10.483457
human1_lib1.final_cell_0182,acinar,inDrop,6.5067854,10.536959
HP1504101T2D_J16,acinar,smartseq2,-10.571057,0.796018
human3_lib2.final_cell_0105,acinar,inDrop,5.694175,9.067687
human3_lib4.final_cell_0466,acinar,inDrop,5.898883,10.929316
D30.4_18,acinar,celseq2,-10.629684,1.5142889
human3_lib3.final_cell_0044,acinar,inDrop,5.1289067,9.345462
D28.5_63,acinar,celseq2,-9.666086,1.1999352
HP1504901_F23,acinar,smartseq2,-8.798811,2.9013443
human3_lib1.final_cell_0069,acinar,inDrop,6.1209965,10.132419
D31.3_89,acinar,celseq2,-10.174935,1.6470371
human3_lib4.final_cell_0103,acinar,inDrop,4.74834,11.555894
human3_lib2.final_cell_0036,acinar,inDrop,5.3097043,10.012442
HP1506401_J15,acinar,smartseq2,-9.388665,0.71384805
human3_lib1.final_cell_0505,acinar,inDrop,5.539755,11.166576
HP1506401_O16,acinar,smartseq2,-8.829,2.2276473
human3_lib2.final_cell_0267,acinar,inDrop,4.5407863,10.934826
human3_lib3.final_cell_0703,acinar,inDrop,6.3196764,11.963611
human3_lib2.final_cell_0109,acinar,inDrop,5.66453,10.8718605
D30.2_53,acinar,celseq2,-10.680023,0.7859121
human3_lib4.final_cell_0171,acinar,inDrop,6.59893,11.697781
HP1506401_N23,acinar,smartseq2,-9.205398,1.2926587
D28.3_51,acinar,celseq2,-10.197308,1.1514741
human3_lib2.final_cell_0134,acinar,inDrop,4.823314,11.229012
human1_lib2.final_cell_0582,acinar,inDrop,6.4635243,11.4266205
D28.5_37,acinar,celseq2,-9.637692,2.4315846
human3_lib1.final_cell_0212,acinar,inDrop,6.2631564,11.950003
D28.3_90,acinar,celseq2,-8.929894,2.8206878
human3_lib2.final_cell_0675,acinar,inDrop,6.17973,10.036032
D31.1_21,acinar,celseq2,-9.839742,1.99875
human3_lib3.final_cell_0205,acinar,inDrop,5.545797,9.886539
human3_lib4.final_cell_0184,acinar,inDrop,5.3776174,10.974579
human3_lib3.final_cell_0079,acinar,inDrop,5.934457,9.203592
human3_lib2.final_cell_0060,acinar,inDrop,5.3379703,10.809177
human3_lib1.final_cell_0204,acinar,inDrop,5.430488,9.503192
HP1506401_N9,acinar,smartseq2,-8.663998,2.5823638
HP1526901T2D_H2,acinar,smartseq2,-10.2492485,0.8745805
human3_lib4.final_cell_0070,acinar,inDrop,6.4810514,9.733543
human3_lib3.final_cell_0415,acinar,inDrop,6.2515345,9.41985
HP1525301T2D_F10,acinar,smartseq2,-10.322881,0.71502197
D31.5_69,acinar,celseq2,-10.412067,1.0409129
human3_lib3.final_cell_0208,acinar,inDrop,4.771945,10.756212
human3_lib1.final_cell_0038,acinar,inDrop,5.561542,9.636901
human3_lib4.final_cell_0533,acinar,inDrop,6.3812823,11.115456
human1_lib3.final_cell_0231,acinar,inDrop,5.933521,11.875003
HP1504101T2D_C11,acinar,smartseq2,-9.826483,0.64607215
human3_lib3.final_cell_0066,acinar,inDrop,5.0151043,11.143306
human3_lib4.final_cell_0108,acinar,inDrop,5.977941,9.642098
D30.7_1,acinar,celseq2,-9.667742,1.655592
human3_lib3.final_cell_0301,acinar,inDrop,4.7005405,10.12237
human3_lib4.final_cell_0149,acinar,inDrop,5.637992,12.43646
HP1508501T2D_B14,acinar,smartseq2,-9.682094,0.98231786
human3_lib4.final_cell_0003,acinar,inDrop,4.552688,11.312242
human3_lib3.final_cell_0266,acinar,inDrop,5.1024585,10.18064
human3_lib1.final_cell_0373,acinar,inDrop,5.6456137,12.418402
D30.7_24,acinar,celseq2,-10.543561,1.4574913
human3_lib1.final_cell_0172,acinar,inDrop,6.4940915,9.475469
human3_lib2.final_cell_0003,acinar,inDrop,6.066016,11.492168
AZ_F6,acinar,smartseq2,-9.256949,1.9557475
HP1508501T2D_I10,acinar,smartseq2,-9.758669,0.6686629
human3_lib3.final_cell_0166,acinar,inDrop,6.035544,11.455349
human3_lib2.final_cell_0101,acinar,inDrop,5.5557246,9.414129
HP1508501T2D_G17,acinar,smartseq2,-9.871169,1.5191042
HP1525301T2D_L5,acinar,smartseq2,-10.408185,1.22611
human3_lib2.final_cell_0277,acinar,inDrop,6.575133,9.78376
D28.6_63,acinar,celseq2,-10.035376,1.9198307
human3_lib3.final_cell_0045,acinar,inDrop,5.3059163,11.708416
HP1502401_G18,acinar,smartseq2,-10.607024,1.4335665
human3_lib1.final_cell_0483,acinar,inDrop,5.851386,10.413414
human3_lib4.final_cell_0575,acinar,inDrop,5.775951,12.421171
human3_lib4.final_cell_0519,acinar,inDrop,5.5580177,12.205021
human3_lib4.final_cell_0512,acinar,inDrop,6.2536073,10.4135065
human3_lib4.final_cell_0615,acinar,inDrop,4.6056337,10.792632
human3_lib4.final_cell_0555,acinar,inDrop,5.0910935,10.361827
human3_lib3.final_cell_0803,acinar,inDrop,6.4764853,10.330068
human3_lib1.final_cell_0013,acinar,inDrop,4.712868,10.275806
D31.2_75,acinar,celseq2,-9.105635,2.07128
HP1506401_B14,acinar,smartseq2,-8.681732,2.5935028
human3_lib2.final_cell_0006,acinar,inDrop,4.7849317,10.437788
human3_lib1.final_cell_0300,acinar,inDrop,5.750252,12.449621
D30.3_91,acinar,celseq2,-10.7563305,1.41711
human3_lib4.final_cell_0155,acinar,inDrop,5.9453826,11.011403
human3_lib1.final_cell_0307,acinar,inDrop,5.8196545,9.2175665
