,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-7.018631,-5.0825562
D28.7_64,acinar,celseq2,19.980364,-7.4657354
D31.2_86,acinar,celseq2,20.31112,-5.2681804
human3_lib2.final_cell_0055,acinar,inDrop,-6.1750374,-6.02099
human3_lib4.final_cell_0748,acinar,inDrop,-5.0077124,-5.3777456
human3_lib1.final_cell_0004,acinar,inDrop,-6.410228,-3.8916538
human3_lib2.final_cell_0497,acinar,inDrop,-6.7615767,-3.3975601
human1_lib1.final_cell_0028,acinar,inDrop,-5.6296606,-3.4719725
D31.7_21,acinar,celseq2,7.3997207,2.8274043
human3_lib4.final_cell_0518,acinar,inDrop,-4.924281,-4.3938694
human3_lib1.final_cell_0005,acinar,inDrop,-5.7988896,-3.7724316
D28.5_31,acinar,celseq2,19.959566,-5.4692125
human3_lib1.final_cell_0109,acinar,inDrop,-6.3093414,-5.4094024
human3_lib3.final_cell_0385,acinar,inDrop,-5.4891963,-5.599382
human3_lib3.final_cell_0028,acinar,inDrop,-7.1247406,-5.358041
HP1502401_F13,acinar,smartseq2,18.33099,-5.323578
human3_lib1.final_cell_0371,acinar,inDrop,-5.6687574,-5.046437
HP1506401_D24,acinar,smartseq2,20.26834,-6.6750703
human3_lib4.final_cell_0148,acinar,inDrop,-6.5395107,-4.821289
HP1502401_M22,acinar,smartseq2,19.3738,-7.01185
human3_lib4.final_cell_0072,acinar,inDrop,-6.899584,-4.180957
human3_lib1.final_cell_0146,acinar,inDrop,-6.0904546,-4.825649
human3_lib1.final_cell_0642,acinar,inDrop,-5.242201,-5.6780753
human3_lib4.final_cell_0537,acinar,inDrop,-5.5876884,-5.2333584
human3_lib1.final_cell_0026,acinar,inDrop,-7.1228366,-4.6928887
human1_lib1.final_cell_0047,acinar,inDrop,-5.558891,-5.12208
human3_lib2.final_cell_0012,acinar,inDrop,-6.9398875,-3.7070153
