,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,7.011076,-9.072944
human3_lib2.final_cell_0055,acinar,inDrop,6.3955245,-9.699371
human3_lib4.final_cell_0748,acinar,inDrop,6.3258104,-8.697573
human3_lib1.final_cell_0004,acinar,inDrop,6.8915277,-7.868068
human3_lib2.final_cell_0497,acinar,inDrop,7.07445,-6.982506
human1_lib1.final_cell_0028,acinar,inDrop,6.7726946,-7.2068276
human3_lib4.final_cell_0518,acinar,inDrop,6.4984984,-7.7725763
human3_lib1.final_cell_0005,acinar,inDrop,6.600181,-7.9074283
human3_lib1.final_cell_0109,acinar,inDrop,6.721256,-9.332616
human3_lib3.final_cell_0385,acinar,inDrop,5.443167,-8.741142
human3_lib3.final_cell_0028,acinar,inDrop,6.190332,-8.332948
human3_lib1.final_cell_0371,acinar,inDrop,5.0848675,-8.54295
human3_lib4.final_cell_0148,acinar,inDrop,5.9309616,-7.9195695
human3_lib4.final_cell_0072,acinar,inDrop,6.9501586,-8.506587
human3_lib1.final_cell_0146,acinar,inDrop,6.592328,-8.938921
human3_lib1.final_cell_0642,acinar,inDrop,4.969911,-8.88693
human3_lib4.final_cell_0537,acinar,inDrop,5.9112854,-8.8312435
human3_lib1.final_cell_0026,acinar,inDrop,6.1231647,-8.818365
human1_lib1.final_cell_0047,acinar,inDrop,5.094992,-8.351274
human3_lib2.final_cell_0012,acinar,inDrop,6.794792,-7.416278
human3_lib4.final_cell_0034,acinar,inDrop,6.303606,-8.860193
human3_lib1.final_cell_0027,acinar,inDrop,6.092334,-7.557173
human3_lib3.final_cell_0235,acinar,inDrop,7.183068,-8.935798
human3_lib4.final_cell_0358,acinar,inDrop,6.5212626,-9.441963
human3_lib4.final_cell_0292,acinar,inDrop,6.336003,-9.6510725
human3_lib1.final_cell_0044,acinar,inDrop,7.1734586,-7.899365
human1_lib3.final_cell_0031,acinar,inDrop,5.5969505,-7.530395
human3_lib1.final_cell_0117,acinar,inDrop,6.8077445,-7.2936897
human3_lib2.final_cell_0083,acinar,inDrop,6.789439,-7.662014
human3_lib1.final_cell_0112,acinar,inDrop,6.7856965,-8.242257
human3_lib3.final_cell_0022,acinar,inDrop,5.0352817,-9.425971
human3_lib1.final_cell_0391,acinar,inDrop,6.2491436,-6.9779334
human3_lib1.final_cell_0215,acinar,inDrop,5.255946,-8.301963
human1_lib1.final_cell_0461,acinar,inDrop,5.6888733,-7.3785877
human3_lib2.final_cell_0685,acinar,inDrop,5.7711935,-7.1211715
human3_lib4.final_cell_0272,acinar,inDrop,7.1228666,-7.10233
human3_lib3.final_cell_0163,acinar,inDrop,6.0069165,-7.9759836
human1_lib1.final_cell_0182,acinar,inDrop,5.347841,-7.6208115
human3_lib2.final_cell_0105,acinar,inDrop,7.192312,-7.0561337
human3_lib4.final_cell_0466,acinar,inDrop,6.0578,-8.294019
human3_lib3.final_cell_0044,acinar,inDrop,7.0030293,-7.290746
human3_lib1.final_cell_0069,acinar,inDrop,6.0712323,-7.414461
human3_lib4.final_cell_0103,acinar,inDrop,6.624044,-9.054239
