,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,13.991214,1.7322949
Cell2,Group4,Batch1,12.359332,2.163072
Cell3,Group3,Batch1,-10.83628,1.8171325
Cell4,Group3,Batch1,-10.765294,0.9893294
Cell5,Group3,Batch1,-9.298253,1.7061541
Cell6,Group2,Batch1,3.014307,-4.2646337
Cell7,Group4,Batch1,11.619382,1.7946643
Cell8,Group3,Batch1,-10.797802,-0.5049696
Cell9,Group4,Batch1,13.413853,1.4371479
Cell10,Group2,Batch1,3.1215024,-2.6306207
Cell11,Group3,Batch1,-9.482318,2.1168025
Cell12,Group2,Batch1,2.3602498,-2.2242148
Cell13,Group4,Batch1,12.565783,1.1964943
Cell14,Group2,Batch1,2.1752377,-1.6222023
Cell15,Group2,Batch1,2.5784621,-2.7128735
Cell16,Group4,Batch1,12.471082,-0.6161775
Cell17,Group1,Batch1,14.113295,-17.49309
Cell18,Group3,Batch1,-9.579325,0.77251977
Cell19,Group2,Batch1,3.091449,-4.4026446
Cell20,Group1,Batch1,13.651586,-17.810122
Cell21,Group4,Batch1,13.105886,2.6463509
Cell22,Group4,Batch1,10.989347,0.6707329
Cell23,Group2,Batch1,1.288575,-2.4962857
Cell24,Group2,Batch1,2.7392015,-4.456811
Cell25,Group4,Batch1,10.992578,0.5374597
Cell26,Group1,Batch1,14.00418,-17.369827
Cell27,Group4,Batch1,11.661009,2.3082976
Cell28,Group4,Batch1,11.666261,0.005012046
Cell29,Group4,Batch1,10.832223,0.33749306
Cell30,Group4,Batch1,12.267594,0.01666076
Cell31,Group2,Batch1,3.1486104,-4.6852155
Cell32,Group2,Batch1,2.5500116,-4.2855644
Cell33,Group2,Batch1,1.0659031,-2.002783
Cell34,Group4,Batch1,10.962848,0.70740026
Cell35,Group2,Batch1,1.8623075,-3.6806722
Cell36,Group4,Batch1,11.222739,2.5313506
Cell37,Group2,Batch1,2.522303,-2.4911397
Cell38,Group4,Batch1,11.032872,1.365975
Cell39,Group2,Batch1,2.7659461,-1.6192203
Cell40,Group3,Batch1,-9.782497,-0.11016703
Cell41,Group3,Batch1,-8.692515,1.5295091
Cell42,Group3,Batch1,-9.974826,-0.29151922
Cell43,Group2,Batch1,2.6551058,-1.7556965
Cell44,Group4,Batch1,12.539387,1.9612377
Cell45,Group3,Batch1,-8.647879,1.3211927
Cell46,Group4,Batch1,11.653208,0.016853431
Cell47,Group3,Batch1,-11.20666,0.4637036
Cell48,Group2,Batch1,0.8486258,-3.2206361
Cell49,Group4,Batch1,11.723176,1.8094044
Cell50,Group4,Batch1,13.374689,0.96643597
Cell51,Group2,Batch1,3.456124,-2.9333189
Cell52,Group3,Batch1,-11.559491,0.4068327
Cell53,Group3,Batch1,-10.962479,1.0136913
Cell54,Group2,Batch1,3.1129131,-2.8914292
Cell55,Group2,Batch1,3.0890865,-2.4943888
Cell56,Group2,Batch1,2.8535223,-3.6876276
Cell57,Group4,Batch1,10.425673,0.9023177
Cell58,Group2,Batch1,2.7681284,-1.6298581
Cell59,Group4,Batch1,13.061474,2.1803868
Cell60,Group3,Batch1,-11.418501,0.2953043
Cell61,Group3,Batch1,-10.318862,0.25271136
Cell62,Group2,Batch1,2.3970814,-3.3931918
Cell63,Group2,Batch1,2.3650088,-3.5880241
Cell64,Group4,Batch1,12.682451,1.4000891
Cell65,Group4,Batch1,11.620354,1.0711236
Cell66,Group4,Batch1,11.586482,0.09580575
Cell67,Group4,Batch1,11.966058,0.32833463
Cell68,Group1,Batch1,13.485968,-17.933397
Cell69,Group4,Batch1,13.819141,1.4174387
Cell70,Group2,Batch1,2.0997994,-3.7451131
Cell71,Group3,Batch1,-9.214873,1.1320304
Cell72,Group2,Batch1,3.24597,-3.5342913
Cell73,Group4,Batch1,12.175841,2.892524
Cell74,Group2,Batch1,2.3067372,-3.072774
Cell75,Group3,Batch1,-10.64672,-0.07661866
Cell76,Group2,Batch1,3.5655806,-3.8268838
Cell77,Group3,Batch1,-9.868651,1.8977339
Cell78,Group3,Batch1,-9.95036,2.2309158
Cell79,Group3,Batch1,-9.023648,-0.4336697
Cell80,Group2,Batch1,2.6855085,-3.8104808
Cell81,Group4,Batch1,11.125798,2.365362
Cell82,Group2,Batch1,2.278337,-3.0342503
Cell83,Group2,Batch1,2.650953,-1.818289
Cell84,Group3,Batch1,-9.819576,1.6181811
Cell85,Group2,Batch1,2.3457537,-4.6318345
Cell86,Group4,Batch1,11.945177,0.6706685
Cell87,Group3,Batch1,-8.825142,0.33000398
Cell88,Group4,Batch1,10.854766,2.046289
Cell89,Group4,Batch1,12.978747,0.31750548
Cell90,Group4,Batch1,11.936594,2.6766405
Cell91,Group4,Batch1,10.5975,0.4893319
Cell92,Group4,Batch1,11.898812,1.9262409
Cell93,Group4,Batch1,12.339088,1.1076224
Cell94,Group2,Batch1,1.9726362,-2.6250968
Cell95,Group2,Batch1,3.1890843,-1.8719214
Cell96,Group4,Batch1,12.271103,0.69288236
Cell97,Group2,Batch1,1.7071643,-2.3279657
Cell98,Group3,Batch1,-10.118333,2.042554
Cell99,Group2,Batch1,2.3050652,-1.6230428
Cell100,Group4,Batch1,11.443833,1.3851439
Cell101,Group4,Batch1,13.262503,2.421657
Cell102,Group4,Batch1,13.687034,2.0648139
Cell103,Group4,Batch1,12.036369,0.6923728
Cell104,Group2,Batch1,3.5741744,-3.1501124
Cell105,Group2,Batch1,2.8805802,-1.6031862
Cell106,Group4,Batch1,11.309682,0.78688926
Cell107,Group4,Batch1,11.089977,-0.32489392
Cell108,Group2,Batch1,0.8670424,-2.3887658
Cell109,Group3,Batch1,-10.425194,-0.1251751
Cell110,Group4,Batch1,12.348224,0.4689615
Cell111,Group4,Batch1,11.560164,1.8377188
Cell112,Group3,Batch1,-9.17589,1.3102605
Cell113,Group2,Batch1,2.421355,-3.3009284
Cell114,Group1,Batch1,13.152395,-17.448769
Cell115,Group2,Batch1,2.062693,-3.0289247
Cell116,Group2,Batch1,2.081055,-1.9566331
Cell117,Group2,Batch1,1.2766981,-3.0496714
Cell118,Group4,Batch1,11.369709,-0.50273067
Cell119,Group3,Batch1,-10.223899,-0.062460076
Cell120,Group4,Batch1,13.430762,0.36347777
Cell121,Group2,Batch1,2.9827504,-2.9132059
Cell122,Group3,Batch1,-11.434531,1.3744345
Cell123,Group2,Batch1,1.4062212,-2.6562412
Cell124,Group2,Batch1,1.506048,-1.5641654
Cell125,Group2,Batch1,1.4961808,-2.1173604
Cell126,Group4,Batch1,12.908581,-0.3776612
Cell127,Group2,Batch1,2.4331937,-4.571923
Cell128,Group2,Batch1,2.538925,-2.6402526
Cell129,Group3,Batch1,-8.86213,0.7857897
Cell130,Group4,Batch1,13.759077,0.9041486
Cell131,Group2,Batch1,3.596653,-2.4406347
Cell132,Group2,Batch1,1.4261876,-2.2759955
Cell133,Group1,Batch1,14.040351,-17.158297
Cell134,Group2,Batch1,3.193165,-1.8977103
Cell135,Group4,Batch1,12.712492,-0.6189153
Cell136,Group3,Batch1,-8.821412,0.73910487
Cell137,Group4,Batch1,11.913562,0.007728296
Cell138,Group4,Batch1,11.799961,1.5018728
Cell139,Group4,Batch1,11.908395,1.3862338
Cell140,Group3,Batch1,-9.750473,1.7878036
Cell141,Group3,Batch1,-9.784106,1.0358307
Cell142,Group3,Batch1,-8.81734,1.3722767
Cell143,Group4,Batch1,12.065073,2.924369
Cell144,Group3,Batch1,-9.35971,1.5530872
Cell145,Group4,Batch1,12.457697,1.8784332
Cell146,Group1,Batch1,13.527992,-17.316814
