,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,9.55209,-12.089375
Cell2,Group4,Batch1,10.289546,-11.992407
Cell3,Group3,Batch1,13.924272,6.8317013
Cell4,Group3,Batch1,13.6021185,7.553911
Cell5,Group3,Batch1,13.946886,7.58649
Cell6,Group2,Batch1,0.058906816,-5.753311
Cell7,Group4,Batch1,9.472875,-11.616923
Cell8,Group3,Batch1,13.427719,7.255041
Cell9,Group4,Batch1,9.397882,-11.286749
Cell10,Group2,Batch1,-0.3236477,-6.402597
Cell11,Group3,Batch1,14.267439,7.50005
Cell12,Group2,Batch1,0.28720155,-5.710177
Cell13,Group4,Batch1,8.956242,-13.888296
Cell14,Group2,Batch1,0.0037599988,-5.0849943
Cell15,Group2,Batch1,1.1300453,-5.051712
Cell16,Group4,Batch1,8.552936,-12.545666
Cell17,Group1,Batch1,-0.50913084,-16.74027
Cell18,Group3,Batch1,13.48243,6.160753
Cell19,Group2,Batch1,0.22886814,-6.4062514
Cell20,Group1,Batch1,0.21397953,-17.636612
Cell21,Group4,Batch1,9.033227,-10.28131
Cell22,Group4,Batch1,9.346738,-10.409471
Cell23,Group2,Batch1,0.081651576,-6.1475368
Cell24,Group2,Batch1,-0.4169894,-5.9848447
Cell25,Group4,Batch1,10.072547,-11.305765
Cell26,Group1,Batch1,-1.457259,-16.963007
Cell27,Group4,Batch1,9.033066,-11.039901
Cell28,Group4,Batch1,10.156197,-11.121851
Cell29,Group4,Batch1,9.606333,-11.9733715
Cell30,Group4,Batch1,9.992596,-12.601417
Cell31,Group2,Batch1,-0.31202653,-8.109212
Cell32,Group2,Batch1,0.53038883,-5.9224925
Cell33,Group2,Batch1,1.3177375,-6.15028
Cell34,Group4,Batch1,8.372586,-12.013046
Cell35,Group2,Batch1,0.74439263,-5.313004
Cell36,Group4,Batch1,10.040675,-11.203117
Cell37,Group2,Batch1,0.5280668,-6.690017
Cell38,Group4,Batch1,9.719323,-11.139108
Cell39,Group2,Batch1,1.5283458,-6.4421825
Cell40,Group3,Batch1,13.287264,7.716757
Cell41,Group3,Batch1,13.518837,6.4652486
Cell42,Group3,Batch1,13.350282,6.7681108
Cell43,Group2,Batch1,-0.017868795,-5.356222
Cell44,Group4,Batch1,8.542175,-12.00529
Cell45,Group3,Batch1,13.051644,7.1994214
Cell46,Group4,Batch1,8.706428,-14.46373
Cell47,Group3,Batch1,13.170308,6.8959312
Cell48,Group2,Batch1,-0.7848512,-6.207308
Cell49,Group4,Batch1,8.759906,-11.764897
Cell50,Group4,Batch1,10.243237,-12.05554
Cell51,Group2,Batch1,0.22525328,-5.070607
Cell52,Group3,Batch1,14.352715,6.1729336
Cell53,Group3,Batch1,14.304362,7.293539
Cell54,Group2,Batch1,0.6381362,-5.9199643
Cell55,Group2,Batch1,-0.011737391,-6.1148987
Cell56,Group2,Batch1,0.60611844,-6.031089
Cell57,Group4,Batch1,9.5924225,-11.613914
Cell58,Group2,Batch1,0.6775882,-5.383407
Cell59,Group4,Batch1,9.711527,-10.883884
Cell60,Group3,Batch1,14.232781,7.5677304
Cell61,Group3,Batch1,13.585683,7.2580776
Cell62,Group2,Batch1,0.066876695,-5.761331
Cell63,Group2,Batch1,1.1747308,-5.3902187
Cell64,Group4,Batch1,9.676921,-11.190254
Cell65,Group4,Batch1,9.122846,-10.428457
Cell66,Group4,Batch1,8.971504,-13.994156
Cell67,Group4,Batch1,9.147025,-10.805953
Cell68,Group1,Batch1,-1.3702254,-17.278624
Cell69,Group4,Batch1,7.418102,-13.173192
Cell70,Group2,Batch1,0.7055504,-6.2304277
Cell71,Group3,Batch1,13.821875,7.1765876
Cell72,Group2,Batch1,-0.1024653,-6.9946914
Cell73,Group4,Batch1,8.070146,-13.806624
Cell74,Group2,Batch1,0.42214257,-5.4958873
Cell75,Group3,Batch1,13.460848,7.463041
Cell76,Group2,Batch1,-0.790098,-6.980428
Cell77,Group3,Batch1,13.260649,7.571322
Cell78,Group3,Batch1,14.786007,6.714955
Cell79,Group3,Batch1,13.825331,7.661902
Cell80,Group2,Batch1,1.0754323,-4.9381723
Cell81,Group4,Batch1,8.631512,-10.301306
Cell82,Group2,Batch1,-0.5039882,-7.225692
Cell83,Group2,Batch1,0.577274,-5.979956
Cell84,Group3,Batch1,13.652341,7.30135
Cell85,Group2,Batch1,0.03122177,-5.9785423
Cell86,Group4,Batch1,7.274781,-11.243766
Cell87,Group3,Batch1,13.31623,7.3726864
Cell88,Group4,Batch1,8.309534,-11.302696
Cell89,Group4,Batch1,9.8733225,-12.126834
Cell90,Group4,Batch1,9.474608,-10.624079
Cell91,Group4,Batch1,8.731835,-11.49016
Cell92,Group4,Batch1,10.128017,-12.383775
