,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,-3.15486,0.8509802
Cell2,Group4,Batch1,-5.390071,2.349489
Cell3,Group3,Batch1,-6.7275934,-2.8327668
Cell4,Group3,Batch1,-5.7669277,-2.8232229
Cell5,Group3,Batch1,-7.240966,-2.0544837
Cell6,Group2,Batch1,8.11023,-1.8054965
Cell7,Group4,Batch1,-4.035553,1.8005987
Cell8,Group3,Batch1,-7.3927894,-3.1039617
Cell9,Group4,Batch1,-3.8379316,1.1821537
Cell10,Group2,Batch1,10.6056385,-1.9024146
Cell11,Group3,Batch1,-4.904231,-2.6059372
Cell12,Group2,Batch1,7.5506606,-0.6884628
Cell13,Group4,Batch1,-3.250475,1.383653
Cell14,Group2,Batch1,8.160743,-1.3663265
Cell15,Group2,Batch1,9.357354,-2.3379378
Cell16,Group4,Batch1,-3.2225718,1.4090611
Cell17,Group1,Batch1,6.660292,6.4682217
Cell18,Group3,Batch1,-7.3457174,-1.3970083
Cell19,Group2,Batch1,9.871451,0.04565878
Cell20,Group1,Batch1,6.586219,5.373871
Cell21,Group4,Batch1,-6.4136405,2.0414994
Cell22,Group4,Batch1,-4.742926,1.3421566
Cell23,Group2,Batch1,8.048784,-1.726706
Cell24,Group2,Batch1,8.128386,-1.0151923
Cell25,Group4,Batch1,-3.6671247,-0.2853185
Cell26,Group1,Batch1,6.616027,6.012096
Cell27,Group4,Batch1,-5.7593894,0.09177268
Cell28,Group4,Batch1,-4.891297,2.4512014
Cell29,Group4,Batch1,-4.5284843,0.8183604
Cell30,Group4,Batch1,-5.2628813,1.7846929
Cell31,Group2,Batch1,8.601361,0.05624792
Cell32,Group2,Batch1,8.354896,-0.53564376
Cell33,Group2,Batch1,8.966464,-0.4959493
Cell34,Group4,Batch1,-6.396296,2.06741
Cell35,Group2,Batch1,9.855618,-0.37879035
Cell36,Group4,Batch1,-4.677941,0.8418821
Cell37,Group2,Batch1,8.777033,-1.8124043
Cell38,Group4,Batch1,-6.533723,0.36442068
Cell39,Group2,Batch1,9.670997,-1.8615793
Cell40,Group3,Batch1,-6.628088,-1.3926656
Cell41,Group3,Batch1,-4.8698535,-1.3567276
Cell42,Group3,Batch1,-4.930006,-1.5120486
Cell43,Group2,Batch1,8.961091,0.16793318
Cell44,Group4,Batch1,-3.5576558,-0.38387322
Cell45,Group3,Batch1,-6.213464,-1.4866704
Cell46,Group4,Batch1,-5.188233,2.1382768
Cell47,Group3,Batch1,-6.6423087,-2.6006646
Cell48,Group2,Batch1,7.528136,-1.5810167
Cell49,Group4,Batch1,-4.0926394,2.693587
Cell50,Group4,Batch1,-5.775587,2.7770855
Cell51,Group2,Batch1,7.5362415,-0.9220622
Cell52,Group3,Batch1,-5.5671744,-1.7627115
Cell53,Group3,Batch1,-5.58276,-0.5470535
Cell54,Group2,Batch1,8.861512,-0.031932168
Cell55,Group2,Batch1,9.427847,-1.7706853
Cell56,Group2,Batch1,9.238515,-0.3312317
Cell57,Group4,Batch1,-6.90495,0.58191645
Cell58,Group2,Batch1,7.920965,-1.8514781
Cell59,Group4,Batch1,-6.1525707,1.8486602
Cell60,Group3,Batch1,-4.486767,-1.3659029
Cell61,Group3,Batch1,-6.2538166,0.24774167
Cell62,Group2,Batch1,9.33644,-0.09742267
Cell63,Group2,Batch1,10.251124,-1.9297565
Cell64,Group4,Batch1,-3.8856034,-0.005678917
Cell65,Group4,Batch1,-5.4516253,0.3286447
Cell66,Group4,Batch1,-4.0208344,-0.99630207
Cell67,Group4,Batch1,-5.6146574,1.421396
Cell68,Group1,Batch1,6.2943583,5.797174
Cell69,Group4,Batch1,-5.4280767,0.85879856
Cell70,Group2,Batch1,8.727158,0.6063138
Cell71,Group3,Batch1,-7.976135,-0.5174157
Cell72,Group2,Batch1,10.534279,-1.0122725
Cell73,Group4,Batch1,-3.0624034,0.042668812
Cell74,Group2,Batch1,8.103241,-1.5426266
Cell75,Group3,Batch1,-5.4580116,-1.048587
Cell76,Group2,Batch1,10.336941,-1.0612271
Cell77,Group3,Batch1,-5.9672875,-2.774025
Cell78,Group3,Batch1,-7.458997,-1.0623587
Cell79,Group3,Batch1,-7.532695,-1.254815
Cell80,Group2,Batch1,9.780756,-1.075135
Cell81,Group4,Batch1,-6.9712186,0.52741665
Cell82,Group2,Batch1,9.350715,-2.2467613
Cell83,Group2,Batch1,9.300374,-0.115910426
Cell84,Group3,Batch1,-6.6969085,-2.5825257
Cell85,Group2,Batch1,10.165452,-1.7792956
Cell86,Group4,Batch1,-5.940036,2.4086637
Cell87,Group3,Batch1,-5.073767,-1.8623923
Cell88,Group4,Batch1,-5.049084,-0.2622976
Cell89,Group4,Batch1,-5.13512,0.81979555
Cell90,Group4,Batch1,-4.196847,2.5801716
Cell91,Group4,Batch1,-5.9360523,0.7824599
Cell92,Group4,Batch1,-6.0658765,0.3286979
Cell93,Group4,Batch1,-6.131835,1.3467327
Cell94,Group2,Batch1,9.995522,-0.95004165
Cell95,Group2,Batch1,7.742398,-0.83125234
Cell96,Group4,Batch1,-4.189667,0.29259264
Cell97,Group2,Batch1,9.815911,-1.9289757
Cell98,Group3,Batch1,-5.602956,-1.3503042
Cell99,Group2,Batch1,8.7979,0.08063555
Cell100,Group4,Batch1,-4.215826,1.1807635
Cell101,Group4,Batch1,-6.9229274,0.06686026
Cell102,Group4,Batch1,-4.3614407,-0.30542755
Cell103,Group4,Batch1,-3.0107126,1.342674
Cell104,Group2,Batch1,7.8380427,-0.13114955
Cell105,Group2,Batch1,8.725178,-2.6159396
Cell106,Group4,Batch1,-2.9928534,1.1233683
Cell107,Group4,Batch1,-5.162636,2.2315714
Cell108,Group2,Batch1,8.796665,0.57081974
Cell109,Group3,Batch1,-6.3479404,-1.0182337
Cell110,Group4,Batch1,-5.6791043,0.5292494
Cell111,Group4,Batch1,-6.2526174,0.11700827
Cell112,Group3,Batch1,-7.112359,-2.37398
Cell113,Group2,Batch1,8.926655,-2.2908013
Cell114,Group1,Batch1,6.059398,6.5454025
Cell115,Group2,Batch1,7.5897493,-0.4415856
Cell116,Group2,Batch1,7.464621,-1.4348971
Cell117,Group2,Batch1,9.524913,0.25543326
Cell118,Group4,Batch1,-5.091218,0.21039443
Cell119,Group3,Batch1,-4.961329,0.02641907
Cell120,Group4,Batch1,-3.8856208,-0.21271819
Cell121,Group2,Batch1,8.369317,0.37851855
Cell122,Group3,Batch1,-5.308232,-0.35353932
Cell123,Group2,Batch1,9.866172,-1.4221311
Cell124,Group2,Batch1,8.23729,0.19868281
Cell125,Group2,Batch1,9.544591,0.13226065
Cell126,Group4,Batch1,-4.765507,0.55300355
Cell127,Group2,Batch1,8.592628,-0.6800499
Cell128,Group2,Batch1,8.176391,-0.078629546
Cell129,Group3,Batch1,-6.258064,-2.4144928
Cell130,Group4,Batch1,-4.0565996,-0.91023976
Cell131,Group2,Batch1,7.741348,-0.38609868
Cell132,Group2,Batch1,8.479737,-0.026133379
Cell133,Group1,Batch1,5.859756,6.2374973
Cell134,Group2,Batch1,8.546673,0.18716253
Cell135,Group4,Batch1,-3.074328,1.1066164
Cell136,Group3,Batch1,-7.1523643,-3.1944082
Cell137,Group4,Batch1,-3.8374386,0.9201031
Cell138,Group4,Batch1,-5.916283,1.9516001
Cell139,Group4,Batch1,-5.0540037,2.2989419
Cell140,Group3,Batch1,-5.7643414,-1.5149769
Cell141,Group3,Batch1,-4.8940372,-1.6030265
Cell142,Group3,Batch1,-7.3743954,-0.860858
Cell143,Group4,Batch1,-4.891056,1.2868882
Cell144,Group3,Batch1,-6.1829953,0.009148397
Cell145,Group4,Batch1,-4.5911,2.7231154
Cell146,Group1,Batch1,6.234666,5.704938
Cell147,Group4,Batch1,-3.6797178,-0.21936889
Cell148,Group1,Batch1,6.0353603,5.6272445
Cell149,Group1,Batch1,6.9637284,6.320657
Cell150,Group4,Batch1,-6.1049895,2.4860613
Cell151,Group4,Batch1,-4.678657,-0.9302108
Cell152,Group2,Batch1,8.225103,-0.6850853
Cell153,Group3,Batch1,-5.6807775,-0.5509992
Cell154,Group2,Batch1,10.391332,-0.89699674
Cell155,Group2,Batch1,9.205932,-1.6400968
Cell156,Group1,Batch1,6.725474,5.5713944
Cell157,Group1,Batch1,6.6764984,6.4602175
Cell158,Group4,Batch1,-6.248764,-0.69016004
Cell159,Group3,Batch1,-7.082077,-1.5149924
Cell160,Group2,Batch1,8.667637,-2.3727045
Cell161,Group2,Batch1,10.027557,-0.77981216
Cell162,Group4,Batch1,-3.4050293,0.9875585
Cell163,Group2,Batch1,9.560962,0.104145944
Cell164,Group3,Batch1,-6.438838,-2.5018878
Cell165,Group3,Batch1,-7.220261,-1.6047448
Cell166,Group1,Batch1,6.874819,6.149471
Cell167,Group2,Batch1,8.384637,-0.5283057
Cell168,Group2,Batch1,7.6907096,-1.5414561
Cell169,Group4,Batch1,-6.5622888,0.10283423
Cell170,Group2,Batch1,8.345866,-1.0913115
Cell171,Group3,Batch1,-5.905231,-1.9190848
Cell172,Group3,Batch1,-7.110468,-1.6986731
Cell173,Group3,Batch1,-6.2804337,-2.5599408
Cell174,Group3,Batch1,-8.047863,-1.446921
Cell175,Group2,Batch1,8.181871,-1.5627012
Cell176,Group3,Batch1,-5.5947337,-1.0586725
Cell177,Group2,Batch1,7.862433,-0.5815548
Cell178,Group2,Batch1,7.627607,-0.53467345
Cell179,Group4,Batch1,-6.397833,1.778243
Cell180,Group4,Batch1,-4.0980806,-0.5482429
Cell181,Group2,Batch1,9.152084,-0.8645046
Cell182,Group4,Batch1,-4.678067,0.31684607
Cell183,Group3,Batch1,-7.617131,-1.4332004
Cell184,Group4,Batch1,-4.470431,1.0672264
Cell185,Group3,Batch1,-7.1507397,-2.804225
Cell186,Group4,Batch1,-3.9607446,0.15742631
Cell187,Group2,Batch1,8.065064,-2.4198492
Cell188,Group3,Batch1,-4.9314876,-2.569873
Cell189,Group2,Batch1,10.396228,-0.56797487
Cell190,Group2,Batch1,9.768121,-2.1676478
Cell191,Group4,Batch1,-7.097054,0.2527696
Cell192,Group2,Batch1,9.616715,-0.6836789
Cell193,Group2,Batch1,9.765745,-2.3987656
Cell194,Group4,Batch1,-4.480618,-0.1629175
Cell195,Group2,Batch1,8.067638,-2.1757839
