,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,-2.85762,10.898979
Cell2,Group4,Batch1,-3.3117108,8.736914
Cell3,Group3,Batch1,9.51699,-9.499509
Cell4,Group3,Batch1,8.720825,-8.450288
Cell5,Group3,Batch1,8.030196,-9.941821
Cell6,Group2,Batch1,-7.424001,-2.9014955
Cell7,Group4,Batch1,-4.433738,9.046408
Cell8,Group3,Batch1,8.446316,-10.065865
Cell9,Group4,Batch1,-1.6692882,9.470064
Cell10,Group2,Batch1,-8.904225,-1.8329631
Cell11,Group3,Batch1,8.698642,-8.647308
Cell12,Group2,Batch1,-7.3867702,-1.4369619
Cell13,Group4,Batch1,-1.635469,10.79321
Cell14,Group2,Batch1,-9.400967,-1.6486716
Cell15,Group2,Batch1,-7.1761923,-3.3742075
Cell16,Group4,Batch1,-3.2604475,8.727812
Cell17,Group1,Batch1,4.5692906,-1.4596226
Cell18,Group3,Batch1,9.550263,-9.075726
Cell19,Group2,Batch1,-8.400963,-3.0833237
Cell20,Group1,Batch1,5.2233896,-0.7488979
Cell21,Group4,Batch1,-3.4926836,9.910112
Cell22,Group4,Batch1,-2.588828,9.074415
Cell23,Group2,Batch1,-7.4661217,-1.9064809
Cell24,Group2,Batch1,-6.9781613,-3.099155
Cell25,Group4,Batch1,-2.3847935,9.779379
Cell26,Group1,Batch1,4.5794945,-0.9750974
Cell27,Group4,Batch1,-2.1057847,10.9539795
Cell28,Group4,Batch1,-3.0579767,10.5524235
Cell29,Group4,Batch1,-1.9381295,8.862848
Cell30,Group4,Batch1,-3.6367524,11.374376
Cell31,Group2,Batch1,-9.64956,-3.8041246
Cell32,Group2,Batch1,-8.963665,-3.194234
Cell33,Group2,Batch1,-9.231406,-1.4928764
Cell34,Group4,Batch1,-1.5921298,8.988237
Cell35,Group2,Batch1,-8.5955305,-3.903143
Cell36,Group4,Batch1,-2.8933213,8.06916
Cell37,Group2,Batch1,-8.421999,-4.0177307
Cell38,Group4,Batch1,-3.1993372,11.143144
Cell39,Group2,Batch1,-6.666436,-3.2483933
Cell40,Group3,Batch1,8.628262,-8.094146
Cell41,Group3,Batch1,9.820738,-8.993957
Cell42,Group3,Batch1,9.1330185,-9.3969145
Cell43,Group2,Batch1,-10.292273,-2.763155
Cell44,Group4,Batch1,-4.3065534,9.338999
