,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,6.180127,-11.007208
Cell2,Group4,Batch1,5.692848,-10.341236
Cell3,Group3,Batch1,-6.4754004,5.822296
Cell4,Group3,Batch1,-7.3591986,6.3513107
Cell5,Group3,Batch1,-7.544557,5.7723837
Cell6,Group2,Batch1,2.8797464,3.6950023
Cell7,Group4,Batch1,5.458567,-11.056888
Cell8,Group3,Batch1,-7.1600485,5.4276814
Cell9,Group4,Batch1,5.460897,-10.856236
Cell10,Group2,Batch1,2.3916616,3.1379857
Cell11,Group3,Batch1,-7.5435405,6.1425037
Cell12,Group2,Batch1,3.182772,3.6206617
Cell13,Group4,Batch1,6.1930966,-10.663805
Cell14,Group2,Batch1,3.5426207,2.883253
Cell15,Group2,Batch1,2.4504526,4.031422
Cell16,Group4,Batch1,5.1931167,-11.484772
Cell17,Group1,Batch1,-2.6222513,-2.2989283
Cell18,Group3,Batch1,-7.8824315,5.3842115
Cell19,Group2,Batch1,3.5482001,2.3830583
Cell20,Group1,Batch1,-2.1286442,-2.2650487
Cell21,Group4,Batch1,5.234479,-11.015862
Cell22,Group4,Batch1,5.221293,-10.161846
Cell23,Group2,Batch1,3.062566,3.4950998
Cell24,Group2,Batch1,2.4588583,4.0729113
Cell25,Group4,Batch1,5.4745264,-10.542909
Cell26,Group1,Batch1,-2.5480895,-2.153091
Cell27,Group4,Batch1,5.270919,-10.5157795
Cell28,Group4,Batch1,4.786362,-10.885223
Cell29,Group4,Batch1,5.862338,-10.983628
Cell30,Group4,Batch1,5.736797,-10.604177
Cell31,Group2,Batch1,1.8876321,3.713581
Cell32,Group2,Batch1,2.3960385,3.4367294
Cell33,Group2,Batch1,2.2669392,2.7866092
Cell34,Group4,Batch1,3.3848844,-10.588972
Cell35,Group2,Batch1,2.4826725,3.5527291
Cell36,Group4,Batch1,3.5103903,-10.3216715
Cell37,Group2,Batch1,1.9895974,3.3955822
Cell38,Group4,Batch1,4.9897666,-10.114506
Cell39,Group2,Batch1,2.1106858,3.2178936
Cell40,Group3,Batch1,-6.649013,5.8450108
Cell41,Group3,Batch1,-7.58391,5.5617914
Cell42,Group3,Batch1,-7.1460657,5.894819
Cell43,Group2,Batch1,1.7498413,3.6263828
Cell44,Group4,Batch1,4.712627,-10.630355
Cell45,Group3,Batch1,-7.5485315,6.0396204
Cell46,Group4,Batch1,5.0834627,-10.752542
Cell47,Group3,Batch1,-6.4965963,6.016915
Cell48,Group2,Batch1,3.085589,2.5622742
Cell49,Group4,Batch1,5.561477,-11.223218
Cell50,Group4,Batch1,5.6483717,-11.307661
Cell51,Group2,Batch1,2.6893299,3.9111106
Cell52,Group3,Batch1,-7.414879,5.5594926
Cell53,Group3,Batch1,-7.279164,5.929332
Cell54,Group2,Batch1,2.2190413,3.6095974
Cell55,Group2,Batch1,1.9782822,3.4752827
Cell56,Group2,Batch1,2.686912,2.2649052
Cell57,Group4,Batch1,4.448267,-11.112635
Cell58,Group2,Batch1,2.1696522,3.006291
Cell59,Group4,Batch1,6.1697254,-10.959072
Cell60,Group3,Batch1,-6.6149535,5.6229367
Cell61,Group3,Batch1,-6.993502,6.449529
Cell62,Group2,Batch1,1.9651417,3.9577687
Cell63,Group2,Batch1,2.7693617,3.6080842
Cell64,Group4,Batch1,4.639735,-10.42891
Cell65,Group4,Batch1,5.458586,-11.297031
Cell66,Group4,Batch1,5.0472145,-10.647002
Cell67,Group4,Batch1,5.1174192,-10.809566
Cell68,Group1,Batch1,-2.5142133,-1.7877343
Cell69,Group4,Batch1,5.257106,-10.822924
Cell70,Group2,Batch1,1.9910672,3.1074808
Cell71,Group3,Batch1,-7.370021,5.789325
Cell72,Group2,Batch1,4.816195,1.061119
Cell73,Group4,Batch1,6.0114813,-10.592363
Cell74,Group2,Batch1,2.1968005,2.682714
Cell75,Group3,Batch1,-7.0047145,6.3895855
Cell76,Group2,Batch1,2.5532434,4.1378117
Cell77,Group3,Batch1,-7.5423527,6.0144815
Cell78,Group3,Batch1,-7.1676793,6.3220296
Cell79,Group3,Batch1,-7.8332906,5.6620665
Cell80,Group2,Batch1,2.7154891,3.47865
Cell81,Group4,Batch1,1.7278671,-10.441475
Cell82,Group2,Batch1,1.6470873,3.400439
Cell83,Group2,Batch1,2.1024811,3.20664
Cell84,Group3,Batch1,-6.9319715,5.637752
Cell85,Group2,Batch1,4.311373,1.5961442
Cell86,Group4,Batch1,4.704558,-11.382155
Cell87,Group3,Batch1,-6.770503,6.211325
Cell88,Group4,Batch1,4.098302,-11.033765
Cell89,Group4,Batch1,5.4378333,-10.845846
Cell90,Group4,Batch1,4.9602923,-10.677379
Cell91,Group4,Batch1,6.0297523,-11.476743
Cell92,Group4,Batch1,5.5321307,-10.15116
Cell93,Group4,Batch1,5.231008,-11.499822
Cell94,Group2,Batch1,2.8448486,2.947429
Cell95,Group2,Batch1,2.0042837,2.9072661
Cell96,Group4,Batch1,4.9200425,-11.291977
Cell97,Group2,Batch1,1.9684768,3.964729
Cell98,Group3,Batch1,-6.695536,6.37105
Cell99,Group2,Batch1,2.0732884,3.9841185
Cell100,Group4,Batch1,5.59387,-11.152211
Cell101,Group4,Batch1,4.67295,-10.818324
Cell102,Group4,Batch1,5.222671,-10.385608
Cell103,Group4,Batch1,4.9720607,-10.049864
Cell104,Group2,Batch1,2.939511,3.8494363
Cell105,Group2,Batch1,2.2703578,3.8461006
Cell106,Group4,Batch1,5.2248416,-10.07891
Cell107,Group4,Batch1,5.0726204,-11.21573
Cell108,Group2,Batch1,2.4799814,3.7166302
Cell109,Group3,Batch1,-6.944261,5.614859
Cell110,Group4,Batch1,5.2440896,-10.989653
Cell111,Group4,Batch1,6.3644633,-10.880362
Cell112,Group3,Batch1,-6.873615,6.2166348
Cell113,Group2,Batch1,2.8010643,3.5344098
Cell114,Group1,Batch1,-1.5633928,-1.8614625
Cell115,Group2,Batch1,2.0478315,3.9890962
Cell116,Group2,Batch1,2.7162838,3.1793482
Cell117,Group2,Batch1,2.7739117,3.1287646
Cell118,Group4,Batch1,4.695666,-10.3947315
Cell119,Group3,Batch1,-8.123853,4.9799404
Cell120,Group4,Batch1,5.53127,-10.523686
Cell121,Group2,Batch1,1.7236854,4.172198
Cell122,Group3,Batch1,-6.544939,5.9858556
Cell123,Group2,Batch1,1.9757853,3.4210398
Cell124,Group2,Batch1,3.1767516,3.3111255
Cell125,Group2,Batch1,2.3069372,3.1835449
Cell126,Group4,Batch1,5.058497,-10.053299
Cell127,Group2,Batch1,2.7780151,2.710396
Cell128,Group2,Batch1,2.2086449,3.6813192
Cell129,Group3,Batch1,-9.828896,3.2147818
Cell130,Group4,Batch1,4.5353217,-10.966925
Cell131,Group2,Batch1,1.8296691,4.257289
Cell132,Group2,Batch1,2.091393,4.165929
Cell133,Group1,Batch1,-2.3913522,-1.8745544
Cell134,Group2,Batch1,2.3025057,3.7103226
Cell135,Group4,Batch1,5.4991517,-10.402066
Cell136,Group3,Batch1,-7.593478,4.739728
Cell137,Group4,Batch1,5.2872543,-11.777542
Cell138,Group4,Batch1,5.0152707,-11.386488
Cell139,Group4,Batch1,4.3013144,-11.040655
Cell140,Group3,Batch1,-7.1854043,6.075053
Cell141,Group3,Batch1,-6.9401407,5.9987965
Cell142,Group3,Batch1,-7.392513,5.9410295
Cell143,Group4,Batch1,5.4718795,-10.865636
Cell144,Group3,Batch1,-7.2389073,6.461231
Cell145,Group4,Batch1,5.841277,-10.257305
Cell146,Group1,Batch1,-2.2299156,-2.3459058
Cell147,Group4,Batch1,6.1499677,-10.592856
Cell148,Group1,Batch1,-1.9837023,-2.0982583
Cell149,Group1,Batch1,-2.4981506,-2.1988082
Cell150,Group4,Batch1,5.1389413,-10.069142
Cell151,Group4,Batch1,4.8111405,-11.054447
Cell152,Group2,Batch1,2.2186956,3.4521208
Cell153,Group3,Batch1,-6.85707,5.5853467
Cell154,Group2,Batch1,2.2351334,3.5691116
Cell155,Group2,Batch1,1.813371,2.9622505
Cell156,Group1,Batch1,-2.1144881,-2.2758257
Cell157,Group1,Batch1,-2.2775204,-2.3362877
Cell158,Group4,Batch1,6.057331,-11.106534
Cell159,Group3,Batch1,-6.461561,6.0533967
Cell160,Group2,Batch1,2.3289554,3.590374
Cell161,Group2,Batch1,4.1290803,1.6699975
Cell162,Group4,Batch1,5.223558,-11.682655
Cell163,Group2,Batch1,4.9756656,1.8873779
Cell164,Group3,Batch1,-8.4702015,5.1785297
Cell165,Group3,Batch1,-7.279224,5.4690332
Cell166,Group1,Batch1,-2.370734,-2.0730946
Cell167,Group2,Batch1,1.9385253,3.1572003
Cell168,Group2,Batch1,3.0181572,3.1071956
Cell169,Group4,Batch1,6.3334455,-10.212374
Cell170,Group2,Batch1,2.013586,2.9351418
Cell171,Group3,Batch1,-7.019687,5.156466
Cell172,Group3,Batch1,-8.84483,4.481161
Cell173,Group3,Batch1,-7.2180758,6.4011016
Cell174,Group3,Batch1,-7.1634955,5.606905
Cell175,Group2,Batch1,4.833032,1.6090776
Cell176,Group3,Batch1,-7.3659673,5.3148894
Cell177,Group2,Batch1,2.9823651,2.987783
Cell178,Group2,Batch1,2.0770342,3.4169807
Cell179,Group4,Batch1,6.1659656,-10.910835
Cell180,Group4,Batch1,5.469654,-10.637372
Cell181,Group2,Batch1,2.478035,3.084634
Cell182,Group4,Batch1,5.2516775,-11.68876
Cell183,Group3,Batch1,-8.262403,5.0121803
Cell184,Group4,Batch1,6.034421,-10.1823845
Cell185,Group3,Batch1,-6.8523855,5.7586846
Cell186,Group4,Batch1,4.678903,-10.718588
Cell187,Group2,Batch1,3.374232,3.3649316
Cell188,Group3,Batch1,-6.952924,6.418861
Cell189,Group2,Batch1,3.1677284,2.8545337
Cell190,Group2,Batch1,2.9213557,3.5165396
Cell191,Group4,Batch1,5.632983,-10.663251
Cell192,Group2,Batch1,2.577894,2.745642
Cell193,Group2,Batch1,2.3976197,3.6947107
Cell194,Group4,Batch1,4.753189,-11.172489
Cell195,Group2,Batch1,2.944585,3.3114066
Cell196,Group4,Batch1,4.9683948,-11.213655
Cell197,Group2,Batch1,2.455338,3.0398657
Cell198,Group2,Batch1,2.0101736,2.829168
Cell199,Group2,Batch1,2.7801948,3.6729064
Cell200,Group3,Batch1,-7.343799,5.7189097
Cell201,Group4,Batch1,6.136644,-10.888502
Cell202,Group4,Batch1,4.88231,-10.209573
Cell203,Group2,Batch1,2.0369546,4.3531938
Cell204,Group3,Batch1,-7.0712256,5.141409
Cell205,Group1,Batch1,-2.418933,-1.9863514
Cell206,Group2,Batch1,1.95269,3.5018313
Cell207,Group4,Batch1,5.891701,-10.448144
Cell208,Group3,Batch1,-7.633724,6.0966926
Cell209,Group3,Batch1,-6.895333,5.2758503
Cell210,Group3,Batch1,-7.316378,5.6689043
Cell211,Group4,Batch1,5.3482437,-11.438599
Cell212,Group4,Batch1,2.660589,-10.462083
Cell213,Group4,Batch1,5.894694,-10.956492
Cell214,Group2,Batch1,1.8547316,3.2138197
Cell215,Group4,Batch1,5.4728823,-11.637324
Cell216,Group4,Batch1,6.3200517,-10.494007
Cell217,Group2,Batch1,2.0693731,3.612307
Cell218,Group2,Batch1,3.0655386,3.6379457
Cell219,Group4,Batch1,5.782266,-11.298357
Cell220,Group2,Batch1,2.490173,3.365287
Cell221,Group4,Batch1,5.273765,-11.908585
Cell222,Group2,Batch1,1.6764026,3.2408931
Cell223,Group4,Batch1,5.5135636,-11.336628
Cell224,Group4,Batch1,5.147298,-11.293524
Cell225,Group3,Batch1,-6.979611,6.076107
Cell226,Group4,Batch1,5.575083,-11.649224
Cell227,Group4,Batch1,5.2392,-11.431259
Cell228,Group3,Batch1,-7.980912,4.69395
Cell229,Group2,Batch1,3.0859828,3.4558733
Cell230,Group4,Batch1,6.1419163,-10.388533
Cell231,Group4,Batch1,4.3892164,-11.358651
Cell232,Group4,Batch1,6.2027817,-11.297926
Cell233,Group4,Batch1,1.8627234,-10.810284
Cell234,Group4,Batch1,6.059983,-10.465888
Cell235,Group3,Batch1,-6.6999516,5.702054
Cell236,Group4,Batch1,5.201143,-11.475212
Cell237,Group4,Batch1,5.392995,-10.3274145
Cell238,Group2,Batch1,1.9239067,3.9342248
Cell239,Group4,Batch1,5.585563,-10.822328
Cell240,Group2,Batch1,3.9682183,1.9732558
Cell241,Group2,Batch1,3.2196443,3.3094082
Cell242,Group2,Batch1,3.3346543,3.1477878
Cell243,Group3,Batch1,-6.870075,5.8448796
Cell244,Group2,Batch1,4.810799,1.7482859
Cell245,Group4,Batch1,5.772955,-10.453583
Cell246,Group3,Batch1,-7.212262,5.2861757
Cell247,Group4,Batch1,6.1373115,-11.107925
Cell248,Group4,Batch1,5.055332,-10.169616
Cell249,Group2,Batch1,1.7603307,3.9878783
Cell250,Group4,Batch1,2.118073,-11.303996
Cell251,Group4,Batch1,5.586939,-11.311656
Cell252,Group2,Batch1,1.9509863,2.779296
Cell253,Group4,Batch1,4.9565005,-10.692448
Cell254,Group2,Batch1,2.7861757,3.2496076
Cell255,Group4,Batch1,5.3241754,-9.806068
Cell256,Group1,Batch1,-2.541348,-2.0995572
Cell257,Group3,Batch1,-6.866687,5.8642707
Cell258,Group3,Batch1,-7.556691,6.0372753
Cell259,Group2,Batch1,2.4672413,4.177254
Cell260,Group2,Batch1,2.4772215,3.7359126
Cell261,Group2,Batch1,2.3798583,3.6263285
Cell262,Group4,Batch1,6.0353007,-11.185673
Cell263,Group1,Batch1,-2.16341,-2.117787
Cell264,Group4,Batch1,6.27494,-10.518145
Cell265,Group2,Batch1,2.4101098,3.4048204
Cell266,Group2,Batch1,1.4854504,3.8110375
Cell267,Group3,Batch1,-7.1772037,6.2948627
Cell268,Group4,Batch1,5.539425,-10.270284
Cell269,Group2,Batch1,2.5362036,3.6240351
Cell270,Group3,Batch1,-6.665907,6.3931494
Cell271,Group4,Batch1,5.9396687,-11.317059
Cell272,Group4,Batch1,2.828669,-10.399419
Cell273,Group1,Batch1,-2.3589976,-1.9438412
Cell274,Group2,Batch1,2.5876455,2.8226867
Cell275,Group3,Batch1,-6.302208,5.641251
