,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,-0.07814785,-6.185862
Cell2,Group4,Batch1,-1.0172514,-5.0628743
Cell3,Group3,Batch1,-11.858236,-2.4098313
Cell4,Group3,Batch1,-10.251702,-2.4870796
Cell5,Group3,Batch1,-10.983883,-4.4687104
Cell6,Group2,Batch1,3.3440359,6.516519
Cell7,Group4,Batch1,0.25803497,-7.222994
Cell8,Group3,Batch1,-11.062536,-3.6899686
Cell9,Group4,Batch1,-0.2054674,-4.168354
Cell10,Group2,Batch1,3.0415945,6.664098
Cell11,Group3,Batch1,-10.643447,-4.056964
Cell12,Group2,Batch1,4.998484,6.3504252
Cell13,Group4,Batch1,1.8156449,-4.1861506
Cell14,Group2,Batch1,4.703433,7.1034217
Cell15,Group2,Batch1,2.8491488,8.235776
Cell16,Group4,Batch1,-0.054403923,-3.4523826
Cell17,Group1,Batch1,-0.7160695,-17.78519
Cell18,Group3,Batch1,-11.3835,-4.346708
Cell19,Group2,Batch1,4.9982014,7.8348284
Cell20,Group1,Batch1,-0.25016105,-18.051805
Cell21,Group4,Batch1,-0.9044323,-3.5599165
Cell22,Group4,Batch1,1.4549764,-3.7079678
Cell23,Group2,Batch1,3.683,7.2746453
Cell24,Group2,Batch1,3.4565806,6.9551363
Cell25,Group4,Batch1,-0.82731634,-5.7265143
Cell26,Group1,Batch1,-0.06836153,-18.594503
Cell27,Group4,Batch1,0.06665399,-4.7283244
Cell28,Group4,Batch1,-0.3262984,-4.259495
Cell29,Group4,Batch1,0.33477414,-5.2493076
Cell30,Group4,Batch1,-0.20613495,-3.3425643
Cell31,Group2,Batch1,4.511212,8.714007
Cell32,Group2,Batch1,4.700698,7.1104245
Cell33,Group2,Batch1,4.701458,7.7034645
Cell34,Group4,Batch1,-0.04201587,-5.493444
Cell35,Group2,Batch1,4.108744,7.7102284
Cell36,Group4,Batch1,-1.2478135,-5.6852627
Cell37,Group2,Batch1,5.0910964,7.1560326
Cell38,Group4,Batch1,-0.5658444,-3.6545575
Cell39,Group2,Batch1,4.9441924,8.301908
Cell40,Group3,Batch1,-12.002626,-1.6234432
Cell41,Group3,Batch1,-11.801561,-1.719458
Cell42,Group3,Batch1,-11.433865,-3.0501962
Cell43,Group2,Batch1,4.6379876,9.584968
Cell44,Group4,Batch1,0.71899366,-4.4148006
Cell45,Group3,Batch1,-9.930081,-3.232872
Cell46,Group4,Batch1,-0.6780107,-6.4615116
Cell47,Group3,Batch1,-9.859917,-3.1464217
Cell48,Group2,Batch1,5.8742304,8.322185
Cell49,Group4,Batch1,-0.047998145,-6.3981113
Cell50,Group4,Batch1,-0.090889394,-4.6727996
Cell51,Group2,Batch1,3.0935626,8.179335
Cell52,Group3,Batch1,-11.612656,-3.8276744
Cell53,Group3,Batch1,-10.943793,-3.159608
Cell54,Group2,Batch1,3.6425772,7.6498523
Cell55,Group2,Batch1,3.530576,7.88189
Cell56,Group2,Batch1,4.202531,6.876438
Cell57,Group4,Batch1,0.64607114,-4.235389
Cell58,Group2,Batch1,4.681802,7.521962
Cell59,Group4,Batch1,1.0052959,-5.139016
Cell60,Group3,Batch1,-11.899906,-2.8426464
Cell61,Group3,Batch1,-11.217212,-4.0203795
Cell62,Group2,Batch1,2.7583156,7.9748025
Cell63,Group2,Batch1,2.6483173,8.325604
Cell64,Group4,Batch1,1.5884054,-4.6515536
Cell65,Group4,Batch1,1.0756264,-5.039865
Cell66,Group4,Batch1,0.74305826,-3.7098622
Cell67,Group4,Batch1,1.2785438,-3.618687
Cell68,Group1,Batch1,0.31528744,-18.112053
Cell69,Group4,Batch1,-1.1272753,-6.264657
Cell70,Group2,Batch1,5.674614,7.478401
Cell71,Group3,Batch1,-11.539504,-2.944818
Cell72,Group2,Batch1,3.5609226,7.545293
Cell73,Group4,Batch1,0.42891055,-3.191787
Cell74,Group2,Batch1,5.3139935,7.3873305
Cell75,Group3,Batch1,-11.661313,-2.167766
Cell76,Group2,Batch1,4.4703617,6.160145
Cell77,Group3,Batch1,-10.275124,-2.7549965
Cell78,Group3,Batch1,-10.191284,-2.6294632
Cell79,Group3,Batch1,-11.156543,-2.1821945
Cell80,Group2,Batch1,4.558475,8.07683
Cell81,Group4,Batch1,-0.09603465,-6.075605
Cell82,Group2,Batch1,5.1869726,6.4041677
Cell83,Group2,Batch1,5.996534,8.274356
Cell84,Group3,Batch1,-11.977145,-2.0510218
Cell85,Group2,Batch1,4.1157875,8.13037
Cell86,Group4,Batch1,-0.8263568,-6.21462
Cell87,Group3,Batch1,-11.158276,-2.674589
Cell88,Group4,Batch1,1.3174858,-4.1242723
Cell89,Group4,Batch1,0.614729,-6.2632604
Cell90,Group4,Batch1,1.9138498,-3.7482429
Cell91,Group4,Batch1,-0.603279,-3.9269204
Cell92,Group4,Batch1,0.94573325,-3.8067296
Cell93,Group4,Batch1,-0.32598722,-5.287661
Cell94,Group2,Batch1,4.5821004,8.452917
Cell95,Group2,Batch1,6.2584057,8.200911
Cell96,Group4,Batch1,1.6127349,-4.148645
Cell97,Group2,Batch1,3.1641474,6.665112
Cell98,Group3,Batch1,-10.724944,-2.3360453
Cell99,Group2,Batch1,3.2427752,8.167701
Cell100,Group4,Batch1,0.6070111,-5.021861
Cell101,Group4,Batch1,-0.9622319,-5.616402
Cell102,Group4,Batch1,0.21248242,-3.7703836
Cell103,Group4,Batch1,0.7947778,-3.2723558
Cell104,Group2,Batch1,4.0039907,8.12169
Cell105,Group2,Batch1,3.9929082,7.642835
Cell106,Group4,Batch1,-0.57596505,-4.768887
Cell107,Group4,Batch1,0.91378087,-3.4100966
Cell108,Group2,Batch1,3.1717668,7.134174
Cell109,Group3,Batch1,-11.62621,-2.0695415
Cell110,Group4,Batch1,0.74848276,-5.957921
Cell111,Group4,Batch1,0.77109575,-3.2106247
