,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,3.5223656,-7.9542246
Cell2,Group4,Batch1,1.6954914,-5.9611225
Cell3,Group3,Batch1,-9.800053,1.9696926
Cell4,Group3,Batch1,-9.468988,2.2179458
Cell5,Group3,Batch1,-9.176233,2.5237858
Cell6,Group2,Batch1,3.1855214,8.67731
Cell7,Group4,Batch1,2.21573,-6.5317802
Cell8,Group3,Batch1,-7.7658153,1.0593507
Cell9,Group4,Batch1,3.4315991,-7.2796836
Cell10,Group2,Batch1,3.3894486,9.3690405
Cell11,Group3,Batch1,-9.935267,1.3350586
Cell12,Group2,Batch1,3.20222,9.665964
Cell13,Group4,Batch1,4.093212,-7.893213
Cell14,Group2,Batch1,2.0684073,9.613937
Cell15,Group2,Batch1,2.164179,8.71046
Cell16,Group4,Batch1,3.8253922,-7.264324
Cell17,Group1,Batch1,-0.57853556,-1.6134561
Cell18,Group3,Batch1,-7.484231,0.11815551
Cell19,Group2,Batch1,4.173737,9.380257
Cell20,Group1,Batch1,-0.582055,-1.3694749
Cell21,Group4,Batch1,1.3277051,-6.989241
Cell22,Group4,Batch1,1.9411955,-6.4652643
Cell23,Group2,Batch1,4.137371,9.66509
Cell24,Group2,Batch1,3.6045492,8.476281
Cell25,Group4,Batch1,2.467482,-5.8842993
Cell26,Group1,Batch1,-1.2832884,-1.2494414
Cell27,Group4,Batch1,1.8189982,-5.9945197
Cell28,Group4,Batch1,1.6191545,-6.0225654
Cell29,Group4,Batch1,2.3831687,-7.3928137
Cell30,Group4,Batch1,2.983831,-6.4923353
Cell31,Group2,Batch1,3.9109216,10.037206
Cell32,Group2,Batch1,4.5700026,9.526593
Cell33,Group2,Batch1,4.6372814,8.830491
Cell34,Group4,Batch1,1.5590092,-7.577642
Cell35,Group2,Batch1,2.0030634,9.144318
Cell36,Group4,Batch1,3.1457322,-5.4787965
Cell37,Group2,Batch1,4.5933504,9.63881
Cell38,Group4,Batch1,2.7453687,-5.820302
Cell39,Group2,Batch1,3.61111,8.524016
Cell40,Group3,Batch1,-9.406246,0.3418944
Cell41,Group3,Batch1,-8.467807,0.23268862
Cell42,Group3,Batch1,-8.084184,2.134993
Cell43,Group2,Batch1,3.5630152,10.066877
Cell44,Group4,Batch1,1.7288787,-7.765804
Cell45,Group3,Batch1,-8.87423,1.0217711
Cell46,Group4,Batch1,4.4835796,-6.0456104
Cell47,Group3,Batch1,-9.359294,2.1469657
Cell48,Group2,Batch1,3.8604639,9.37845
Cell49,Group4,Batch1,3.6173058,-5.42611
Cell50,Group4,Batch1,1.6577667,-7.073924
Cell51,Group2,Batch1,2.640299,9.424745
Cell52,Group3,Batch1,-8.42067,0.5696226
Cell53,Group3,Batch1,-8.324904,2.5318904
Cell54,Group2,Batch1,4.2754025,9.790048
Cell55,Group2,Batch1,2.989037,10.378267
Cell56,Group2,Batch1,3.991039,9.163776
Cell57,Group4,Batch1,1.0994192,-7.067405
Cell58,Group2,Batch1,3.6601443,9.918943
Cell59,Group4,Batch1,1.5390037,-7.7576456
Cell60,Group3,Batch1,-8.893703,0.049819876
Cell61,Group3,Batch1,-9.310461,3.002003
Cell62,Group2,Batch1,3.6609929,9.176617
Cell63,Group2,Batch1,2.4163022,10.250603
Cell64,Group4,Batch1,3.3396688,-6.5878744
Cell65,Group4,Batch1,2.983181,-6.905663
Cell66,Group4,Batch1,2.514638,-6.9294305
Cell67,Group4,Batch1,2.2907925,-5.7127786
Cell68,Group1,Batch1,-0.47388673,-1.5694313
Cell69,Group4,Batch1,2.6154196,-6.3103786
Cell70,Group2,Batch1,4.1716194,9.752922
Cell71,Group3,Batch1,-9.5904255,0.7391935
Cell72,Group2,Batch1,4.0661273,9.551516
Cell73,Group4,Batch1,2.009837,-7.628271
Cell74,Group2,Batch1,3.376397,9.952954
Cell75,Group3,Batch1,-9.327342,0.07300505
Cell76,Group2,Batch1,3.4309525,9.451015
Cell77,Group3,Batch1,-8.205952,0.6591639
Cell78,Group3,Batch1,-8.566106,0.16546491
Cell79,Group3,Batch1,-7.7382593,0.09950386
Cell80,Group2,Batch1,4.067083,10.011428
Cell81,Group4,Batch1,2.635494,-6.0953536
Cell82,Group2,Batch1,3.6491668,9.199239
Cell83,Group2,Batch1,3.3781455,8.366372
Cell84,Group3,Batch1,-9.767309,0.35195273
Cell85,Group2,Batch1,4.9323072,9.145982
Cell86,Group4,Batch1,1.814196,-6.5453835
Cell87,Group3,Batch1,-8.799348,0.31872353
Cell88,Group4,Batch1,1.5172993,-7.2317686
Cell89,Group4,Batch1,2.7583508,-8.105583
Cell90,Group4,Batch1,2.0612688,-6.0449414
Cell91,Group4,Batch1,1.9703618,-6.71103
Cell92,Group4,Batch1,1.986997,-6.4666853
Cell93,Group4,Batch1,1.3817683,-6.493843
Cell94,Group2,Batch1,3.9642925,9.759277
Cell95,Group2,Batch1,3.09519,10.239422
Cell96,Group4,Batch1,1.8106066,-6.548672
Cell97,Group2,Batch1,3.7914662,9.884065
Cell98,Group3,Batch1,-9.903775,0.44289115
Cell99,Group2,Batch1,2.480631,8.9971285
Cell100,Group4,Batch1,2.7446828,-6.3295383
Cell101,Group4,Batch1,2.4484165,-5.730368
Cell102,Group4,Batch1,2.070981,-7.4247136
Cell103,Group4,Batch1,2.8770497,-5.783443
Cell104,Group2,Batch1,4.048628,8.490909
Cell105,Group2,Batch1,3.2234426,10.179276
Cell106,Group4,Batch1,3.2821293,-6.3233376
Cell107,Group4,Batch1,1.8720018,-6.3609233
Cell108,Group2,Batch1,3.8795807,8.705258
Cell109,Group3,Batch1,-7.6788173,0.18811348
Cell110,Group4,Batch1,1.8419412,-7.0267787
Cell111,Group4,Batch1,2.4365997,-7.310854
Cell112,Group3,Batch1,-7.600234,0.7763859
Cell113,Group2,Batch1,3.2138233,7.9902167
Cell114,Group1,Batch1,-1.199943,-1.348882
Cell115,Group2,Batch1,3.6180058,9.713463
Cell116,Group2,Batch1,4.4401913,9.750587
Cell117,Group2,Batch1,4.6512284,8.530646
Cell118,Group4,Batch1,1.6560998,-7.2868605
Cell119,Group3,Batch1,-7.407734,0.7102555
Cell120,Group4,Batch1,3.7835667,-6.5807486
Cell121,Group2,Batch1,3.717762,9.879817
Cell122,Group3,Batch1,-9.938291,1.3004574
Cell123,Group2,Batch1,4.0512624,9.606873
Cell124,Group2,Batch1,3.0243938,10.17115
Cell125,Group2,Batch1,3.9534757,9.719103
Cell126,Group4,Batch1,3.2369173,-6.5145106
Cell127,Group2,Batch1,4.7987185,8.9150505
Cell128,Group2,Batch1,4.3061748,9.1594
Cell129,Group3,Batch1,-8.180223,0.120764434
Cell130,Group4,Batch1,1.6951395,-6.405422
Cell131,Group2,Batch1,3.1175034,9.961056
Cell132,Group2,Batch1,3.691982,9.299774
Cell133,Group1,Batch1,-1.155905,-0.8264215
Cell134,Group2,Batch1,2.8638752,8.98941
Cell135,Group4,Batch1,3.5416396,-8.652483
Cell136,Group3,Batch1,-8.320394,0.14430901
Cell137,Group4,Batch1,2.918985,-7.9792314
Cell138,Group4,Batch1,1.9152554,-6.1236033
Cell139,Group4,Batch1,2.3792236,-7.265086
Cell140,Group3,Batch1,-9.086864,1.4715177
Cell141,Group3,Batch1,-9.278563,0.17040199
Cell142,Group3,Batch1,-8.009595,0.41437244
Cell143,Group4,Batch1,2.1404223,-8.039484
Cell144,Group3,Batch1,-8.953899,2.6097715
Cell145,Group4,Batch1,2.307233,-5.8075294
Cell146,Group1,Batch1,-0.81226957,-1.608966
Cell147,Group4,Batch1,3.2578237,-6.1822677
Cell148,Group1,Batch1,-0.53137547,-1.5976801
Cell149,Group1,Batch1,-1.4280193,-0.991956
Cell150,Group4,Batch1,1.3822875,-7.2416162
Cell151,Group4,Batch1,2.7608266,-7.6017246
Cell152,Group2,Batch1,4.3395147,9.144481
Cell153,Group3,Batch1,-9.4250145,1.9466697
Cell154,Group2,Batch1,4.228038,7.6527987
Cell155,Group2,Batch1,3.722534,10.038312
Cell156,Group1,Batch1,-1.4300159,-1.5088516
Cell157,Group1,Batch1,-1.0005198,-0.8016874
Cell158,Group4,Batch1,2.5882475,-5.8342943
Cell159,Group3,Batch1,-9.680328,1.0246972
Cell160,Group2,Batch1,2.0052273,8.546642
Cell161,Group2,Batch1,4.4187927,9.633265
Cell162,Group4,Batch1,1.4380591,-7.4049473
Cell163,Group2,Batch1,4.4432063,9.873827
Cell164,Group3,Batch1,-7.764547,1.5200478
Cell165,Group3,Batch1,-9.240478,1.4465283
Cell166,Group1,Batch1,-1.2175758,-0.64175874
Cell167,Group2,Batch1,3.8705623,10.313342
Cell168,Group2,Batch1,3.0102303,9.725312
Cell169,Group4,Batch1,2.6464093,-7.2229657
Cell170,Group2,Batch1,4.516444,9.370082
Cell171,Group3,Batch1,-9.416398,0.8498747
Cell172,Group3,Batch1,-7.536076,1.074704
Cell173,Group3,Batch1,-10.080556,1.6749741
Cell174,Group3,Batch1,-9.200645,1.8725216
Cell175,Group2,Batch1,3.657144,8.8647375
Cell176,Group3,Batch1,-8.769425,0.8806435
Cell177,Group2,Batch1,3.1458793,10.067205
Cell178,Group2,Batch1,1.9724729,10.314877
Cell179,Group4,Batch1,3.3127115,-5.5407352
Cell180,Group4,Batch1,3.2161615,-7.145949
Cell181,Group2,Batch1,4.040698,10.250226
Cell182,Group4,Batch1,2.1552904,-5.93337
Cell183,Group3,Batch1,-8.179531,2.1705916
Cell184,Group4,Batch1,3.8653085,-8.361955
Cell185,Group3,Batch1,-8.776406,-0.006423343
Cell186,Group4,Batch1,3.0570493,-6.826072
Cell187,Group2,Batch1,2.7028499,8.412764
Cell188,Group3,Batch1,-8.6706915,-0.17244148
Cell189,Group2,Batch1,4.557081,9.498973
Cell190,Group2,Batch1,3.6727703,8.550892
Cell191,Group4,Batch1,2.016565,-7.1206527
Cell192,Group2,Batch1,4.419976,8.977045
Cell193,Group2,Batch1,3.3999693,10.004537
Cell194,Group4,Batch1,3.152319,-7.312804
Cell195,Group2,Batch1,2.9968996,9.584852
Cell196,Group4,Batch1,3.36448,-5.6170106
Cell197,Group2,Batch1,3.3471632,8.898402
Cell198,Group2,Batch1,3.4936175,8.952364
Cell199,Group2,Batch1,3.180086,9.784133
Cell200,Group3,Batch1,-8.758785,0.43779582
Cell201,Group4,Batch1,1.4198906,-7.175182
Cell202,Group4,Batch1,1.7993166,-6.483573
Cell203,Group2,Batch1,2.5376062,9.471938
Cell204,Group3,Batch1,-8.576843,0.08911393
Cell205,Group1,Batch1,-1.1543787,-0.78384763
Cell206,Group2,Batch1,4.0878024,9.259953
Cell207,Group4,Batch1,3.840932,-6.9133677
Cell208,Group3,Batch1,-8.323523,1.7120737
Cell209,Group3,Batch1,-9.0378475,1.5281293
Cell210,Group3,Batch1,-9.143748,0.19226088
Cell211,Group4,Batch1,2.772773,-5.7639103
Cell212,Group4,Batch1,1.4506912,-6.3230557
Cell213,Group4,Batch1,2.4653325,-6.8682766
Cell214,Group2,Batch1,3.7385728,9.925496
Cell215,Group4,Batch1,1.972409,-6.4296
Cell216,Group4,Batch1,3.7725484,-6.00426
Cell217,Group2,Batch1,3.60161,9.812267
Cell218,Group2,Batch1,3.332841,10.256157
