,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,5.162341,-0.20695913
Cell2,Group4,Batch1,5.1269636,0.105155654
Cell3,Group3,Batch1,15.500322,0.836922
Cell4,Group3,Batch1,15.72171,0.56939095
Cell5,Group3,Batch1,15.75384,1.4603896
Cell6,Group2,Batch1,-9.68281,3.1811051
Cell7,Group4,Batch1,5.1167903,-1.3557649
Cell8,Group3,Batch1,17.152782,0.5350978
Cell9,Group4,Batch1,4.993794,-1.2875228
Cell10,Group2,Batch1,-11.522352,3.435252
Cell11,Group3,Batch1,17.325834,1.4677821
Cell12,Group2,Batch1,-10.860662,2.1007228
Cell13,Group4,Batch1,4.56763,1.7143978
Cell14,Group2,Batch1,-11.495798,3.6929963
Cell15,Group2,Batch1,-9.197037,2.5005054
Cell16,Group4,Batch1,4.923195,-1.1929289
Cell17,Group1,Batch1,3.4786472,-7.320954
Cell18,Group3,Batch1,16.525383,0.86864233
Cell19,Group2,Batch1,-10.881898,2.8930516
Cell20,Group1,Batch1,3.2607741,-7.4700956
Cell21,Group4,Batch1,5.815601,1.0275388
Cell22,Group4,Batch1,5.233371,1.8285977
Cell23,Group2,Batch1,-10.355228,1.4633328
Cell24,Group2,Batch1,-10.962845,1.2046399
Cell25,Group4,Batch1,6.1519966,-1.1630507
Cell26,Group1,Batch1,4.2055635,-7.2079577
Cell27,Group4,Batch1,6.5670037,-1.2630763
Cell28,Group4,Batch1,6.1711392,1.8736423
Cell29,Group4,Batch1,6.773618,1.4472952
Cell30,Group4,Batch1,5.9529552,-0.80692655
Cell31,Group2,Batch1,-10.988535,1.2508459
Cell32,Group2,Batch1,-9.84448,3.089583
Cell33,Group2,Batch1,-10.949795,2.8575218
Cell34,Group4,Batch1,5.4720845,-1.4102851
Cell35,Group2,Batch1,-9.950221,1.4808742
Cell36,Group4,Batch1,6.3100586,0.7943439
Cell37,Group2,Batch1,-11.811977,1.6770943
Cell38,Group4,Batch1,5.070265,-0.46577385
Cell39,Group2,Batch1,-9.700759,2.5256958
Cell40,Group3,Batch1,16.001947,0.52391446
Cell41,Group3,Batch1,16.32082,-0.4809633
Cell42,Group3,Batch1,16.175972,0.34112874
Cell43,Group2,Batch1,-11.560123,2.9853282
Cell44,Group4,Batch1,5.80724,-1.4971007
Cell45,Group3,Batch1,17.640902,0.08429734
Cell46,Group4,Batch1,5.5463905,-0.82847553
Cell47,Group3,Batch1,16.327082,0.5446116
Cell48,Group2,Batch1,-11.745854,1.2318226
Cell49,Group4,Batch1,6.0845146,0.0788828
Cell50,Group4,Batch1,6.454543,0.40245542
Cell51,Group2,Batch1,-10.334329,1.2405627
Cell52,Group3,Batch1,16.984655,-0.40537667
Cell53,Group3,Batch1,16.974625,1.0767081
Cell54,Group2,Batch1,-10.687936,3.2873383
Cell55,Group2,Batch1,-10.44794,1.3671613
Cell56,Group2,Batch1,-9.515009,3.50722
Cell57,Group4,Batch1,7.551813,-0.15869005
Cell58,Group2,Batch1,-10.686278,1.7956363
Cell59,Group4,Batch1,6.1182175,-0.9726164
Cell60,Group3,Batch1,16.41709,-0.5427676
Cell61,Group3,Batch1,15.904803,1.3928906
Cell62,Group2,Batch1,-10.749122,0.905942
Cell63,Group2,Batch1,-11.655354,3.078849
Cell64,Group4,Batch1,4.9641013,-1.0958946
Cell65,Group4,Batch1,6.425395,2.1438277
Cell66,Group4,Batch1,5.289371,-1.1970385
Cell67,Group4,Batch1,6.887625,0.02203843
Cell68,Group1,Batch1,3.322876,-7.535084
Cell69,Group4,Batch1,7.358955,0.9866763
Cell70,Group2,Batch1,-11.462696,3.6630027
Cell71,Group3,Batch1,16.21315,0.66358906
Cell72,Group2,Batch1,-12.026102,2.0718858
Cell73,Group4,Batch1,6.0878515,-0.7556861
Cell74,Group2,Batch1,-10.409051,1.3473558
Cell75,Group3,Batch1,16.726622,-0.7434525
Cell76,Group2,Batch1,-9.732722,1.9513452
Cell77,Group3,Batch1,18.146507,0.7723817
Cell78,Group3,Batch1,18.066397,-0.14997004
Cell79,Group3,Batch1,17.440115,-1.0163293
Cell80,Group2,Batch1,-12.05457,2.7681642
Cell81,Group4,Batch1,5.8065658,0.6199862
Cell82,Group2,Batch1,-12.109103,2.3195603
Cell83,Group2,Batch1,-10.964775,3.1839943
Cell84,Group3,Batch1,16.069786,-0.08662746
Cell85,Group2,Batch1,-12.0381975,2.5542786
Cell86,Group4,Batch1,6.1360006,-1.457467
Cell87,Group3,Batch1,16.290901,0.5689999
Cell88,Group4,Batch1,5.9140882,-0.94993454
Cell89,Group4,Batch1,5.6217036,-0.15922616
Cell90,Group4,Batch1,6.559284,-1.0798337
Cell91,Group4,Batch1,7.250577,1.1228526
Cell92,Group4,Batch1,6.0175123,1.8799698
Cell93,Group4,Batch1,6.6320724,-0.99415153
Cell94,Group2,Batch1,-9.489381,1.8419126
Cell95,Group2,Batch1,-10.596858,0.95404166
Cell96,Group4,Batch1,4.9389133,0.06818319
Cell97,Group2,Batch1,-9.620174,2.0237687
Cell98,Group3,Batch1,16.78852,-0.06733162
Cell99,Group2,Batch1,-9.285355,1.9055816
Cell100,Group4,Batch1,4.446071,1.3030604
Cell101,Group4,Batch1,6.8753085,-0.675949
Cell102,Group4,Batch1,6.1208115,-1.1344438
Cell103,Group4,Batch1,4.3160605,-0.4109791
Cell104,Group2,Batch1,-11.853804,3.7493567
Cell105,Group2,Batch1,-11.096507,0.86687726
Cell106,Group4,Batch1,5.0840893,-0.47586054
Cell107,Group4,Batch1,4.977987,0.33960342
Cell108,Group2,Batch1,-10.79231,3.681037
Cell109,Group3,Batch1,17.36647,0.36298028
Cell110,Group4,Batch1,5.8163853,-0.95483774
Cell111,Group4,Batch1,6.8270154,0.19266188
Cell112,Group3,Batch1,16.340893,1.3137927
Cell113,Group2,Batch1,-10.19238,2.0576031
Cell114,Group1,Batch1,3.5919836,-7.121379
Cell115,Group2,Batch1,-9.692159,1.475774
Cell116,Group2,Batch1,-11.459227,3.305986
Cell117,Group2,Batch1,-11.65544,2.1814158
Cell118,Group4,Batch1,7.1485786,-0.84757644
Cell119,Group3,Batch1,17.378819,1.2237056
Cell120,Group4,Batch1,6.116964,0.3262692
Cell121,Group2,Batch1,-10.777931,2.1842744
Cell122,Group3,Batch1,17.065899,1.3400795
Cell123,Group2,Batch1,-10.376802,0.6011593
Cell124,Group2,Batch1,-10.058043,2.5264642
Cell125,Group2,Batch1,-10.756005,3.3123746
Cell126,Group4,Batch1,4.499565,-0.5821978
Cell127,Group2,Batch1,-10.333766,1.7899603
Cell128,Group2,Batch1,-11.1915455,3.2339075
Cell129,Group3,Batch1,17.096443,-0.61953884
Cell130,Group4,Batch1,3.760265,0.45332515
Cell131,Group2,Batch1,-10.890296,2.949697
Cell132,Group2,Batch1,-9.167048,3.2296615
Cell133,Group1,Batch1,4.5045366,-7.1857896
Cell134,Group2,Batch1,-9.574775,2.8415434
Cell135,Group4,Batch1,5.6057105,0.9884661
Cell136,Group3,Batch1,18.22598,0.26019895
Cell137,Group4,Batch1,6.1147404,-0.19160824
Cell138,Group4,Batch1,7.2893667,0.5403925
Cell139,Group4,Batch1,5.110131,-1.2141943
Cell140,Group3,Batch1,16.99022,1.5080174
Cell141,Group3,Batch1,16.227211,-0.6861715
Cell142,Group3,Batch1,18.287363,0.6511001
Cell143,Group4,Batch1,7.46555,0.9675429
Cell144,Group3,Batch1,15.888171,1.1495144
Cell145,Group4,Batch1,7.4869914,0.8053772
Cell146,Group1,Batch1,3.9700284,-7.539645
Cell147,Group4,Batch1,6.97768,2.0346255
Cell148,Group1,Batch1,3.4158096,-7.0816755
Cell149,Group1,Batch1,4.1840267,-7.5390925
Cell150,Group4,Batch1,6.7777677,-0.75674623
Cell151,Group4,Batch1,5.820455,1.6754328
