,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,5.364762,-1.5059572
Cell2,Group4,Batch1,7.419581,1.3925544
Cell3,Group3,Batch1,-1.5086838,12.883629
Cell4,Group3,Batch1,-1.1599631,13.05075
Cell5,Group3,Batch1,-0.36675176,12.400366
Cell6,Group2,Batch1,-12.620688,-1.1780344
Cell7,Group4,Batch1,8.185686,-1.3476871
Cell8,Group3,Batch1,0.75342226,11.739066
Cell9,Group4,Batch1,6.5206084,-0.39754656
Cell10,Group2,Batch1,-13.366338,-0.047313705
Cell11,Group3,Batch1,-0.74394315,11.427513
Cell12,Group2,Batch1,-14.198957,0.37434533
Cell13,Group4,Batch1,6.4487495,1.4256028
Cell14,Group2,Batch1,-14.215035,-0.2226982
Cell15,Group2,Batch1,-11.629857,0.39132908
Cell16,Group4,Batch1,7.9978805,-1.1180402
Cell17,Group1,Batch1,-3.0428247,-3.2349262
Cell18,Group3,Batch1,0.5237021,12.342673
Cell19,Group2,Batch1,-12.338201,-1.166083
Cell20,Group1,Batch1,-3.2540088,-3.5791364
Cell21,Group4,Batch1,6.319381,-0.09605955
Cell22,Group4,Batch1,7.7772427,0.8296045
Cell23,Group2,Batch1,-11.910396,1.3624837
Cell24,Group2,Batch1,-11.553286,-0.28418678
Cell25,Group4,Batch1,7.915794,-1.0447881
Cell26,Group1,Batch1,-3.130466,-3.5119112
Cell27,Group4,Batch1,7.4814806,-0.9237978
Cell28,Group4,Batch1,5.9807734,1.0988657
Cell29,Group4,Batch1,6.763919,1.4903072
Cell30,Group4,Batch1,7.5922537,-0.08726685
Cell31,Group2,Batch1,-12.350917,0.07259164
Cell32,Group2,Batch1,-12.68516,0.8184392
Cell33,Group2,Batch1,-13.496832,-0.69370395
Cell34,Group4,Batch1,7.7379255,0.09289783
Cell35,Group2,Batch1,-12.383146,0.7292034
Cell36,Group4,Batch1,6.4513354,-0.24363449
Cell37,Group2,Batch1,-12.8126955,-0.54506606
Cell38,Group4,Batch1,7.8700943,0.25087562
Cell39,Group2,Batch1,-13.035944,0.11734653
Cell40,Group3,Batch1,0.77600825,11.676707
Cell41,Group3,Batch1,-0.13692099,12.867554
Cell42,Group3,Batch1,-0.45833558,12.807105
Cell43,Group2,Batch1,-11.586052,0.40923494
Cell44,Group4,Batch1,7.9775558,0.24359025
Cell45,Group3,Batch1,0.08374183,10.998214
Cell46,Group4,Batch1,5.89425,-0.5876662
Cell47,Group3,Batch1,-1.3341501,12.625882
Cell48,Group2,Batch1,-11.653878,1.5665337
Cell49,Group4,Batch1,6.9707932,0.22027077
Cell50,Group4,Batch1,6.9728436,0.53225994
Cell51,Group2,Batch1,-13.636021,0.78452337
Cell52,Group3,Batch1,-0.39686278,12.199136
Cell53,Group3,Batch1,-0.8942409,11.987132
Cell54,Group2,Batch1,-11.991111,-0.1830128
Cell55,Group2,Batch1,-13.032692,-0.7059168
Cell56,Group2,Batch1,-12.347579,-0.24854325
Cell57,Group4,Batch1,6.5862217,-1.9538524
Cell58,Group2,Batch1,-11.771775,1.1549606
Cell59,Group4,Batch1,6.096209,1.1878538
Cell60,Group3,Batch1,-0.29602426,13.3037815
Cell61,Group3,Batch1,-1.4964617,12.509649
Cell62,Group2,Batch1,-11.045599,0.73104364
Cell63,Group2,Batch1,-12.832929,-0.2506904
Cell64,Group4,Batch1,7.3646927,-1.1928564
Cell65,Group4,Batch1,6.2673516,0.7685492
Cell66,Group4,Batch1,5.3267574,1.2063676
Cell67,Group4,Batch1,7.897215,-0.51221865
Cell68,Group1,Batch1,-2.8001816,-3.0498967
Cell69,Group4,Batch1,8.16083,0.6934759
Cell70,Group2,Batch1,-12.766936,-0.8614202
Cell71,Group3,Batch1,-1.3514234,11.275411
Cell72,Group2,Batch1,-12.756276,1.2281678
Cell73,Group4,Batch1,6.576178,0.553701
Cell74,Group2,Batch1,-11.53557,0.1676163
Cell75,Group3,Batch1,-0.065511316,10.442581
Cell76,Group2,Batch1,-11.593695,0.16032335
Cell77,Group3,Batch1,0.48443124,11.843662
Cell78,Group3,Batch1,-1.1728653,11.3451805
Cell79,Group3,Batch1,-0.968773,11.149604
Cell80,Group2,Batch1,-12.070639,1.9753425
Cell81,Group4,Batch1,7.222703,-1.3720375
Cell82,Group2,Batch1,-12.17244,0.54700977
Cell83,Group2,Batch1,-12.97212,-0.93147695
Cell84,Group3,Batch1,-1.6350859,11.383535
Cell85,Group2,Batch1,-13.299084,-0.09853577
Cell86,Group4,Batch1,6.21708,-0.8054013
Cell87,Group3,Batch1,0.638379,11.859188
Cell88,Group4,Batch1,5.7007055,-0.38828954
Cell89,Group4,Batch1,7.622839,1.1788262
Cell90,Group4,Batch1,7.3962235,-1.235307
Cell91,Group4,Batch1,7.110638,-0.70080173
Cell92,Group4,Batch1,7.255799,0.24902992
Cell93,Group4,Batch1,7.580652,-0.69934887
Cell94,Group2,Batch1,-12.256399,1.8440385
Cell95,Group2,Batch1,-11.725771,-0.32851705
Cell96,Group4,Batch1,5.7092543,-0.9715359
Cell97,Group2,Batch1,-11.265846,0.81726086
Cell98,Group3,Batch1,0.6429147,12.67971
Cell99,Group2,Batch1,-12.664292,1.0119747
Cell100,Group4,Batch1,5.6452675,-0.07348913
Cell101,Group4,Batch1,6.159692,-0.17531446
Cell102,Group4,Batch1,6.5526686,-2.0045402
Cell103,Group4,Batch1,7.645667,0.48973688
Cell104,Group2,Batch1,-11.3891945,0.3679464
Cell105,Group2,Batch1,-11.575917,0.064118
Cell106,Group4,Batch1,5.288794,-0.5855896
Cell107,Group4,Batch1,7.1318684,1.5292561
Cell108,Group2,Batch1,-13.114149,-0.99002886
Cell109,Group3,Batch1,-1.3423978,11.35853
Cell110,Group4,Batch1,8.5267515,0.46196496
Cell111,Group4,Batch1,7.4329486,-1.3037547
Cell112,Group3,Batch1,-0.4484773,11.650639
Cell113,Group2,Batch1,-11.546288,1.1043696
Cell114,Group1,Batch1,-3.224675,-3.3486583
Cell115,Group2,Batch1,-12.674037,0.4745004
Cell116,Group2,Batch1,-13.417762,0.08059809
Cell117,Group2,Batch1,-12.681939,-0.6556612
Cell118,Group4,Batch1,7.197873,0.05971933
Cell119,Group3,Batch1,0.020519858,10.684489
Cell120,Group4,Batch1,6.324839,1.321496
Cell121,Group2,Batch1,-11.116084,0.80511665
Cell122,Group3,Batch1,-0.4743268,11.202585
Cell123,Group2,Batch1,-10.824298,0.857634
Cell124,Group2,Batch1,-11.9105015,1.0297505
Cell125,Group2,Batch1,-14.076478,0.3676108
Cell126,Group4,Batch1,5.7645097,-1.197857
Cell127,Group2,Batch1,-12.555217,-0.009751526
Cell128,Group2,Batch1,-12.385149,-0.94442356
Cell129,Group3,Batch1,0.09374006,11.57364
Cell130,Group4,Batch1,4.844995,0.64888734
Cell131,Group2,Batch1,-12.916901,0.066616766
Cell132,Group2,Batch1,-12.349706,-0.498249
Cell133,Group1,Batch1,-3.370926,-2.499201
Cell134,Group2,Batch1,-11.9384165,-0.44865552
Cell135,Group4,Batch1,6.877161,0.8125776
Cell136,Group3,Batch1,-0.719737,10.69866
Cell137,Group4,Batch1,7.5177956,0.34853017
Cell138,Group4,Batch1,8.168201,-0.44589597
Cell139,Group4,Batch1,8.350981,-0.16134003
Cell140,Group3,Batch1,1.3703444,11.85544
Cell141,Group3,Batch1,-1.357468,11.694783
Cell142,Group3,Batch1,-1.1759553,11.159615
Cell143,Group4,Batch1,7.373896,0.39104536
Cell144,Group3,Batch1,-1.2054286,12.519278
Cell145,Group4,Batch1,6.9901595,-0.46448454
Cell146,Group1,Batch1,-2.5397744,-2.668178
Cell147,Group4,Batch1,7.205285,-0.299205
Cell148,Group1,Batch1,-2.894633,-3.2371345
Cell149,Group1,Batch1,-3.104638,-2.9756293
Cell150,Group4,Batch1,7.0851254,-1.2461643
Cell151,Group4,Batch1,5.83774,0.632509
Cell152,Group2,Batch1,-12.613879,-0.96813494
Cell153,Group3,Batch1,-1.3393033,12.384224
Cell154,Group2,Batch1,-12.954268,0.33900878
Cell155,Group2,Batch1,-11.342684,-0.1029445
Cell156,Group1,Batch1,-3.326307,-3.4016714
Cell157,Group1,Batch1,-4.0824475,-2.66257
Cell158,Group4,Batch1,7.9593916,-1.663674
Cell159,Group3,Batch1,-1.2592467,12.905014
Cell160,Group2,Batch1,-12.263535,1.1052318
Cell161,Group2,Batch1,-13.225341,0.4948034
Cell162,Group4,Batch1,6.4627905,1.3570123
Cell163,Group2,Batch1,-11.253287,0.90715194
Cell164,Group3,Batch1,-0.017965807,12.302222
Cell165,Group3,Batch1,-0.14110374,10.720787
