,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,-5.1601925,-4.2473674
Cell2,Group4,Batch1,-5.1888514,-5.2945533
Cell3,Group3,Batch1,-5.9847107,7.3094854
Cell4,Group3,Batch1,-6.8484035,7.96067
Cell5,Group3,Batch1,-7.415544,7.6384172
Cell6,Group2,Batch1,5.8141885,4.591524
Cell7,Group4,Batch1,-4.821016,-5.101036
Cell8,Group3,Batch1,-6.9304547,7.9607954
Cell9,Group4,Batch1,-5.2887464,-3.392039
Cell10,Group2,Batch1,6.816575,2.8771176
Cell11,Group3,Batch1,-5.2449403,7.694955
Cell12,Group2,Batch1,7.1590304,4.284122
Cell13,Group4,Batch1,-5.0539613,-5.087808
Cell14,Group2,Batch1,5.487242,4.2326813
Cell15,Group2,Batch1,5.5599823,4.2071905
Cell16,Group4,Batch1,-4.2825756,-4.5117064
Cell17,Group1,Batch1,-13.802285,1.632701
Cell18,Group3,Batch1,-7.450258,6.967982
Cell19,Group2,Batch1,6.8342633,2.4268847
Cell20,Group1,Batch1,-13.548131,1.7336754
Cell21,Group4,Batch1,-7.257188,-5.534204
Cell22,Group4,Batch1,-5.4405975,-5.057947
Cell23,Group2,Batch1,7.1240606,3.9907389
Cell24,Group2,Batch1,5.8561068,3.3306313
Cell25,Group4,Batch1,-4.730254,-5.3422685
Cell26,Group1,Batch1,-13.962113,1.9371134
Cell27,Group4,Batch1,-4.5582414,-5.399583
Cell28,Group4,Batch1,-4.081683,-4.7694235
Cell29,Group4,Batch1,-5.135388,-4.432012
Cell30,Group4,Batch1,-5.3545685,-3.5204906
Cell31,Group2,Batch1,6.6212997,4.065262
Cell32,Group2,Batch1,6.060629,3.8501852
Cell33,Group2,Batch1,5.6080875,3.4993837
Cell34,Group4,Batch1,-4.621143,-4.997365
Cell35,Group2,Batch1,6.399809,4.687738
Cell36,Group4,Batch1,-5.516422,-5.3759365
Cell37,Group2,Batch1,6.785081,2.1830945
Cell38,Group4,Batch1,-5.035251,-4.5246515
Cell39,Group2,Batch1,6.51386,4.7436466
Cell40,Group3,Batch1,-6.5677843,8.27771
Cell41,Group3,Batch1,-5.2900357,7.7267013
Cell42,Group3,Batch1,-6.8515363,7.203919
Cell43,Group2,Batch1,6.157144,2.208467
Cell44,Group4,Batch1,-4.521827,-5.2799435
Cell45,Group3,Batch1,-6.150205,7.4787946
Cell46,Group4,Batch1,-4.837585,-4.171657
Cell47,Group3,Batch1,-6.743949,7.9002867
Cell48,Group2,Batch1,7.6002855,3.2517993
Cell49,Group4,Batch1,-5.097438,-3.795847
Cell50,Group4,Batch1,-6.01238,-5.099144
Cell51,Group2,Batch1,6.221427,4.8567176
Cell52,Group3,Batch1,-7.087548,7.0991325
Cell53,Group3,Batch1,-6.3502264,8.039469
Cell54,Group2,Batch1,6.5505815,4.0018425
Cell55,Group2,Batch1,7.9732027,4.282371
Cell56,Group2,Batch1,6.4968762,4.6910386
Cell57,Group4,Batch1,-6.7727757,-5.2540283
Cell58,Group2,Batch1,7.929081,3.5009
Cell59,Group4,Batch1,-5.1796107,-4.6757264
Cell60,Group3,Batch1,-5.6124635,8.02027
Cell61,Group3,Batch1,-6.7406754,8.011777
Cell62,Group2,Batch1,7.3135977,3.221173
Cell63,Group2,Batch1,6.6241837,4.4608164
Cell64,Group4,Batch1,-5.2259603,-4.290634
Cell65,Group4,Batch1,-4.719559,-4.690788
Cell66,Group4,Batch1,-4.3166175,-4.720223
Cell67,Group4,Batch1,-4.6489425,-4.027888
Cell68,Group1,Batch1,-13.315665,1.4738443
Cell69,Group4,Batch1,-7.4245286,-6.075711
Cell70,Group2,Batch1,7.222067,2.226777
Cell71,Group3,Batch1,-6.879952,7.608819
Cell72,Group2,Batch1,6.403418,1.7096816
Cell73,Group4,Batch1,-4.201244,-4.727254
Cell74,Group2,Batch1,7.741066,3.7582757
Cell75,Group3,Batch1,-5.354675,7.4494696
Cell76,Group2,Batch1,7.085793,4.306737
Cell77,Group3,Batch1,-6.5884633,7.8741775
Cell78,Group3,Batch1,-5.5655823,7.0406327
Cell79,Group3,Batch1,-5.413656,5.901914
Cell80,Group2,Batch1,6.2339463,3.6772797
Cell81,Group4,Batch1,-7.648111,-4.167642
Cell82,Group2,Batch1,7.8922873,3.5123374
Cell83,Group2,Batch1,7.0918264,4.4419174
Cell84,Group3,Batch1,-5.1940455,7.5840044
Cell85,Group2,Batch1,5.808319,2.314192
Cell86,Group4,Batch1,-5.097119,-5.1324854
Cell87,Group3,Batch1,-7.73407,6.698815
Cell88,Group4,Batch1,-7.187233,-4.2584248
Cell89,Group4,Batch1,-5.580176,-4.4779496
Cell90,Group4,Batch1,-4.423223,-4.43128
Cell91,Group4,Batch1,-6.3503413,-4.7259235
Cell92,Group4,Batch1,-5.333339,-4.060069
Cell93,Group4,Batch1,-5.2548947,-5.0369573
Cell94,Group2,Batch1,6.4691153,4.5058637
Cell95,Group2,Batch1,7.5547876,4.0269737
Cell96,Group4,Batch1,-6.2767715,-3.670641
Cell97,Group2,Batch1,5.913254,3.9279912
Cell98,Group3,Batch1,-5.47611,6.8108773
Cell99,Group2,Batch1,7.293854,4.687375
Cell100,Group4,Batch1,-5.5052376,-3.732867
Cell101,Group4,Batch1,-5.3406267,-4.27766
Cell102,Group4,Batch1,-4.193111,-4.234834
Cell103,Group4,Batch1,-5.6513524,-3.086285
Cell104,Group2,Batch1,7.1166983,3.8711429
Cell105,Group2,Batch1,7.993798,3.6552753
Cell106,Group4,Batch1,-4.8002963,-3.6923566
Cell107,Group4,Batch1,-5.094987,-4.2755156
Cell108,Group2,Batch1,6.5043707,4.30391
Cell109,Group3,Batch1,-5.4581237,6.378219
Cell110,Group4,Batch1,-5.964812,-4.0505514
Cell111,Group4,Batch1,-4.5928693,-4.700699
Cell112,Group3,Batch1,-7.172551,7.6042724
Cell113,Group2,Batch1,7.5540996,4.195686
Cell114,Group1,Batch1,-13.655577,1.6297483
Cell115,Group2,Batch1,6.437619,4.0736465
Cell116,Group2,Batch1,7.0662465,3.861781
Cell117,Group2,Batch1,6.9702,2.099243
Cell118,Group4,Batch1,-4.4054236,-3.9611895
Cell119,Group3,Batch1,-7.092421,6.251416
Cell120,Group4,Batch1,-4.337121,-5.0467243
Cell121,Group2,Batch1,7.7004557,3.1102712
Cell122,Group3,Batch1,-5.338811,7.6439066
Cell123,Group2,Batch1,6.934406,3.236972
Cell124,Group2,Batch1,5.9584737,3.439875
Cell125,Group2,Batch1,6.416178,4.226459
Cell126,Group4,Batch1,-4.416655,-4.0000305
Cell127,Group2,Batch1,7.047623,3.3668978
Cell128,Group2,Batch1,6.8054433,3.8146935
Cell129,Group3,Batch1,-6.4870048,5.892366
Cell130,Group4,Batch1,-4.114722,-5.1666546
Cell131,Group2,Batch1,6.650828,3.1407425
Cell132,Group2,Batch1,6.7788143,4.6540947
Cell133,Group1,Batch1,-14.650778,1.8015244
Cell134,Group2,Batch1,7.664048,4.595875
Cell135,Group4,Batch1,-5.4517093,-4.3686247
Cell136,Group3,Batch1,-5.2845507,6.690522
Cell137,Group4,Batch1,-5.6142845,-3.146461
Cell138,Group4,Batch1,-4.2651863,-4.5166025
Cell139,Group4,Batch1,-4.262895,-4.467998
Cell140,Group3,Batch1,-7.580618,7.213066
Cell141,Group3,Batch1,-5.421629,7.350797
Cell142,Group3,Batch1,-7.0176845,5.887816
Cell143,Group4,Batch1,-7.7400746,-6.1141205
Cell144,Group3,Batch1,-6.844164,7.8006334
Cell145,Group4,Batch1,-5.8564487,-4.0430627
Cell146,Group1,Batch1,-13.663728,2.3837993
Cell147,Group4,Batch1,-6.7320037,-5.144509
Cell148,Group1,Batch1,-13.508493,1.7186829
Cell149,Group1,Batch1,-14.415981,1.8899767
Cell150,Group4,Batch1,-4.491738,-3.7789612
Cell151,Group4,Batch1,-5.140044,-4.1819096
Cell152,Group2,Batch1,7.197127,2.961468
Cell153,Group3,Batch1,-6.063122,7.2266626
Cell154,Group2,Batch1,6.39848,4.0405445
Cell155,Group2,Batch1,7.076377,3.972838
Cell156,Group1,Batch1,-13.493132,1.2233136
Cell157,Group1,Batch1,-14.111804,1.3405344
Cell158,Group4,Batch1,-4.1955285,-4.4469047
Cell159,Group3,Batch1,-5.0172105,7.408262
Cell160,Group2,Batch1,5.170492,4.0834436
Cell161,Group2,Batch1,6.2828927,2.3658628
Cell162,Group4,Batch1,-4.384959,-4.9724298
Cell163,Group2,Batch1,6.2550893,1.885303
Cell164,Group3,Batch1,-7.2758813,5.5632544
Cell165,Group3,Batch1,-5.5511847,7.711909
Cell166,Group1,Batch1,-14.114463,1.8759065
Cell167,Group2,Batch1,5.816313,3.5550907
Cell168,Group2,Batch1,7.395772,4.295177
Cell169,Group4,Batch1,-4.260035,-5.1063666
Cell170,Group2,Batch1,7.3993673,3.8298607
Cell171,Group3,Batch1,-4.9960537,7.0546594
Cell172,Group3,Batch1,-7.7785196,5.953164
Cell173,Group3,Batch1,-5.500344,8.103495
Cell174,Group3,Batch1,-5.529304,7.8366013
Cell175,Group2,Batch1,6.0661297,2.3293939
Cell176,Group3,Batch1,-6.748317,6.831768
Cell177,Group2,Batch1,6.8642974,3.7543333
Cell178,Group2,Batch1,6.662503,2.9902363
Cell179,Group4,Batch1,-6.1390204,-4.2872224
Cell180,Group4,Batch1,-4.3484187,-4.616746
Cell181,Group2,Batch1,7.2580943,3.9005163
Cell182,Group4,Batch1,-4.1675296,-4.585445
Cell183,Group3,Batch1,-7.145846,7.3317704
Cell184,Group4,Batch1,-4.6008573,-3.6955707
Cell185,Group3,Batch1,-5.3735495,7.104826
Cell186,Group4,Batch1,-5.3601437,-3.3697827
Cell187,Group2,Batch1,5.478116,3.5362182
Cell188,Group3,Batch1,-5.0985007,6.6222205
Cell189,Group2,Batch1,5.7320213,4.148353
Cell190,Group2,Batch1,7.196831,4.576542
Cell191,Group4,Batch1,-4.3832793,-3.6308773
Cell192,Group2,Batch1,7.459699,4.4932766
Cell193,Group2,Batch1,7.949685,4.067035
Cell194,Group4,Batch1,-5.1398773,-3.5352626
Cell195,Group2,Batch1,6.4013243,3.3178704
Cell196,Group4,Batch1,-5.0382724,-4.2416353
Cell197,Group2,Batch1,7.4188166,3.1386902
Cell198,Group2,Batch1,5.843596,3.710531
Cell199,Group2,Batch1,7.520485,4.340369
Cell200,Group3,Batch1,-5.2320175,7.529251
Cell201,Group4,Batch1,-5.6627417,-5.1345377
Cell202,Group4,Batch1,-5.3359666,-4.4944406
Cell203,Group2,Batch1,6.971347,4.2986565
Cell204,Group3,Batch1,-6.696187,7.181224
Cell205,Group1,Batch1,-14.190736,1.706906
Cell206,Group2,Batch1,6.939615,4.5251913
Cell207,Group4,Batch1,-4.4467483,-3.8341405
Cell208,Group3,Batch1,-7.777971,6.572427
Cell209,Group3,Batch1,-5.6939216,7.762975
Cell210,Group3,Batch1,-5.202848,6.826775
Cell211,Group4,Batch1,-5.330334,-3.198692
Cell212,Group4,Batch1,-6.506039,-6.4189463
Cell213,Group4,Batch1,-4.8466306,-3.891445
Cell214,Group2,Batch1,7.0743628,4.256137
Cell215,Group4,Batch1,-4.877077,-3.4366786
Cell216,Group4,Batch1,-4.978676,-4.1622868
Cell217,Group2,Batch1,7.671678,3.2959967
Cell218,Group2,Batch1,6.572576,4.1111565
Cell219,Group4,Batch1,-4.60777,-4.8090734
Cell220,Group2,Batch1,6.018612,3.6761506
Cell221,Group4,Batch1,-4.669572,-4.8637533
Cell222,Group2,Batch1,7.3130374,4.2928987
Cell223,Group4,Batch1,-4.6573977,-4.405585
Cell224,Group4,Batch1,-4.1268806,-4.7923636
Cell225,Group3,Batch1,-6.0744424,7.818491
Cell226,Group4,Batch1,-5.1464624,-4.5933323
Cell227,Group4,Batch1,-5.135552,-3.6870284
Cell228,Group3,Batch1,-6.3125525,5.714942
Cell229,Group2,Batch1,7.3098655,4.573562
Cell230,Group4,Batch1,-5.736844,-4.3704853
Cell231,Group4,Batch1,-5.0489554,-3.7720115
Cell232,Group4,Batch1,-4.967395,-4.0866904
Cell233,Group4,Batch1,-6.4876175,-5.530732
Cell234,Group4,Batch1,-4.7685347,-4.7751746
Cell235,Group3,Batch1,-5.6958327,7.5420322
Cell236,Group4,Batch1,-5.4953704,-4.2467146
Cell237,Group4,Batch1,-5.9238806,-3.0638554
Cell238,Group2,Batch1,6.191411,4.5517793
Cell239,Group4,Batch1,-5.236297,-4.2719812
Cell240,Group2,Batch1,4.790021,2.8987494
Cell241,Group2,Batch1,6.6863484,4.6043005
Cell242,Group2,Batch1,6.9276366,4.067107
Cell243,Group3,Batch1,-7.3949323,7.3727574
Cell244,Group2,Batch1,5.2097893,2.2305863
Cell245,Group4,Batch1,-4.7170844,-3.636868
Cell246,Group3,Batch1,-6.0387607,7.7180614
Cell247,Group4,Batch1,-5.5170584,-4.2262907
Cell248,Group4,Batch1,-5.4751396,-3.2207189
Cell249,Group2,Batch1,6.124571,4.588819
Cell250,Group4,Batch1,-6.478901,-4.0672426
Cell251,Group4,Batch1,-5.0463166,-3.6477485
Cell252,Group2,Batch1,7.7168117,4.1684713
Cell253,Group4,Batch1,-4.5063868,-3.7212346
Cell254,Group2,Batch1,7.3890147,3.8901858
Cell255,Group4,Batch1,-4.364249,-5.3675385
Cell256,Group1,Batch1,-14.134746,1.9694079
Cell257,Group3,Batch1,-5.1174245,7.5363603
Cell258,Group3,Batch1,-5.6264873,6.2507772
