,Group,Batch,UMAP1,UMAP2
Cell1,Group4,Batch1,5.1692343,5.4799085
Cell2,Group4,Batch1,3.6742082,6.8906784
Cell3,Group3,Batch1,-2.837274,-8.6553545
Cell4,Group3,Batch1,-2.5470228,-7.801441
Cell5,Group3,Batch1,-3.025527,-6.365423
Cell6,Group2,Batch1,-10.460002,5.0822115
Cell7,Group4,Batch1,4.3241878,6.740648
Cell8,Group3,Batch1,-3.0023367,-7.104899
Cell9,Group4,Batch1,6.0957937,7.257948
Cell10,Group2,Batch1,-9.681115,6.2371016
Cell11,Group3,Batch1,-3.116735,-7.1291065
Cell12,Group2,Batch1,-9.738746,4.848048
Cell13,Group4,Batch1,5.3541355,8.818784
Cell14,Group2,Batch1,-10.42713,6.4567356
Cell15,Group2,Batch1,-10.719226,5.108358
Cell16,Group4,Batch1,5.1307793,6.6334667
Cell17,Group1,Batch1,11.30849,-3.3046675
Cell18,Group3,Batch1,-2.666925,-7.2469544
Cell19,Group2,Batch1,-10.410683,6.7196355
Cell20,Group1,Batch1,11.202147,-3.3703048
Cell21,Group4,Batch1,3.6335218,6.9968038
Cell22,Group4,Batch1,4.182497,6.796408
Cell23,Group2,Batch1,-10.993509,5.3468966
Cell24,Group2,Batch1,-11.146385,5.680641
Cell25,Group4,Batch1,4.6484246,6.394743
Cell26,Group1,Batch1,10.344229,-3.2522316
Cell27,Group4,Batch1,6.1536803,8.787448
Cell28,Group4,Batch1,6.6804485,6.4321494
Cell29,Group4,Batch1,4.1324315,6.6418967
Cell30,Group4,Batch1,3.4294522,8.183962
Cell31,Group2,Batch1,-11.354448,5.3467917
Cell32,Group2,Batch1,-11.084031,3.7635365
Cell33,Group2,Batch1,-10.507612,5.1601715
Cell34,Group4,Batch1,6.2205043,7.7639303
Cell35,Group2,Batch1,-11.397397,4.7207837
Cell36,Group4,Batch1,4.00613,6.7480173
Cell37,Group2,Batch1,-9.604557,3.9557796
Cell38,Group4,Batch1,5.504335,8.234265
Cell39,Group2,Batch1,-11.231095,3.9262648
Cell40,Group3,Batch1,-2.8267694,-6.909759
Cell41,Group3,Batch1,-3.422666,-7.315673
Cell42,Group3,Batch1,-1.8600826,-6.598814
Cell43,Group2,Batch1,-10.966125,5.473001
Cell44,Group4,Batch1,5.20086,8.313764
Cell45,Group3,Batch1,-3.7379286,-7.238939
Cell46,Group4,Batch1,4.25641,8.064909
Cell47,Group3,Batch1,-3.303699,-7.0602236
Cell48,Group2,Batch1,-10.388964,3.9980254
Cell49,Group4,Batch1,4.1169243,7.4819236
Cell50,Group4,Batch1,6.330823,8.382597
Cell51,Group2,Batch1,-10.07789,4.3102937
Cell52,Group3,Batch1,-3.4003751,-8.233085
Cell53,Group3,Batch1,-1.2447846,-7.882383
Cell54,Group2,Batch1,-10.521714,4.5690413
